	Z	Ion	Electron	Level	N	L	2S+1	2J+1	Energy	Potential	Configuration
0	26	350	2	1	1	0	1	1	0.000000e+00	8.829000e+03	1s2.1S_0
1	26	350	2	2	2	0	3	3	6.636596e+03	8.829000e+03	1s1.2s1.3S_1
2	26	350	2	6	2	0	1	1	6.668022e+03	8.829000e+03	1s1.2s1.1S_0
3	26	350	2	3	2	1	3	1	6.665549e+03	8.829000e+03	1s1.2p1.3P_0
4	26	350	2	4	2	1	3	3	6.667569e+03	8.829000e+03	1s1.2p1.3P_1
5	26	350	2	5	2	1	3	5	6.682327e+03	8.829000e+03	1s1.2p1.3P_2
6	26	350	2	7	2	1	1	3	6.700415e+03	8.829000e+03	1s1.2p1.1P_1
7	26	350	2	8	3	0	3	3	7.863289e+03	8.829000e+03	1s1.3s1.3S_1
8	26	350	2	12	3	0	1	1	7.871630e+03	8.829000e+03	1s1.3s1.1S_0
9	26	350	2	9	3	1	3	1	7.871273e+03	8.829000e+03	1s1.3p1.3P_0
10	26	350	2	10	3	1	3	3	7.871843e+03	8.829000e+03	1s1.3p1.3P_1
11	26	350	2	11	3	1	3	5	7.876257e+03	8.829000e+03	1s1.3p1.3P_2
12	26	350	2	16	3	1	1	3	7.881155e+03	8.829000e+03	1s1.3p1.1P_1
13	26	350	2	14	3	2	3	3	7.880597e+03	8.829000e+03	1s1.3d1.3D_1
14	26	350	2	13	3	2	3	5	7.880522e+03	8.829000e+03	1s1.3d1.3D_2
15	26	350	2	15	3	2	3	7	7.882196e+03	8.829000e+03	1s1.3d1.3D_3
16	26	350	2	17	3	2	1	5	7.882481e+03	8.829000e+03	1s1.3d1.1D_2
17	26	350	2	18	4	0	3	3	8.287959e+03	8.829000e+03	1s1.4s1.3S_1
18	26	350	2	22	4	0	1	1	8.291440e+03	8.829000e+03	1s1.4s1.1S_0
19	26	350	2	19	4	1	3	1	8.291307e+03	8.829000e+03	1s1.4p1.3P_0
20	26	350	2	20	4	1	3	3	8.291555e+03	8.829000e+03	1s1.4p1.3P_1
21	26	350	2	21	4	1	3	5	8.293415e+03	8.829000e+03	1s1.4p1.3P_2
22	26	350	2	26	4	1	1	3	8.295485e+03	8.829000e+03	1s1.4p1.1P_1
23	26	350	2	24	4	2	3	3	8.295250e+03	8.829000e+03	1s1.4d1.3D_1
24	26	350	2	23	4	2	3	5	8.295212e+03	8.829000e+03	1s1.4d1.3D_2
25	26	350	2	25	4	2	3	7	8.295919e+03	8.829000e+03	1s1.4d1.3D_3
26	26	350	2	27	4	2	1	5	8.296043e+03	8.829000e+03	1s1.4d1.1D_2
27	26	350	2	35	4	3	1	7	8.293502e+03	8.829000e+03	1s1.4f1.1F
28	26	350	2	28	5	0	3	3	8.483470e+03	8.829000e+03	1s1.5s1.3S_1
29	26	350	2	32	5	0	1	1	8.485243e+03	8.829000e+03	1s1.5s1.1S_0
30	26	350	2	29	5	1	3	1	8.485140e+03	8.829000e+03	1s1.5p1.3P_0
31	26	350	2	30	5	1	3	3	8.485305e+03	8.829000e+03	1s1.5p1.3P_1
32	26	350	2	31	5	1	3	5	8.486260e+03	8.829000e+03	1s1.5p1.3P_2
33	26	350	2	33	5	1	1	3	8.487313e+03	8.829000e+03	1s1.5p1.1P_1
34	26	350	2	39	5	2	1	5	8.484753e+03	8.829000e+03	1s1.5d1.1D
35	26	350	2	40	5	3	1	7	8.484836e+03	8.829000e+03	1s1.5f1.1F
36	26	350	2	41	5	4	1	9	8.484942e+03	8.829000e+03	1s1.5g1.1G
37	26	350	2	34	4	3	3	21	8.296830e+03	8.828000e+03	1s1.4f1.3F
38	26	350	2	36	5	2	3	15	8.486690e+03	8.828000e+03	1s1.5d1.3D
39	26	350	2	37	5	3	3	21	8.496830e+03	8.828000e+03	1s1.5f1.3F
40	26	350	2	38	5	4	3	27	8.496830e+03	8.828000e+03	1s1.5g1.3G
41	26	350	2	42	12	0	1	2	8.825640e+03	8.828000e+03	sprlevls
42	26	350	2	43	12	0	3	2	8.825640e+03	8.828000e+03	sprlevlt
43	26	350	2	44	2	0	1	1	1.348190e+04	8.828000e+03	1s0.2s2.1S
44	26	350	2	45	2	1	1	3	1.354630e+04	8.828000e+03	1s0.2s1.2p1.1P
45	26	350	2	46	2	1	3	9	1.349580e+04	8.828000e+03	1s0.2s1.2p1.3P
46	26	350	2	47	2	0	1	1	1.358920e+04	8.828000e+03	1s0.2p2.1S
47	26	350	2	48	2	2	1	5	1.354040e+04	8.828000e+03	1s0.2p2.1D
48	26	350	2	49	2	1	3	9	1.352570e+04	8.828000e+03	1s0.2p2.3P
49	26	350	2	50	1	2	2	2	8.828000e+03	8.828000e+03	continuum
