	Z	Ion	Initial Level	Final Level	Energy	Strength	Rate
0	26	335	2	1	1.944391e+00	0.000000e+00	6.938000e+01
1	26	335	3	1	3.586108e+01	1.203000e-01	3.355000e+09
2	26	335	3	2	3.391667e+01	5.971000e-02	1.490000e+09
3	26	335	4	1	4.818781e+01	2.649000e-04	4.449000e+06
4	26	335	5	1	4.839245e+01	0.000000e+00	7.000000e+01
5	26	335	6	1	4.835847e+01	2.297000e-04	5.826000e+06
6	26	335	6	2	4.641394e+01	1.920000e-07	4.486000e+03
7	26	335	7	1	4.854498e+01	7.952000e-05	4.066000e+06
8	26	335	7	2	4.660061e+01	1.133000e-04	5.337000e+06
9	26	335	8	4	3.592821e+00	0.000000e+00	4.340000e-04
10	26	335	8	5	3.584138e+00	0.000000e+00	9.785000e+00
11	26	335	9	1	5.203559e+01	1.139000e-03	6.694000e+07
12	26	335	9	2	5.009131e+01	4.698000e-03	2.558000e+08
13	26	335	10	4	4.230316e+00	0.000000e+00	4.920000e-01
14	26	335	10	5	4.221645e+00	0.000000e+00	7.668000e+00
15	26	335	10	6	4.059727e+00	0.000000e+00	2.372000e-03
16	26	335	10	8	6.375047e-01	0.000000e+00	4.263000e+00
17	26	335	11	1	5.290310e+01	1.835000e-03	3.715000e+07
18	26	335	12	1	5.306364e+01	7.720000e-03	2.358000e+08
19	26	335	12	2	5.111924e+01	1.674000e-03	4.746000e+07
20	26	335	13	1	5.310045e+01	5.044000e-03	1.543000e+08
21	26	335	13	2	5.115594e+01	3.775000e-03	1.072000e+08
22	26	335	14	1	5.388350e+01	7.283000e-03	2.294000e+08
23	26	335	14	2	5.193902e+01	3.852000e-03	1.127000e+08
24	26	335	15	1	5.390646e+01	4.042000e-03	2.548000e+08
25	26	335	15	2	5.196210e+01	8.390000e-04	4.915000e+07
26	26	335	16	4	6.467532e+00	0.000000e+00	3.769000e+00
27	26	335	16	5	6.458873e+00	0.000000e+00	2.135000e+01
28	26	335	16	8	2.874725e+00	0.000000e+00	8.199000e+00
29	26	335	16	10	2.237220e+00	0.000000e+00	6.123000e+00
30	26	335	16	11	1.752209e+00	0.000000e+00	5.434000e+00
31	26	335	16	13	1.554957e+00	0.000000e+00	4.494000e-04
32	26	335	17	1	5.478084e+01	2.805000e-03	6.089000e+07
33	26	335	18	1	5.485355e+01	2.132000e-04	6.960000e+06
34	26	335	18	2	5.290919e+01	6.269000e-05	1.904000e+06
35	26	335	19	1	5.506282e+01	6.411000e-03	1.406000e+08
36	26	335	20	4	7.696319e+00	0.000000e+00	6.829000e-02
37	26	335	20	5	7.687633e+00	0.000000e+00	4.002000e+00
38	26	335	20	8	4.103491e+00	0.000000e+00	5.337000e+01
39	26	335	20	10	3.465984e+00	0.000000e+00	4.931000e+00
40	26	335	20	16	1.228766e+00	0.000000e+00	4.694000e+00
41	26	335	21	4	7.737579e+00	0.000000e+00	8.020000e+00
42	26	335	21	5	7.728896e+00	0.000000e+00	1.690000e+01
43	26	335	21	6	7.567000e+00	0.000000e+00	8.924000e-02
44	26	335	21	8	4.144769e+00	0.000000e+00	4.042000e+00
45	26	335	21	10	3.507273e+00	0.000000e+00	1.563000e+01
46	26	335	21	11	3.022259e+00	0.000000e+00	2.949000e+00
47	26	335	21	12	2.861707e+00	0.000000e+00	1.236000e-02
48	26	335	21	13	2.825008e+00	0.000000e+00	8.597000e-04
49	26	335	21	14	2.041949e+00	0.000000e+00	1.243000e-03
50	26	335	21	16	1.270051e+00	0.000000e+00	6.096000e+00
51	26	335	21	17	1.144455e+00	0.000000e+00	1.531000e-02
52	26	335	21	19	8.625296e-01	0.000000e+00	2.476000e-02
53	26	335	22	1	5.612952e+01	9.263000e-04	2.111000e+07
54	26	335	23	1	5.976495e+01	5.193000e-03	1.341000e+08
55	26	335	24	4	1.206442e+01	0.000000e+00	1.621000e+01
56	26	335	24	5	1.205574e+01	0.000000e+00	6.001000e+01
57	26	335	24	6	1.189382e+01	0.000000e+00	1.377000e-01
58	26	335	24	8	8.471530e+00	0.000000e+00	6.898000e+01
59	26	335	24	10	7.834043e+00	0.000000e+00	2.679000e-01
60	26	335	24	11	7.349053e+00	0.000000e+00	1.013000e+01
61	26	335	24	12	7.188497e+00	0.000000e+00	1.332000e-01
62	26	335	24	13	7.151798e+00	0.000000e+00	3.822000e-02
63	26	335	24	14	6.368727e+00	0.000000e+00	1.877000e-01
64	26	335	24	16	5.596837e+00	0.000000e+00	5.577000e+00
65	26	335	24	17	5.471243e+00	0.000000e+00	5.779000e+00
66	26	335	24	18	5.398580e+00	0.000000e+00	7.543000e-03
67	26	335	24	19	5.189315e+00	0.000000e+00	6.196000e+00
68	26	335	24	20	4.368061e+00	0.000000e+00	3.085000e+00
69	26	335	24	21	4.326781e+00	0.000000e+00	5.122000e+00
70	26	335	24	22	4.122703e+00	0.000000e+00	4.858000e-01
71	26	335	24	23	4.873657e-01	0.000000e+00	6.851000e-01
72	26	335	25	1	6.345290e+01	1.439000e-02	6.284000e+08
73	26	335	25	2	6.150869e+01	4.729000e-03	1.941000e+08
74	26	335	26	1	6.400124e+01	8.753000e-03	2.593000e+08
75	26	335	27	1	6.718217e+01	1.274000e+00	1.248000e+11
76	26	335	27	2	6.523787e+01	4.212000e-01	3.889000e+10
77	26	335	28	1	6.994917e+01	2.846000e+00	1.511000e+11
78	26	335	28	2	6.800505e+01	7.524000e-02	3.775000e+09
79	26	335	29	1	7.066683e+01	3.574000e-01	3.873000e+10
80	26	335	29	2	6.872239e+01	1.096000e+00	1.123000e+11
81	26	335	30	1	7.103487e+01	5.005000e+00	1.827000e+11
82	26	335	31	1	7.268272e+01	1.243000e-01	7.123000e+09
83	26	335	31	2	7.073819e+01	3.185000e+00	1.729000e+11
84	26	335	32	3	4.649802e+01	2.057000e-05	9.649000e+05
85	26	335	32	6	3.400066e+01	6.373000e-02	1.598000e+09
86	26	335	32	7	3.381408e+01	6.257000e-02	1.552000e+09
87	26	335	32	9	3.032341e+01	1.194000e-03	2.382000e+07
88	26	335	32	12	2.929536e+01	5.847000e-05	1.089000e+06
89	26	335	32	13	2.925865e+01	2.270000e-04	4.216000e+06
90	26	335	32	14	2.847562e+01	3.440000e-03	6.053000e+07
91	26	335	32	15	2.845255e+01	3.931000e-03	6.905000e+07
92	26	335	32	18	2.750545e+01	1.043000e-02	1.712000e+08
93	26	335	32	27	1.517689e+01	3.107000e-05	1.553000e+05
94	26	335	33	3	4.682608e+01	1.080000e-04	2.568000e+06
95	26	335	33	4	3.449926e+01	1.514000e-01	1.955000e+09
96	26	335	33	6	3.432866e+01	7.524000e-02	9.619000e+08
97	26	335	33	7	3.414214e+01	1.053000e-02	1.332000e+08
98	26	335	33	9	3.065147e+01	1.408000e-03	1.435000e+07
99	26	335	33	11	2.978398e+01	1.545000e-04	1.487000e+06
100	26	335	33	12	2.962344e+01	2.918000e-03	2.778000e+07
101	26	335	33	13	2.958674e+01	1.765000e-03	1.676000e+07
102	26	335	33	14	2.880362e+01	8.871000e-05	7.985000e+05
103	26	335	33	15	2.878062e+01	2.808000e-02	2.523000e+08
104	26	335	33	17	2.790614e+01	2.516000e-03	2.126000e+07
105	26	335	33	18	2.783353e+01	5.822000e-03	4.893000e+07
106	26	335	33	19	2.762422e+01	9.992000e-03	8.272000e+07
107	26	335	33	22	2.655762e+01	1.310000e-04	1.002000e+06
108	26	335	33	25	1.923414e+01	2.772000e-05	1.113000e+05
109	26	335	33	27	1.550494e+01	1.441000e-04	3.758000e+05
110	26	335	34	4	3.508722e+01	6.188000e-02	5.510000e+08
111	26	335	34	5	3.507849e+01	2.728000e-01	2.428000e+09
112	26	335	34	6	3.491657e+01	5.276000e-03	4.652000e+07
113	26	335	34	10	3.085691e+01	6.357000e-04	4.377000e+06
114	26	335	34	11	3.037185e+01	1.351000e-05	9.013000e+04
115	26	335	34	12	3.021132e+01	1.440000e-03	9.505000e+06
116	26	335	34	13	3.017463e+01	1.218000e-03	8.020000e+06
117	26	335	34	14	2.939154e+01	1.714000e-03	1.071000e+07
118	26	335	34	16	2.861964e+01	2.238000e-04	1.326000e+06
119	26	335	34	17	2.849407e+01	3.904000e-02	2.293000e+08
120	26	335	34	18	2.842144e+01	3.387000e-02	1.979000e+08
121	26	335	34	19	2.821215e+01	1.367000e-02	7.871000e+07
