	Z	Initial_Ion	Initial Level	Final_Ion	Final Level	N	L	2S+1	Temperature	Rate
0	26	329	1	328	25	12	0	2	1.000000e+01	5.903915e-10
1	26	329	1	328	25	12	0	2	1.258925e+01	4.967528e-10
2	26	329	1	328	25	12	0	2	1.584893e+01	4.179646e-10
3	26	329	1	328	25	12	0	2	1.995262e+01	3.516736e-10
4	26	329	1	328	25	12	0	2	2.511886e+01	2.958966e-10
5	26	329	1	328	25	12	0	2	3.162278e+01	2.489660e-10
6	26	329	1	328	25	12	0	2	3.981072e+01	2.094932e-10
7	26	329	1	328	25	12	0	2	5.011873e+01	1.766607e-10
8	26	329	1	328	25	12	0	2	6.309573e+01	1.532815e-10
9	26	329	1	328	25	12	0	2	7.943282e+01	1.586062e-10
10	26	329	1	328	25	12	0	2	1.000000e+02	2.492757e-10
11	26	329	1	328	25	12	0	2	1.258925e+02	5.137000e-10
12	26	329	1	328	25	12	0	2	1.584893e+02	1.009485e-09
13	26	329	1	328	25	12	0	2	1.995262e+02	1.691260e-09
14	26	329	1	328	25	12	0	2	2.511887e+02	2.411906e-09
15	26	329	1	328	25	12	0	2	3.162278e+02	3.005454e-09
16	26	329	1	328	25	12	0	2	3.981071e+02	3.380413e-09
17	26	329	1	328	25	12	0	2	5.011873e+02	3.549359e-09
18	26	329	1	328	25	12	0	2	6.309573e+02	3.582859e-09
19	26	329	1	328	25	12	0	2	7.943284e+02	3.540951e-09
20	26	329	1	328	25	12	0	2	1.000000e+03	3.446674e-09
21	26	329	1	328	25	12	0	2	1.258925e+03	3.303086e-09
22	26	329	1	328	25	12	0	2	1.584893e+03	3.116018e-09
23	26	329	1	328	25	12	0	2	1.995262e+03	2.895543e-09
24	26	329	1	328	25	12	0	2	2.511887e+03	2.648380e-09
25	26	329	1	328	25	12	0	2	3.162278e+03	2.376952e-09
26	26	329	1	328	25	12	0	2	3.981071e+03	2.085930e-09
27	26	329	1	328	25	12	0	2	5.011873e+03	1.786734e-09
28	26	329	1	328	25	12	0	2	6.309573e+03	1.497374e-09
29	26	329	1	328	25	12	0	2	7.943284e+03	1.236602e-09
30	26	329	1	328	25	12	0	2	1.000000e+04	1.017021e-09
