	Z	Initial_Ion	Initial Level	Final_Ion	Final Level	N	L	2S+1	Temperature	Rate
6625	14	103	1	102	47	12	0	2	1.000000e+01	4.679941e-09
6626	14	103	1	102	47	12	0	2	1.258925e+01	4.155468e-09
6627	14	103	1	102	47	12	0	2	1.584893e+01	3.688329e-09
6628	14	103	1	102	47	12	0	2	1.995262e+01	3.272202e-09
6629	14	103	1	102	47	12	0	2	2.511886e+01	2.901551e-09
6630	14	103	1	102	47	12	0	2	3.162278e+01	2.571518e-09
6631	14	103	1	102	47	12	0	2	3.981072e+01	2.277719e-09
6632	14	103	1	102	47	12	0	2	5.011873e+01	2.016228e-09
6633	14	103	1	102	47	12	0	2	6.309573e+01	1.783488e-09
6634	14	103	1	102	47	12	0	2	7.943282e+01	1.576486e-09
6635	14	103	1	102	47	12	0	2	1.000000e+02	1.392386e-09
6636	14	103	1	102	47	12	0	2	1.258925e+02	1.228768e-09
6637	14	103	1	102	47	12	0	2	1.584893e+02	1.083403e-09
6638	14	103	1	102	47	12	0	2	1.995262e+02	9.543103e-10
6639	14	103	1	102	47	12	0	2	2.511887e+02	8.397509e-10
6640	14	103	1	102	47	12	0	2	3.162278e+02	7.381766e-10
6641	14	103	1	102	47	12	0	2	3.981071e+02	6.481863e-10
6642	14	103	1	102	47	12	0	2	5.011873e+02	5.685122e-10
6643	14	103	1	102	47	12	0	2	6.309573e+02	4.980471e-10
6644	14	103	1	102	47	12	0	2	7.943284e+02	4.357825e-10
6645	14	103	1	102	47	12	0	2	1.000000e+03	3.808377e-10
6646	14	103	1	102	47	12	0	2	1.258925e+03	3.324071e-10
6647	14	103	1	102	47	12	0	2	1.584893e+03	2.897610e-10
6648	14	103	1	102	47	12	0	2	1.995262e+03	2.522669e-10
6649	14	103	1	102	47	12	0	2	2.511887e+03	2.193362e-10
6650	14	103	1	102	47	12	0	2	3.162278e+03	1.904451e-10
6651	14	103	1	102	47	12	0	2	3.981071e+03	1.651202e-10
6652	14	103	1	102	47	12	0	2	5.011873e+03	1.430705e-10
6653	14	103	1	102	47	12	0	2	6.309573e+03	1.244371e-10
6654	14	103	1	102	47	12	0	2	7.943284e+03	1.099741e-10
6655	14	103	1	102	47	12	0	2	1.000000e+04	1.004916e-10
6656	14	103	1	102	47	12	0	2	1.258925e+04	9.576355e-11
6657	14	103	1	102	47	12	0	2	1.584892e+04	9.408064e-11
6658	14	103	1	102	47	12	0	2	1.995263e+04	9.291794e-11
6659	14	103	1	102	47	12	0	2	2.511887e+04	9.053166e-11
6660	14	103	1	102	47	12	0	2	3.162278e+04	8.695601e-11
6661	14	103	1	102	47	12	0	2	3.981071e+04	8.381076e-11
6662	14	103	1	102	47	12	0	2	5.011870e+04	8.281335e-11
6663	14	103	1	102	47	12	0	2	6.309576e+04	8.410076e-11
6664	14	103	1	102	47	12	0	2	7.943284e+04	8.611912e-11
6665	14	103	1	102	47	12	0	2	1.000000e+05	8.673612e-11
6666	14	103	1	102	47	12	0	2	1.258925e+05	8.458638e-11
6667	14	103	1	102	47	12	0	2	1.584892e+05	7.930483e-11
6668	14	103	1	102	47	12	0	2	1.995263e+05	7.143318e-11
6669	14	103	1	102	47	12	0	2	2.511887e+05	6.190138e-11
6670	14	103	1	102	47	12	0	2	3.162278e+05	5.174872e-11
6671	14	103	1	102	47	12	0	2	3.981071e+05	4.193722e-11
6672	14	103	1	102	47	12	0	2	5.011870e+05	3.323531e-11
6673	14	103	1	102	47	12	0	2	6.309576e+05	2.608555e-11
6674	14	103	1	102	47	12	0	2	7.943284e+05	2.056838e-11
6675	14	103	1	102	47	12	0	2	1.000000e+06	1.645508e-11
6676	14	103	1	102	47	12	0	2	1.258925e+06	1.337827e-11
6677	14	103	1	102	47	12	0	2	1.584892e+06	1.095973e-11
6678	14	103	1	102	47	12	0	2	1.995263e+06	8.943344e-12
6679	14	103	1	102	47	12	0	2	2.511887e+06	7.197798e-12
6680	14	103	1	102	47	12	0	2	3.162278e+06	5.699021e-12
6681	14	103	1	102	47	12	0	2	3.981071e+06	4.457592e-12
6682	14	103	1	102	47	12	0	2	5.011870e+06	3.482569e-12
6683	14	103	1	102	47	12	0	2	6.309576e+06	2.744735e-12
6684	14	103	1	102	47	12	0	2	7.943284e+06	2.192302e-12
6685	14	103	1	102	47	12	0	2	1.000000e+07	1.767259e-12
6686	14	103	1	102	47	12	0	2	1.258925e+07	1.427250e-12
6687	14	103	1	102	47	12	0	2	1.584892e+07	1.145777e-12
6688	14	103	1	102	47	12	0	2	1.995263e+07	9.094950e-13
6689	14	103	1	102	47	12	0	2	2.511887e+07	7.125254e-13
6690	14	103	1	102	47	12	0	2	3.162278e+07	5.506809e-13
6691	14	103	1	102	47	12	0	2	3.981071e+07	4.203393e-13
6692	14	103	1	102	47	12	0	2	5.011870e+07	3.174683e-13
6693	14	103	1	102	47	12	0	2	6.309576e+07	2.374651e-13
6694	14	103	1	102	47	12	0	2	7.943284e+07	1.763193e-13
6695	14	103	1	102	47	12	0	2	1.000000e+08	1.300470e-13
6696	14	103	1	102	47	12	0	2	1.258927e+08	9.541133e-14
6697	14	103	1	102	47	12	0	2	1.584892e+08	6.969470e-14
