	Z	Ion	Electron	Level	N	L	2S+1	2J+1	Energy	Potential	Configuration
0	14	98	8	1	2	1	3	5	0.000000e+00	2.460000e+02	2p4.3P_2
1	14	98	8	2	2	1	3	3	4.994470e-01	2.460000e+02	2p4.3P_1
2	14	98	8	3	2	1	3	1	6.896830e-01	2.460000e+02	2p4.3P_0
3	14	98	8	4	2	2	1	5	5.771500e+00	2.460000e+02	2p4.1D_2
4	14	98	8	5	2	0	1	1	1.231160e+01	2.460000e+02	2p4.1S_0
5	14	98	8	6	2	1	3	5	4.500850e+01	2.460000e+02	2s1.2p5.3P_2
6	14	98	8	7	2	1	3	3	4.545660e+01	2.460000e+02	2s1.2p5.3P_1
7	14	98	8	8	2	1	3	1	4.570140e+01	2.460000e+02	2s1.2p5.3P_0
8	14	98	8	9	2	1	1	3	6.266640e+01	2.460000e+02	2s1.2p5.1P_1
9	14	98	8	10	2	0	1	1	1.052260e+02	2.460000e+02	2s0.2p6.1S_0
10	14	98	8	12	2	1	3	5	1.758120e+03	2.460000e+02	1s1.2s2.2p5.3P_2
11	14	98	8	13	2	1	3	3	1.758690e+03	2.460000e+02	1s1.2s2.2p5.3P_1
12	14	98	8	14	2	1	3	1	1.759000e+03	2.460000e+02	1s1.2s2.2p5.3P_0
13	14	98	8	15	2	1	1	3	1.766150e+03	2.460000e+02	1s1.2s2.2p5.1P_1
14	14	98	8	16	2	0	3	3	1.805190e+03	2.460000e+02	1s1.2s1.2p6.3S_1
15	14	98	8	17	2	0	1	1	1.817510e+03	2.460000e+02	1s1.2s1.2p6.1S_0
16	14	98	8	19	2	0	2	4	2.460000e+02	2.460000e+02	continuum
17	14	98	8	11	12	0	1	4	2.442920e+02	2.460000e+02	superlevel
18	14	98	8	18	1	0	0	1	1.837870e+03	-1.591870e+03	superlevel_[K]
