	Z	Ion	Electron	Level	N	L	2S+1	2J+1	Energy	Potential	Configuration
3621	14	100	6	1	2	1	3	1	0.000000e+00	3.510000e+02	2p2.3P_0
3622	14	100	6	2	2	1	3	3	3.154080e-01	3.510000e+02	2p2.3P_1
3623	14	100	6	3	2	1	3	5	7.949020e-01	3.510000e+02	2p2.3P_2
3624	14	100	6	4	2	2	1	5	6.559230e+00	3.510000e+02	2p2.1D_2
3625	14	100	6	5	2	0	1	1	1.335980e+01	3.510000e+02	2p2.1S_0
3626	14	100	6	6	2	0	5	5	1.868530e+01	3.510000e+02	2s1.2p3.5S_2
3627	14	100	6	7	2	2	3	5	3.622490e+01	3.510000e+02	2s1.2p3.3D_2
3628	14	100	6	8	2	2	3	3	3.624290e+01	3.510000e+02	2s1.2p3.3D_1
3629	14	100	6	9	2	2	3	7	3.621700e+01	3.510000e+02	2s1.2p3.3D_3
3630	14	100	6	10	2	1	3	1	4.264200e+01	3.510000e+02	2s1.2p3.3P_0
3631	14	100	6	11	2	1	3	3	4.263380e+01	3.510000e+02	2s1.2p3.3P_1
3632	14	100	6	12	2	1	3	5	4.264740e+01	3.510000e+02	2s1.2p3.3P_2
3633	14	100	6	13	2	2	1	5	5.458020e+01	3.510000e+02	2s1.2p3.1D_2
3634	14	100	6	14	2	0	3	3	5.539060e+01	3.510000e+02	2s1.2p3.3S_1
3635	14	100	6	15	2	1	1	3	6.106830e+01	3.510000e+02	2s1.2p3.1P_1
3636	14	100	6	16	2	1	3	5	8.362510e+01	3.510000e+02	2s0.2p4.3P_2
3637	14	100	6	17	2	1	3	3	8.418720e+01	3.510000e+02	2s0.2p4.3P_1
3638	14	100	6	18	2	1	3	1	8.440770e+01	3.510000e+02	2s0.2p4.3P_0
3639	14	100	6	19	2	2	1	5	8.916960e+01	3.510000e+02	2s0.2p4.1D_2
3640	14	100	6	20	2	0	1	1	1.015860e+02	3.510000e+02	2s0.2p4.1S_0
3641	14	100	6	21	3	1	3	1	2.038770e+02	3.510000e+02	2p1.3s1.3P_0
3642	14	100	6	22	3	1	3	3	2.011890e+02	3.510000e+02	2p1.3s1.3P_1
3643	14	100	6	23	3	1	3	5	2.018240e+02	3.510000e+02	2p1.3s1.3P_2
3644	14	100	6	24	3	1	1	3	2.033540e+02	3.510000e+02	2p1.3s1.1P_1
3645	14	100	6	25	3	1	1	3	2.130120e+02	3.510000e+02	2p1.3p1.1P_1
3646	14	100	6	26	3	2	3	3	2.137340e+02	3.510000e+02	2p1.3p1.3D_1
3647	14	100	6	27	3	2	3	5	2.138970e+02	3.510000e+02	2p1.3p1.3D_2
3648	14	100	6	28	3	2	3	7	2.144310e+02	3.510000e+02	2p1.3p1.3D_3
3649	14	100	6	29	3	0	3	3	2.154060e+02	3.510000e+02	2p1.3p1.3S_1
3650	14	100	6	30	3	1	3	1	2.171220e+02	3.510000e+02	2p1.3p1.3P_0
3651	14	100	6	31	3	1	3	3	2.173680e+02	3.510000e+02	2p1.3p1.3P_1
3652	14	100	6	32	3	1	3	5	2.176480e+02	3.510000e+02	2p1.3p1.3P_2
3653	14	100	6	33	3	2	1	5	2.197540e+02	3.510000e+02	2p1.3p1.1D_2
3654	14	100	6	34	3	0	1	1	2.231430e+02	3.510000e+02	2p1.3p1.1S_0
3655	14	100	6	35	3	3	3	5	2.244080e+02	3.510000e+02	2p1.3d1.3F_2
3656	14	100	6	36	3	3	3	7	2.248030e+02	3.510000e+02	2p1.3d1.3F_3
3657	14	100	6	37	3	2	1	5	2.223410e+02	3.510000e+02	2p1.3d1.1D_2
3658	14	100	6	38	3	3	3	9	2.252380e+02	3.510000e+02	2p1.3d1.3F_4
3659	14	100	6	39	3	2	3	3	2.240900e+02	3.510000e+02	2p1.3d1.3D_1
3660	14	100	6	40	3	2	3	5	2.241990e+02	3.510000e+02	2p1.3d1.3D_2
3661	14	100	6	41	3	2	3	7	2.244950e+02	3.510000e+02	2p1.3d1.3D_3
3662	14	100	6	42	3	1	3	5	2.250180e+02	3.510000e+02	2p1.3d1.3P_2
3663	14	100	6	43	3	1	3	3	2.251730e+02	3.510000e+02	2p1.3d1.3P_1
3664	14	100	6	44	3	1	3	1	2.252630e+02	3.510000e+02	2p1.3d1.3P_0
3665	14	100	6	45	3	1	1	3	2.278570e+02	3.510000e+02	2p1.3d1.1P_1
3666	14	100	6	46	3	3	1	7	2.277600e+02	3.510000e+02	2p1.3d1.1F_3
3667	14	100	6	48	2	0	5	5	1.773880e+03	3.510000e+02	1s1.2s2.2p3.5S_2
3668	14	100	6	49	2	2	3	5	1.788190e+03	3.510000e+02	1s1.2s2.2p3.3D_2
3669	14	100	6	50	2	2	3	3	1.788200e+03	3.510000e+02	1s1.2s2.2p3.3D_1
3670	14	100	6	51	2	2	3	7	1.788280e+03	3.510000e+02	1s1.2s2.2p3.3D_3
3671	14	100	6	52	2	0	3	3	1.791570e+03	3.510000e+02	1s1.2s2.2p3.3S_1
3672	14	100	6	53	2	1	3	1	1.792420e+03	3.510000e+02	1s1.2s2.2p3.3P_0
3673	14	100	6	54	2	1	3	5	1.792450e+03	3.510000e+02	1s1.2s2.2p3.3P_2
3674	14	100	6	55	2	1	3	3	1.792620e+03	3.510000e+02	1s1.2s2.2p3.3P_1
3675	14	100	6	56	2	2	1	5	1.797260e+03	3.510000e+02	1s1.2s2.2p3.1D_2
3676	14	100	6	57	2	1	1	3	1.801380e+03	3.510000e+02	1s1.2s2.2p3.1P_1
3677	14	100	6	58	2	1	5	7	1.804760e+03	3.510000e+02	1s1.2s1.2p4.5P_3
3678	14	100	6	59	2	1	5	5	1.805270e+03	3.510000e+02	1s1.2s1.2p4.5P_2
3679	14	100	6	60	2	1	5	3	1.805600e+03	3.510000e+02	1s1.2s1.2p4.5P_1
3680	14	100	6	61	2	1	3	5	1.824960e+03	3.510000e+02	1s1.2s1.2p4.3P_2
3681	14	100	6	62	2	1	3	3	1.825390e+03	3.510000e+02	1s1.2s1.2p4.3P_1
3682	14	100	6	63	2	1	3	1	1.825670e+03	3.510000e+02	1s1.2s1.2p4.3P_0
3683	14	100	6	64	2	2	3	7	1.825770e+03	3.510000e+02	1s1.2s1.2p4.3D_3
3684	14	100	6	65	2	2	3	3	1.825830e+03	3.510000e+02	1s1.2s1.2p4.3D_1
3685	14	100	6	66	2	2	3	5	1.825830e+03	3.510000e+02	1s1.2s1.2p4.3D_2
3686	14	100	6	67	2	0	3	3	1.835790e+03	3.510000e+02	1s1.2s1.2p4.3S_1
3687	14	100	6	68	2	2	1	5	1.838900e+03	3.510000e+02	1s1.2s1.2p4.1D_2
3688	14	100	6	69	2	1	3	5	1.840480e+03	3.510000e+02	1s1.2s1.2p4.3P_2#2
3689	14	100	6	70	2	1	3	3	1.840920e+03	3.510000e+02	1s1.2s1.2p4.3P_1#2
3690	14	100	6	71	2	1	3	1	1.841090e+03	3.510000e+02	1s1.2s1.2p4.3P_0#2
3691	14	100	6	72	2	0	1	1	1.847590e+03	3.510000e+02	1s1.2s1.2p4.1S_0
3692	14	100	6	73	2	1	1	3	1.849160e+03	3.510000e+02	1s1.2s1.2p4.1P_1
3693	14	100	6	74	2	1	3	5	1.870970e+03	3.510000e+02	1s1.2p5.3P_2
3694	14	100	6	75	2	1	3	3	1.871590e+03	3.510000e+02	1s1.2p5.3P_1
3695	14	100	6	76	2	1	3	1	1.871930e+03	3.510000e+02	1s1.2p5.3P_0
3696	14	100	6	77	2	1	1	3	1.879900e+03	3.510000e+02	1s1.2p5.1P_1
3697	14	100	6	47	12	0	1	2	3.485630e+02	3.510000e+02	superlevel
3698	14	100	6	79	2	0	2	2	3.510000e+02	3.510000e+02	continuum
3699	14	100	6	78	1	0	0	1	1.903630e+03	-1.552630e+03	superlevel_[K]
