	Z	Ion	Initial Level	Final Level	Energy	Strength	Rate
21643	14	100	2	1	3.155318e-01	0.000000e+00	3.030000e-01
21644	14	100	3	2	4.796781e-01	0.000000e+00	7.910000e-01
21645	14	100	4	1	6.561767e+00	0.000000e+00	1.030000e-03
21646	14	100	4	2	6.246221e+00	0.000000e+00	8.120000e+00
21647	14	100	4	3	5.766538e+00	0.000000e+00	1.930000e+01
21648	14	100	5	2	1.304940e+01	0.000000e+00	2.070000e+02
21649	14	100	5	3	1.256973e+01	0.000000e+00	1.060000e-01
21650	14	100	5	4	6.803154e+00	0.000000e+00	2.870000e+00
21651	14	100	6	2	1.837694e+01	2.230000e-05	5.480000e+04
21652	14	100	6	3	1.789728e+01	5.950000e-05	1.380000e+05
21653	14	100	6	4	1.213076e+01	8.900000e-08	8.160000e+01
21654	14	100	7	2	3.592332e+01	1.840000e-01	2.070000e+09
21655	14	100	7	3	3.544372e+01	3.690000e-02	4.050000e+08
21656	14	100	7	4	2.967711e+01	1.400000e-04	1.060000e+06
21657	14	100	8	1	3.625687e+01	8.310000e-02	1.590000e+09
21658	14	100	8	2	3.594134e+01	4.870000e-02	9.150000e+08
21659	14	100	8	3	3.546166e+01	1.960000e-03	3.580000e+07
21660	14	100	8	4	2.969510e+01	7.170000e-05	8.990000e+05
21661	14	100	8	5	2.289194e+01	7.650000e-05	6.080000e+05
21662	14	100	9	3	3.543572e+01	3.030000e-01	2.380000e+09
21663	14	100	9	4	2.966923e+01	9.700000e-04	5.220000e+06
21664	14	100	10	2	4.234290e+01	8.890000e-02	6.920000e+09
21665	14	100	11	1	4.265025e+01	8.260000e-02	2.180000e+09
21666	14	100	11	2	4.233480e+01	7.980000e-02	2.070000e+09
21667	14	100	11	3	4.185501e+01	1.030000e-01	2.620000e+09
21668	14	100	11	4	3.608854e+01	3.450000e-04	6.400000e+06
21669	14	100	11	5	2.928532e+01	2.150000e-04	2.760000e+06
21670	14	100	12	2	4.234825e+01	8.940000e-02	1.390000e+09
21671	14	100	12	3	4.186859e+01	3.510000e-01	5.350000e+09
21672	14	100	12	4	3.610199e+01	1.340000e-04	1.490000e+06
21673	14	100	13	2	5.428576e+01	1.130000e-04	3.090000e+06
21674	14	100	13	3	5.380609e+01	2.330000e-03	6.240000e+07
21675	14	100	13	4	4.803937e+01	9.560000e-01	2.030000e+10
21676	14	100	14	1	5.541204e+01	9.750000e-02	4.620000e+09
21677	14	100	14	2	5.509634e+01	2.960000e-01	1.380000e+10
21678	14	100	14	3	5.461674e+01	5.130000e-01	2.360000e+10
21679	14	100	14	4	4.885007e+01	3.670000e-04	1.340000e+07
21680	14	100	14	5	4.204693e+01	2.560000e-04	7.270000e+06
21681	14	100	15	1	6.109195e+01	1.640000e-05	9.320000e+05
21682	14	100	15	2	6.077630e+01	1.680000e-03	9.490000e+07
21683	14	100	15	3	6.029657e+01	1.280000e-04	7.080000e+06
21684	14	100	15	4	5.453002e+01	6.140000e-01	2.770000e+10
21685	14	100	15	5	4.772684e+01	1.820000e-01	6.520000e+09
21686	14	100	16	6	6.496474e+01	1.660000e-04	6.680000e+06
21687	14	100	16	7	4.741834e+01	1.580000e-01	3.280000e+09
21688	14	100	16	8	4.740040e+01	1.230000e-02	2.550000e+08
21689	14	100	16	9	4.742633e+01	7.300000e-01	1.510000e+10
21690	14	100	16	11	4.100708e+01	7.720000e-02	1.210000e+09
21691	14	100	16	12	4.099353e+01	1.900000e-01	2.980000e+09
21692	14	100	16	13	2.905609e+01	2.120000e-03	1.530000e+07
21693	14	100	16	14	2.824538e+01	3.960000e-01	2.690000e+09
21694	14	100	16	15	2.256549e+01	6.660000e-04	2.920000e+06
21695	14	100	17	6	6.552716e+01	4.840000e-05	3.290000e+06
21696	14	100	17	7	4.798081e+01	3.680000e-01	1.300000e+10
21697	14	100	17	8	4.796280e+01	1.400000e-01	4.960000e+09
21698	14	100	17	10	4.156121e+01	5.780000e-02	1.550000e+09
