	Z	Initial_Ion	Initial Level	Final_Ion	Final Level	N	L	2S+1	Temperature	Rate
6301	14	99	1	98	11	12	0	2	1.000000e+01	2.057167e-09
6302	14	99	1	98	11	12	0	2	1.258925e+01	1.817023e-09
6303	14	99	1	98	11	12	0	2	1.584893e+01	1.603650e-09
6304	14	99	1	98	11	12	0	2	1.995262e+01	1.414166e-09
6305	14	99	1	98	11	12	0	2	2.511886e+01	1.245976e-09
6306	14	99	1	98	11	12	0	2	3.162278e+01	1.096806e-09
6307	14	99	1	98	11	12	0	2	3.981072e+01	9.646065e-10
6308	14	99	1	98	11	12	0	2	5.011873e+01	8.475000e-10
6309	14	99	1	98	11	12	0	2	6.309573e+01	7.438751e-10
6310	14	99	1	98	11	12	0	2	7.943282e+01	6.522743e-10
6311	14	99	1	98	11	12	0	2	1.000000e+02	5.713732e-10
6312	14	99	1	98	11	12	0	2	1.258925e+02	4.999998e-10
6313	14	99	1	98	11	12	0	2	1.584893e+02	4.370888e-10
6314	14	99	1	98	11	12	0	2	1.995262e+02	3.817244e-10
6315	14	99	1	98	11	12	0	2	2.511887e+02	3.331884e-10
6316	14	99	1	98	11	12	0	2	3.162278e+02	2.914675e-10
6317	14	99	1	98	11	12	0	2	3.981071e+02	2.581663e-10
6318	14	99	1	98	11	12	0	2	5.011873e+02	2.364614e-10
6319	14	99	1	98	11	12	0	2	6.309573e+02	2.286283e-10
6320	14	99	1	98	11	12	0	2	7.943284e+02	2.327767e-10
6321	14	99	1	98	11	12	0	2	1.000000e+03	2.424151e-10
6322	14	99	1	98	11	12	0	2	1.258925e+03	2.495227e-10
6323	14	99	1	98	11	12	0	2	1.584893e+03	2.482732e-10
6324	14	99	1	98	11	12	0	2	1.995262e+03	2.368153e-10
6325	14	99	1	98	11	12	0	2	2.511887e+03	2.167154e-10
6326	14	99	1	98	11	12	0	2	3.162278e+03	1.913947e-10
6327	14	99	1	98	11	12	0	2	3.981071e+03	1.647327e-10
6328	14	99	1	98	11	12	0	2	5.011873e+03	1.400297e-10
6329	14	99	1	98	11	12	0	2	6.309573e+03	1.192614e-10
6330	14	99	1	98	11	12	0	2	7.943284e+03	1.027779e-10
6331	14	99	1	98	11	12	0	2	1.000000e+04	8.968084e-11
