	Z	Initial_Ion	Initial Level	Final_Ion	Final Level	N	L	2S+1	Temperature	Rate
0	26	344	1	343	337	12	0	2	1.000000e+01	1.237144e-08
1	26	344	1	343	337	12	0	2	1.258925e+01	1.099765e-08
2	26	344	1	343	337	12	0	2	1.584893e+01	9.773504e-09
3	26	344	1	343	337	12	0	2	1.995262e+01	8.683007e-09
4	26	344	1	343	337	12	0	2	2.511886e+01	7.711339e-09
5	26	344	1	343	337	12	0	2	3.162278e+01	6.845578e-09
6	26	344	1	343	337	12	0	2	3.981072e+01	6.074495e-09
7	26	344	1	343	337	12	0	2	5.011873e+01	5.387652e-09
8	26	344	1	343	337	12	0	2	6.309573e+01	4.776068e-09
9	26	344	1	343	337	12	0	2	7.943282e+01	4.231361e-09
10	26	344	1	343	337	12	0	2	1.000000e+02	3.746540e-09
11	26	344	1	343	337	12	0	2	1.258925e+02	3.315047e-09
12	26	344	1	343	337	12	0	2	1.584893e+02	2.931093e-09
13	26	344	1	343	337	12	0	2	1.995262e+02	2.589646e-09
14	26	344	1	343	337	12	0	2	2.511887e+02	2.286022e-09
15	26	344	1	343	337	12	0	2	3.162278e+02	2.016693e-09
16	26	344	1	343	337	12	0	2	3.981071e+02	1.780327e-09
17	26	344	1	343	337	12	0	2	5.011873e+02	1.580447e-09
18	26	344	1	343	337	12	0	2	6.309573e+02	1.424789e-09
19	26	344	1	343	337	12	0	2	7.943284e+02	1.318135e-09
20	26	344	1	343	337	12	0	2	1.000000e+03	1.253198e-09
21	26	344	1	343	337	12	0	2	1.258925e+03	1.210181e-09
22	26	344	1	343	337	12	0	2	1.584893e+03	1.166004e-09
23	26	344	1	343	337	12	0	2	1.995262e+03	1.104409e-09
24	26	344	1	343	337	12	0	2	2.511887e+03	1.020329e-09
25	26	344	1	343	337	12	0	2	3.162278e+03	9.180792e-10
26	26	344	1	343	337	12	0	2	3.981071e+03	8.067523e-10
27	26	344	1	343	337	12	0	2	5.011873e+03	6.964497e-10
28	26	344	1	343	337	12	0	2	6.309573e+03	5.960057e-10
29	26	344	1	343	337	12	0	2	7.943284e+03	5.109168e-10
30	26	344	1	343	337	12	0	2	1.000000e+04	4.422113e-10
31	26	344	1	343	337	12	0	2	1.258925e+04	3.869281e-10
32	26	344	1	343	337	12	0	2	1.584892e+04	3.403922e-10
33	26	344	1	343	337	12	0	2	1.995263e+04	2.985726e-10
34	26	344	1	343	337	12	0	2	2.511887e+04	2.593465e-10
35	26	344	1	343	337	12	0	2	3.162278e+04	2.225870e-10
36	26	344	1	343	337	12	0	2	3.981071e+04	1.893738e-10
37	26	344	1	343	337	12	0	2	5.011870e+04	1.608867e-10
38	26	344	1	343	337	12	0	2	6.309576e+04	1.374200e-10
39	26	344	1	343	337	12	0	2	7.943284e+04	1.182062e-10
40	26	344	1	343	337	12	0	2	1.000000e+05	1.019928e-10
41	26	344	1	343	337	12	0	2	1.258925e+05	8.780102e-11
42	26	344	1	343	337	12	0	2	1.584892e+05	7.535290e-11
43	26	344	1	343	337	12	0	2	1.995263e+05	6.502792e-11
44	26	344	1	343	337	12	0	2	2.511887e+05	5.724004e-11
45	26	344	1	343	337	12	0	2	3.162278e+05	5.179647e-11
46	26	344	1	343	337	12	0	2	3.981071e+05	4.784098e-11
47	26	344	1	343	337	12	0	2	5.011870e+05	4.439149e-11
48	26	344	1	343	337	12	0	2	6.309576e+05	4.090724e-11
49	26	344	1	343	337	12	0	2	7.943284e+05	3.753185e-11
50	26	344	1	343	337	12	0	2	1.000000e+06	3.481766e-11
51	26	344	1	343	337	12	0	2	1.258925e+06	3.331964e-11
52	26	344	1	343	337	12	0	2	1.584892e+06	3.338871e-11
53	26	344	1	343	337	12	0	2	1.995263e+06	3.498642e-11
54	26	344	1	343	337	12	0	2	2.511887e+06	3.748869e-11
55	26	344	1	343	337	12	0	2	3.162278e+06	3.982903e-11
56	26	344	1	343	337	12	0	2	3.981071e+06	4.091667e-11
57	26	344	1	343	337	12	0	2	5.011870e+06	4.011438e-11
58	26	344	1	343	337	12	0	2	6.309576e+06	3.743694e-11
59	26	344	1	343	337	12	0	2	7.943284e+06	3.333494e-11
60	26	344	1	343	337	12	0	2	1.000000e+07	2.848396e-11
61	26	344	1	343	337	12	0	2	1.258925e+07	2.350176e-11
62	26	344	1	343	337	12	0	2	1.584892e+07	1.883217e-11
63	26	344	1	343	337	12	0	2	1.995263e+07	1.473329e-11
64	26	344	1	343	337	12	0	2	2.511887e+07	1.130837e-11
65	26	344	1	343	337	12	0	2	3.162278e+07	8.546728e-12
66	26	344	1	343	337	12	0	2	3.981071e+07	6.379697e-12
67	26	344	1	343	337	12	0	2	5.011870e+07	4.717374e-12
68	26	344	1	343	337	12	0	2	6.309576e+07	3.461784e-12
69	26	344	1	343	337	12	0	2	7.943284e+07	2.525806e-12
70	26	344	1	343	337	12	0	2	1.000000e+08	1.834003e-12
71	26	344	1	343	337	12	0	2	1.258927e+08	1.326783e-12
72	26	344	1	343	337	12	0	2	1.584892e+08	9.569733e-13
73	26	344	1	343	337	12	0	2	1.995263e+08	6.888116e-13
74	26	344	1	343	337	12	0	2	2.511884e+08	4.947660e-13
75	26	344	1	343	337	12	0	2	3.162278e+08	3.548135e-13
76	26	344	1	343	337	12	0	2	3.981075e+08	2.541557e-13
77	26	344	1	343	337	12	0	2	5.011870e+08	1.818444e-13
78	26	344	1	343	337	12	0	2	6.309576e+08	1.299571e-13
79	26	344	1	343	337	12	0	2	7.943275e+08	9.281109e-14
80	26	344	1	343	337	12	0	2	1.000000e+09	6.623694e-14
