	Z	Ion	Initial Level	Final Level	Energy	Strength	Rate
0	14	104	2	1	1.839360e+03	0.000000e+00	3.600000e+05
1	14	104	3	1	1.853471e+03	0.000000e+00	1.371500e+08
2	14	104	3	2	1.411078e+01	1.550000e-01	1.854000e+08
3	14	104	4	1	1.853693e+03	0.000000e+00	1.371500e+08
4	14	104	4	2	1.433209e+01	1.550000e-01	1.854000e+08
5	14	104	5	1	1.854579e+03	0.000000e+00	1.371500e+08
6	14	104	5	2	1.521805e+01	1.550000e-01	1.854000e+08
7	14	104	7	1	1.864922e+03	7.550000e-01	3.760000e+13
8	14	104	7	6	1.032592e+01	3.720000e-02	4.833330e+07
9	14	104	8	3	3.219728e+02	5.066670e-02	7.555560e+10
10	14	104	8	4	3.217515e+02	5.066670e-02	7.555560e+10
11	14	104	8	5	3.208656e+02	5.066670e-02	7.555560e+10
12	14	104	9	2	3.399636e+02	1.160000e+00	6.411110e+11
13	14	104	9	8	3.879954e+00	2.600000e-01	1.777780e+07
14	14	104	10	2	3.400304e+02	1.160000e+00	6.411110e+11
15	14	104	10	8	3.946779e+00	2.600000e-01	1.777780e+07
16	14	104	11	2	3.402934e+02	1.160000e+00	6.411110e+11
17	14	104	11	8	4.209741e+00	2.600000e-01	1.777780e+07
18	14	104	12	7	3.145529e+02	1.650000e-02	7.066670e+10
19	14	104	13	3	3.283291e+02	6.110000e+00	1.893330e+12
20	14	104	13	4	3.281077e+02	6.110000e+00	1.893330e+12
21	14	104	13	5	3.272218e+02	6.110000e+00	1.893330e+12
22	14	104	13	9	2.476252e+00	1.880000e-01	2.453330e+06
23	14	104	13	10	2.409427e+00	1.880000e-01	2.453330e+06
24	14	104	13	11	2.146466e+00	1.880000e-01	2.453330e+06
25	14	104	14	3	3.283326e+02	6.110000e+00	1.893330e+12
26	14	104	14	4	3.281113e+02	6.110000e+00	1.893330e+12
27	14	104	14	5	3.272254e+02	6.110000e+00	1.893330e+12
28	14	104	14	9	2.479848e+00	1.880000e-01	2.453330e+06
29	14	104	14	10	2.413023e+00	1.880000e-01	2.453330e+06
