	Z	Initial_Ion	Initial Level	Final_Ion	Final Level	N	L	2S+1	Temperature	Rate
0	14	102	1	101	126	12	0	2	1.000000e+01	4.464782e-09
1	14	102	1	101	126	12	0	2	1.258925e+01	3.944302e-09
2	14	102	1	101	126	12	0	2	1.584893e+01	3.481850e-09
3	14	102	1	101	126	12	0	2	1.995262e+01	3.071284e-09
4	14	102	1	101	126	12	0	2	2.511886e+01	2.706888e-09
5	14	102	1	101	126	12	0	2	3.162278e+01	2.383747e-09
6	14	102	1	101	126	12	0	2	3.981072e+01	2.097344e-09
7	14	102	1	101	126	12	0	2	5.011873e+01	1.843698e-09
8	14	102	1	101	126	12	0	2	6.309573e+01	1.619309e-09
9	14	102	1	101	126	12	0	2	7.943282e+01	1.420920e-09
10	14	102	1	101	126	12	0	2	1.000000e+02	1.245691e-09
11	14	102	1	101	126	12	0	2	1.258925e+02	1.091064e-09
12	14	102	1	101	126	12	0	2	1.584893e+02	9.547735e-10
13	14	102	1	101	126	12	0	2	1.995262e+02	8.347574e-10
14	14	102	1	101	126	12	0	2	2.511887e+02	7.292059e-10
15	14	102	1	101	126	12	0	2	3.162278e+02	6.368541e-10
16	14	102	1	101	126	12	0	2	3.981071e+02	5.583546e-10
17	14	102	1	101	126	12	0	2	5.011873e+02	4.989195e-10
18	14	102	1	101	126	12	0	2	6.309573e+02	4.684568e-10
19	14	102	1	101	126	12	0	2	7.943284e+02	4.744603e-10
20	14	102	1	101	126	12	0	2	1.000000e+03	5.123538e-10
21	14	102	1	101	126	12	0	2	1.258925e+03	5.643652e-10
22	14	102	1	101	126	12	0	2	1.584893e+03	6.098460e-10
23	14	102	1	101	126	12	0	2	1.995262e+03	6.384111e-10
24	14	102	1	101	126	12	0	2	2.511887e+03	6.536120e-10
25	14	102	1	101	126	12	0	2	3.162278e+03	6.643388e-10
26	14	102	1	101	126	12	0	2	3.981071e+03	6.733803e-10
27	14	102	1	101	126	12	0	2	5.011873e+03	6.748073e-10
28	14	102	1	101	126	12	0	2	6.309573e+03	6.602071e-10
29	14	102	1	101	126	12	0	2	7.943284e+03	6.264693e-10
30	14	102	1	101	126	12	0	2	1.000000e+04	5.783488e-10
31	14	102	1	101	126	12	0	2	1.258925e+04	5.247225e-10
32	14	102	1	101	126	12	0	2	1.584892e+04	4.726073e-10
33	14	102	1	101	126	12	0	2	1.995263e+04	4.241995e-10
34	14	102	1	101	126	12	0	2	2.511887e+04	3.782158e-10
35	14	102	1	101	126	12	0	2	3.162278e+04	3.331269e-10
36	14	102	1	101	126	12	0	2	3.981071e+04	2.892143e-10
37	14	102	1	101	126	12	0	2	5.011870e+04	2.484679e-10
38	14	102	1	101	126	12	0	2	6.309576e+04	2.130150e-10
39	14	102	1	101	126	12	0	2	7.943284e+04	1.839375e-10
40	14	102	1	101	126	12	0	2	1.000000e+05	1.610942e-10
41	14	102	1	101	126	12	0	2	1.258925e+05	1.434596e-10
42	14	102	1	101	126	12	0	2	1.584892e+05	1.293899e-10
43	14	102	1	101	126	12	0	2	1.995263e+05	1.170308e-10
44	14	102	1	101	126	12	0	2	2.511887e+05	1.049058e-10
45	14	102	1	101	126	12	0	2	3.162278e+05	9.232081e-11
46	14	102	1	101	126	12	0	2	3.981071e+05	7.943275e-11
47	14	102	1	101	126	12	0	2	5.011870e+05	6.686519e-11
48	14	102	1	101	126	12	0	2	6.309576e+05	5.537330e-11
49	14	102	1	101	126	12	0	2	7.943284e+05	4.541506e-11
50	14	102	1	101	126	12	0	2	1.000000e+06	3.707664e-11
51	14	102	1	101	126	12	0	2	1.258925e+06	3.017171e-11
52	14	102	1	101	126	12	0	2	1.584892e+06	2.442307e-11
53	14	102	1	101	126	12	0	2	1.995263e+06	1.961099e-11
54	14	102	1	101	126	12	0	2	2.511887e+06	1.557758e-11
55	14	102	1	101	126	12	0	2	3.162278e+06	1.223488e-11
56	14	102	1	101	126	12	0	2	3.981071e+06	9.508233e-12
57	14	102	1	101	126	12	0	2	5.011870e+06	7.335003e-12
58	14	102	1	101	126	12	0	2	6.309576e+06	5.631186e-12
59	14	102	1	101	126	12	0	2	7.943284e+06	4.309237e-12
60	14	102	1	101	126	12	0	2	1.000000e+07	3.288518e-12
61	14	102	1	101	126	12	0	2	1.258925e+07	2.501497e-12
62	14	102	1	101	126	12	0	2	1.584892e+07	1.894087e-12
63	14	102	1	101	126	12	0	2	1.995263e+07	1.425937e-12
64	14	102	1	101	126	12	0	2	2.511887e+07	1.067088e-12
65	14	102	1	101	126	12	0	2	3.162278e+07	7.934141e-13
66	14	102	1	101	126	12	0	2	3.981071e+07	5.864080e-13
67	14	102	1	101	126	12	0	2	5.011870e+07	4.309237e-13
68	14	102	1	101	126	12	0	2	6.309576e+07	3.150647e-13
69	14	102	1	101	126	12	0	2	7.943284e+07	2.293508e-13
70	14	102	1	101	126	12	0	2	1.000000e+08	1.663412e-13
71	14	102	1	101	126	12	0	2	1.258927e+08	1.202541e-13
72	14	102	1	101	126	12	0	2	1.584892e+08	8.669613e-14
73	14	102	1	101	126	12	0	2	1.995263e+08	6.235911e-14
74	14	102	1	101	126	12	0	2	2.511884e+08	4.476101e-14
75	14	102	1	101	126	12	0	2	3.162278e+08	3.207745e-14
76	14	102	1	101	126	12	0	2	3.981075e+08	2.295090e-14
77	14	102	1	101	126	12	0	2	5.011870e+08	1.640212e-14
78	14	102	1	101	126	12	0	2	6.309576e+08	1.171115e-14
79	14	102	1	101	126	12	0	2	7.943275e+08	8.352176e-15
80	14	102	1	101	126	12	0	2	1.000000e+09	5.952510e-15
