	Z	Ion	Electron	Level	N	L	2S+1	2J+1	Energy	Potential	Configuration
0	14	94	12	1	3	0	1	1	0.000000e+00	3.350000e+01	3s2.1S_0
1	14	94	12	2	3	1	3	1	6.534300e+00	3.350000e+01	3s1.3p1.3P_0
2	14	94	12	3	3	1	3	3	6.550230e+00	3.350000e+01	3s1.3p1.3P_1
3	14	94	12	4	3	1	3	5	6.582670e+00	3.350000e+01	3s1.3p1.3P_2
4	14	94	12	5	3	1	1	3	1.027210e+01	3.350000e+01	3s1.3p1.1P_1
5	14	94	12	6	3	2	1	5	1.514630e+01	3.350000e+01	3s0.3p2.1D_2
6	14	94	12	7	3	1	3	1	1.607510e+01	3.350000e+01	3s0.3p2.3P_0
7	14	94	12	8	3	1	3	3	1.609160e+01	3.350000e+01	3s0.3p2.3P_1
8	14	94	12	9	3	1	3	5	1.612370e+01	3.350000e+01	3s0.3p2.3P_2
9	14	94	12	10	3	2	3	3	1.771590e+01	3.350000e+01	3s1.3d1.3D_1
10	14	94	12	11	3	2	3	5	1.771560e+01	3.350000e+01	3s1.3d1.3D_2
11	14	94	12	12	3	2	3	7	1.771530e+01	3.350000e+01	3s1.3d1.3D_3
12	14	94	12	13	3	0	1	1	1.901670e+01	3.350000e+01	3s0.3p2.1S_0
13	14	94	12	14	3	2	1	5	2.054360e+01	3.350000e+01	3s1.3d1.1D_2
14	14	94	12	15	4	0	3	3	1.900840e+01	3.350000e+01	3s1.4s1.3S_1
15	14	94	12	16	4	0	1	1	1.971390e+01	3.350000e+01	3s1.4s1.1S_0
16	14	94	12	17	4	1	3	1	2.171670e+01	3.350000e+01	3s1.4p1.3P_0
17	14	94	12	18	4	1	3	3	2.172080e+01	3.350000e+01	3s1.4p1.3P_1
18	14	94	12	19	4	1	3	5	2.172980e+01	3.350000e+01	3s1.4p1.3P_2
19	14	94	12	20	4	1	1	3	2.187250e+01	3.350000e+01	3s1.4p1.1P_1
20	14	94	12	22	3	0	3	3	1.020930e+02	3.350000e+01	2p5.3s2.3p1.3S_1
21	14	94	12	23	3	2	3	7	1.028810e+02	3.350000e+01	2p5.3s2.3p1.3D_3
22	14	94	12	24	3	2	3	5	1.030110e+02	3.350000e+01	2p5.3s2.3p1.3D_2
23	14	94	12	25	3	2	3	3	1.032180e+02	3.350000e+01	2p5.3s2.3p1.3D_1
24	14	94	12	26	3	1	3	5	1.034810e+02	3.350000e+01	2p5.3s2.3p1.3P_2
25	14	94	12	27	3	1	1	3	1.037220e+02	3.350000e+01	2p5.3s2.3p1.1P_1
26	14	94	12	28	3	1	3	1	1.038800e+02	3.350000e+01	2p5.3s2.3p1.3P_0
27	14	94	12	29	3	2	1	5	1.038950e+02	3.350000e+01	2p5.3s2.3p1.1D_2
28	14	94	12	30	3	1	3	3	1.039650e+02	3.350000e+01	2p5.3s2.3p1.3P_1
29	14	94	12	31	3	0	1	1	1.087160e+02	3.350000e+01	2p5.3s2.3p1.1S_0
30	14	94	12	32	3	1	3	1	1.544700e+02	3.350000e+01	2s1.2p6.3s2.3p1.3P_0
31	14	94	12	33	3	1	3	3	1.544880e+02	3.350000e+01	2s1.2p6.3s2.3p1.3P_1
32	14	94	12	34	3	1	3	5	1.545270e+02	3.350000e+01	2s1.2p6.3s2.3p1.3P_2
33	14	94	12	35	3	1	1	3	1.553400e+02	3.350000e+01	2s1.2p6.3s2.3p1.1P_1
34	14	94	12	36	3	1	5	3	1.594950e+02	3.350000e+01	2s1.2p6.3s1.3p2.5P_1
35	14	94	12	37	3	1	5	5	1.595150e+02	3.350000e+01	2s1.2p6.3s1.3p2.5P_2
36	14	94	12	38	3	1	5	7	1.595440e+02	3.350000e+01	2s1.2p6.3s1.3p2.5P_3
37	14	94	12	39	3	2	3	3	1.623810e+02	3.350000e+01	2s1.2p6.3s1.3p2.3D_1
38	14	94	12	40	3	2	3	5	1.623820e+02	3.350000e+01	2s1.2p6.3s1.3p2.3D_2
39	14	94	12	41	3	2	3	7	1.623830e+02	3.350000e+01	2s1.2p6.3s1.3p2.3D_3
40	14	94	12	42	3	2	1	5	1.639490e+02	3.350000e+01	2s1.2p6.3s1.3p2.1D_2
41	14	94	12	43	3	0	3	3	1.663630e+02	3.350000e+01	2s1.2p6.3s1.3p2.3S_1
42	14	94	12	44	3	1	3	1	1.673140e+02	3.350000e+01	2s1.2p6.3s1.3p2.3P_0
43	14	94	12	45	3	1	3	1	1.673140e+02	3.350000e+01	2s1.2p6.3s1.3p2.3P_0#2
44	14	94	12	46	3	1	3	3	1.673280e+02	3.350000e+01	2s1.2p6.3s1.3p2.3P_1
45	14	94	12	47	3	1	3	3	1.673280e+02	3.350000e+01	2s1.2p6.3s1.3p2.3P_1#2
46	14	94	12	48	3	1	3	5	1.673580e+02	3.350000e+01	2s1.2p6.3s1.3p2.3P_2
47	14	94	12	49	3	1	3	5	1.673580e+02	3.350000e+01	2s1.2p6.3s1.3p2.3P_2#2
48	14	94	12	50	3	1	1	3	1.674560e+02	3.350000e+01	2s1.2p6.3s1.3p2.1P_1
49	14	94	12	51	3	0	1	1	1.685150e+02	3.350000e+01	2s1.2p6.3s1.3p2.1S_0
50	14	94	12	52	3	1	3	1	1.844630e+03	3.350000e+01	1s1.2s2.2p6.3s2.3p1.3P_0
51	14	94	12	53	3	1	3	3	1.844650e+03	3.350000e+01	1s1.2s2.2p6.3s2.3p1.3P_1
52	14	94	12	54	3	1	3	5	1.844690e+03	3.350000e+01	1s1.2s2.2p6.3s2.3p1.3P_2
53	14	94	12	55	3	1	1	3	1.845200e+03	3.350000e+01	1s1.2s2.2p6.3s2.3p1.1P_1
54	14	94	12	57	3	0	2	2	3.350000e+01	3.350000e+01	continuum
55	14	94	12	21	12	0	1	2	3.326740e+01	3.350000e+01	superlevel
56	14	94	12	56	1	0	0	1	1.853780e+03	-1.820280e+03	superlevel_[K]
