	Z	Ion	Initial Level	Final Level	Temperature	Rate
20405	26	349	25	1	1.000000e+01	1.576000e+01
20406	26	349	26	25	1.000000e+01	3.024200e+08
20407	26	349	27	25	1.000000e+01	9.830900e+06
20408	26	349	28	25	1.000000e+01	3.444000e+07
20409	26	349	30	25	1.000000e+01	6.617700e+08
20410	26	349	31	25	1.000000e+01	1.121700e+09
20411	26	349	32	25	1.000000e+01	4.621900e+08
20412	26	349	33	25	1.000000e+01	5.755000e+08
20413	26	349	34	25	1.000000e+01	1.058700e+08
20414	26	349	35	25	1.000000e+01	3.320000e+08
20415	26	349	36	25	1.000000e+01	1.446400e+09
20416	26	349	37	25	1.000000e+01	1.453900e+10
20417	26	349	38	25	1.000000e+01	2.691100e+10
20418	26	349	39	25	1.000000e+01	9.562900e+09
20419	26	349	40	25	1.000000e+01	2.566000e+10
20420	26	349	41	25	1.000000e+01	2.921600e+09
