	Z	Initial_Ion	Initial_Level	Final_Ion	Final_Level	N	L	2S+1	Energy (Ry)	Cross Section (Mb)
16829	26	344	631	345	1	12	0	2	0.000000e+00	5.104000e-01
16830	26	344	631	345	1	12	0	2	1.498030e+02	3.672000e-01
16831	26	344	631	345	1	12	0	2	3.242800e+02	2.641000e-01
16832	26	344	631	345	1	12	0	2	5.260820e+02	1.902000e-01
16833	26	344	631	345	1	12	0	2	7.601230e+02	1.371000e-01
16834	26	344	631	345	1	12	0	2	1.033160e+03	9.871000e-02
16835	26	344	631	345	1	12	0	2	1.348320e+03	7.122000e-02
16836	26	344	631	345	1	12	0	2	1.718410e+03	5.122000e-02
16837	26	344	631	345	1	12	0	2	2.146070e+03	3.690000e-02
16838	26	344	631	345	1	12	0	2	2.644180e+03	2.657000e-02
16839	26	344	631	345	1	12	0	2	3.225050e+03	1.912000e-02
16840	26	344	631	345	1	12	0	2	3.893880e+03	1.379000e-02
16841	26	344	631	345	1	12	0	2	4.669790e+03	9.954000e-03
16842	26	344	631	345	1	12	0	2	5.581390e+03	7.156000e-03
16843	26	344	631	345	1	12	0	2	6.626130e+03	5.166000e-03
16844	26	344	631	345	1	12	0	2	7.839920e+03	3.727000e-03
16845	26	344	631	345	1	12	0	2	9.244770e+03	2.690000e-03
16846	26	344	631	345	1	12	0	2	1.086470e+04	1.944000e-03
16847	26	344	631	345	1	12	0	2	1.276850e+04	1.397000e-03
16848	26	344	631	345	1	12	0	2	1.470590e+04	1.043000e-03
16849	26	344	631	345	1	12	0	2	1.470810e+05	5.244000e-06
16850	26	344	631	345	1	12	0	2	1.470840e+06	7.573000e-09
