	Z	Ion	Initial Level	Final Level	Energy	Strength	Rate
96652	26	337	2	1	5.151987e+00	0.000000e+00	4.744000e+01
96653	26	337	3	1	5.713996e+00	0.000000e+00	1.887000e+00
96654	26	337	3	2	5.620025e-01	0.000000e+00	8.837000e-01
96655	26	337	4	1	9.187923e+00	0.000000e+00	1.744000e+02
96656	26	337	4	2	4.035926e+00	0.000000e+00	7.046000e+01
96657	26	337	4	3	3.473919e+00	0.000000e+00	2.926000e-01
96658	26	337	5	1	9.982206e+00	0.000000e+00	3.260000e+02
96659	26	337	5	2	4.830252e+00	0.000000e+00	1.954000e+02
96660	26	337	5	3	4.268255e+00	0.000000e+00	7.977000e+01
96661	26	337	5	4	7.943413e-01	0.000000e+00	2.043000e+00
96662	26	337	6	1	3.401680e+01	1.997000e-01	1.671000e+09
96663	26	337	6	2	2.886478e+01	2.103000e-03	1.267000e+07
96664	26	337	6	3	2.830277e+01	3.814000e-03	2.210000e+07
96665	26	337	6	5	2.403454e+01	5.525000e-04	2.308000e+06
96666	26	337	7	1	3.521099e+01	1.355000e-01	1.822000e+09
96667	26	337	7	2	3.005896e+01	6.539000e-05	6.410000e+05
96668	26	337	7	3	2.949692e+01	4.341000e-04	4.097000e+06
96669	26	337	7	4	2.602304e+01	1.578000e-05	1.159000e+05
96670	26	337	7	5	2.522867e+01	1.469000e-03	1.014000e+07
96671	26	337	8	1	3.574435e+01	6.922000e-02	1.919000e+09
96672	26	337	8	2	3.059233e+01	2.384000e-04	4.841000e+06
96673	26	337	8	4	2.655637e+01	6.439000e-04	9.853000e+06
96674	26	337	8	5	2.576208e+01	1.141000e-04	1.642000e+06
96675	26	337	9	1	4.212350e+01	2.291000e-04	4.409000e+06
96676	26	337	9	2	3.697154e+01	2.332000e-01	3.458000e+09
96677	26	337	9	3	3.640955e+01	3.510000e-03	5.048000e+07
96678	26	337	9	4	3.293565e+01	2.426000e-02	2.855000e+08
96679	26	337	9	5	3.214132e+01	1.939000e-03	2.173000e+07
96680	26	337	10	1	4.236431e+01	5.674000e-04	7.365000e+06
96681	26	337	10	2	3.721234e+01	2.934000e-03	2.939000e+07
96682	26	337	10	3	3.665033e+01	2.962000e-01	2.878000e+09
96683	26	337	10	5	3.238209e+01	7.351000e-02	5.575000e+08
96684	26	337	11	1	4.831099e+01	1.704000e-03	4.315000e+07
96685	26	337	11	2	4.315906e+01	4.643000e-02	9.382000e+08
96686	26	337	11	3	4.259705e+01	3.982000e-01	7.839000e+09
96687	26	337	11	4	3.912312e+01	2.132000e-02	3.540000e+08
96688	26	337	11	5	3.832884e+01	3.857000e-02	6.148000e+08
96689	26	337	12	1	4.889168e+01	9.870999e-04	5.119000e+07
96690	26	337	12	2	4.373979e+01	1.785000e-01	7.409000e+09
96691	26	337	12	4	3.970384e+01	1.008000e-01	3.446000e+09
96692	26	337	12	5	3.890948e+01	3.814000e-05	1.253000e+06
96693	26	337	13	1	5.088154e+01	1.458000e-03	8.188000e+07
96694	26	337	13	2	4.572950e+01	9.692000e-03	4.398000e+08
96695	26	337	13	4	4.169357e+01	2.343000e-02	8.837000e+08
96696	26	337	13	5	4.089927e+01	2.080000e-01	7.550000e+09
96697	26	337	14	1	-5.210360e+01	4.863000e-04	1.432000e+07
96698	26	337	14	2	-4.695163e+01	5.951000e-03	1.423000e+08
96699	26	337	14	3	-4.638963e+01	6.488000e-05	1.515000e+06
96700	26	337	14	4	-4.291569e+01	7.388000e-04	1.476000e+07
96701	26	337	14	5	-4.212136e+01	2.932000e-05	5.643000e+05
96702	26	337	15	1	-5.257021e+01	1.371000e-03	2.740000e+07
96703	26	337	15	2	-4.741834e+01	1.016000e-03	1.652000e+07
96704	26	337	15	3	-4.685634e+01	2.633000e-03	4.181000e+07
96705	26	337	15	5	-4.258798e+01	6.345000e-04	8.323000e+06
96706	26	337	16	3	-4.753907e+01	1.721000e-03	2.109000e+07
96707	26	337	17	3	-4.838905e+01	0.000000e+00	3.232000e+01
96708	26	337	17	6	-2.008626e+01	0.000000e+00	8.626000e+01
96709	26	337	17	10	-1.173864e+01	0.000000e+00	3.131000e-01
96710	26	337	17	16	-8.498824e-01	0.000000e+00	7.697000e+00
96711	26	337	18	1	-5.420341e+01	4.692000e-03	9.971000e+07
96712	26	337	18	2	-4.905126e+01	5.976000e-05	1.040000e+06
96713	26	337	18	3	-4.848935e+01	2.958000e-07	5.031000e+03
96714	26	337	18	5	-4.422108e+01	3.145000e-04	4.448000e+06
96715	26	337	19	1	-5.459029e+01	9.519000e-04	6.155000e+07
96716	26	337	19	2	-4.943835e+01	6.952000e-03	3.687000e+08
96717	26	337	19	4	-4.540244e+01	6.798000e-04	3.041000e+07
96718	26	337	19	5	-4.460819e+01	3.244000e-03	1.401000e+08
96719	26	337	20	3	-4.895384e+01	2.125000e-03	2.762000e+07
96720	26	337	21	1	-5.472643e+01	7.785000e-03	2.529000e+08
96721	26	337	21	2	-4.957455e+01	3.191000e-05	8.506000e+05
96722	26	337	21	3	-4.901248e+01	1.175000e-02	3.062000e+08
96723	26	337	21	4	-4.553853e+01	2.895000e-04	6.512000e+06
96724	26	337	21	5	-4.474423e+01	1.059000e-03	2.300000e+07
96725	26	337	22	1	-5.530180e+01	1.214000e-02	2.686000e+08
96726	26	337	22	2	-5.014987e+01	1.570000e-04	2.856000e+06
96727	26	337	22	3	-4.958784e+01	4.593000e-03	8.169000e+07
96728	26	337	22	5	-4.531963e+01	1.555000e-04	2.310000e+06
96729	26	337	23	1	-5.652077e+01	0.000000e+00	1.349000e+01
96730	26	337	23	2	-5.136895e+01	0.000000e+00	6.896000e+00
96731	26	337	23	3	-5.080689e+01	2.071000e-07	2.900000e+03
96732	26	337	23	3	-5.080689e+01	0.000000e+00	5.131000e+01
96733	26	337	23	6	-2.250409e+01	0.000000e+00	3.999000e+01
96734	26	337	23	7	-2.130995e+01	0.000000e+00	2.205000e+00
96735	26	337	23	9	-1.439730e+01	0.000000e+00	3.015000e+00
96736	26	337	23	10	-1.415654e+01	0.000000e+00	2.345000e+01
96737	26	337	23	11	-8.209835e+00	0.000000e+00	2.497000e+00
96738	26	337	23	15	-3.950622e+00	0.000000e+00	3.465000e+00
96739	26	337	23	16	-3.267740e+00	0.000000e+00	3.876000e+00
