	Z	Ion	Electron	Level	N	L	2S+1	2J+1	Energy	Potential	Configuration
10348	26	330	22	3	3	1	7	9	4.659340e+01	7.494000e+01	3p5.3d5.7P_4
10349	26	330	22	4	3	1	7	7	4.720090e+01	7.494000e+01	3p5.3d5.7P_3
10350	26	330	22	5	3	1	7	5	4.771400e+01	7.494000e+01	3p5.3d5.7P_2
10351	26	330	22	6	3	1	5	5	5.143420e+01	7.494000e+01	3p5.3d5.5P_2
10352	26	330	22	7	3	1	5	7	5.176520e+01	7.494000e+01	3p5.3d5.5P_3
10353	26	330	22	8	3	1	5	3	7.230170e+01	7.494000e+01	3p5.3d5.5P_1
10354	26	330	22	9	3	1	5	5	7.276100e+01	7.494000e+01	3p5.3d5.5P_2#2
10355	26	330	22	10	3	1	5	7	7.315150e+01	7.494000e+01	3p5.3d5.5P_3#2
10356	26	330	22	11	3	1	7	9	7.077030e+02	7.494000e+01	2p5.3s2.3p6.3d5.7P_4
10357	26	330	22	12	3	1	7	7	7.094560e+02	7.494000e+01	2p5.3s2.3p6.3d5.7P_3
10358	26	330	22	13	3	1	5	5	7.108710e+02	7.494000e+01	2p5.3s2.3p6.3d5.5P_2
10359	26	330	22	14	3	1	5	3	7.117710e+02	7.494000e+01	2p5.3s2.3p6.3d5.5P_1
10360	26	330	22	15	3	1	5	7	7.156450e+02	7.494000e+01	2p5.3s2.3p6.3d5.5P_3
10361	26	330	22	16	3	2	3	5	7.160780e+02	7.494000e+01	2p5.3s2.3p6.3d5.3D_2
10362	26	330	22	17	3	1	5	5	7.163430e+02	7.494000e+01	2p5.3s2.3p6.3d5.5P_2#2
10363	26	330	22	18	3	2	3	3	7.177900e+02	7.494000e+01	2p5.3s2.3p6.3d5.3D_1
10364	26	330	22	19	3	1	5	3	7.182370e+02	7.494000e+01	2p5.3s2.3p6.3d5.5P_1#2
10365	26	330	22	20	3	1	5	3	7.199040e+02	7.494000e+01	2p5.3s2.3p6.3d5.5P_1#3
10366	26	330	22	21	3	1	3	3	7.202020e+02	7.494000e+01	2p5.3s2.3p6.3d5.3P_1
10367	26	330	22	22	3	1	3	5	7.216560e+02	7.494000e+01	2p5.3s2.3p6.3d5.3P_2
10368	26	330	22	23	3	2	1	5	7.221250e+02	7.494000e+01	2p5.3s2.3p6.3d5.1D_2
10369	26	330	22	24	3	2	3	5	7.228140e+02	7.494000e+01	2p5.3s2.3p6.3d5.3D_2#2
10370	26	330	22	25	3	3	3	5	7.233680e+02	7.494000e+01	2p5.3s2.3p6.3d5.3F_2
10371	26	330	22	26	3	2	3	5	7.237520e+02	7.494000e+01	2p5.3s2.3p6.3d5.3D_2#3
10372	26	330	22	27	3	3	1	7	7.240690e+02	7.494000e+01	2p5.3s2.3p6.3d5.1F_3
10373	26	330	22	28	3	4	3	7	7.248590e+02	7.494000e+01	2p5.3s2.3p6.3d5.3G_3
10374	26	330	22	29	3	1	5	7	7.252190e+02	7.494000e+01	2p5.3s2.3p6.3d5.5P_3#2
10375	26	330	22	30	3	2	3	7	7.295400e+02	7.494000e+01	2p5.3s2.3p6.3d5.3D_3
10376	26	330	22	31	3	0	7	7	7.115130e+03	7.494000e+01	1s1.2s2.2p6.3s2.3p6.3d5.7S_3
10377	26	330	22	32	3	0	5	5	7.115220e+03	7.494000e+01	1s1.2s2.2p6.3s2.3p6.3d5.5S_2
10378	26	330	22	1	3	2	5	25	0.000000e+00	7.494000e+01	3d4.5D
10379	26	330	22	65	3	3	4	4	7.494000e+01	7.494000e+01	continuum
10380	26	330	22	2	12	0	1	4	7.441960e+01	7.494000e+01	superlevel
