	Z	Initial_Ion	Initial Level	Final_Ion	Final Level	N	L	2S+1	Temperature	Rate
23509	26	331	1	330	2	12	0	2	1.000000e+01	-8.721020e+00
23510	26	331	1	330	2	12	0	2	1.258925e+01	-8.791020e+00
23511	26	331	1	330	2	12	0	2	1.584893e+01	-8.861020e+00
23512	26	331	1	330	2	12	0	2	1.995262e+01	-8.931020e+00
23513	26	331	1	330	2	12	0	2	2.511886e+01	-9.001020e+00
23514	26	331	1	330	2	12	0	2	3.162278e+01	-9.071020e+00
23515	26	331	1	330	2	12	0	2	3.981072e+01	-9.141020e+00
23516	26	331	1	330	2	12	0	2	5.011873e+01	-9.211020e+00
23517	26	331	1	330	2	12	0	2	6.309573e+01	-9.281020e+00
23518	26	331	1	330	2	12	0	2	7.943282e+01	-9.350860e+00
23519	26	331	1	330	2	12	0	2	1.000000e+02	-9.418330e+00
23520	26	331	1	330	2	12	0	2	1.258925e+02	-9.467450e+00
23521	26	331	1	330	2	12	0	2	1.584893e+02	-9.444850e+00
23522	26	331	1	330	2	12	0	2	1.995262e+02	-9.299930e+00
23523	26	331	1	330	2	12	0	2	2.511887e+02	-9.084960e+00
23524	26	331	1	330	2	12	0	2	3.162278e+02	-8.883900e+00
23525	26	331	1	330	2	12	0	2	3.981071e+02	-8.732210e+00
23526	26	331	1	330	2	12	0	2	5.011873e+02	-8.633010e+00
23527	26	331	1	330	2	12	0	2	6.309573e+02	-8.577630e+00
23528	26	331	1	330	2	12	0	2	7.943284e+02	-8.553500e+00
23529	26	331	1	330	2	12	0	2	1.000000e+03	-8.548110e+00
23530	26	331	1	330	2	12	0	2	1.258925e+03	-8.552690e+00
23531	26	331	1	330	2	12	0	2	1.584893e+03	-8.563830e+00
23532	26	331	1	330	2	12	0	2	1.995262e+03	-8.581430e+00
23533	26	331	1	330	2	12	0	2	2.511887e+03	-8.605730e+00
23534	26	331	1	330	2	12	0	2	3.162278e+03	-8.636480e+00
23535	26	331	1	330	2	12	0	2	3.981071e+03	-8.673800e+00
23536	26	331	1	330	2	12	0	2	5.011873e+03	-8.718840e+00
23537	26	331	1	330	2	12	0	2	6.309573e+03	-8.773210e+00
23538	26	331	1	330	2	12	0	2	7.943284e+03	-8.837910e+00
23539	26	331	1	330	2	12	0	2	1.000000e+04	-8.912370e+00
23540	26	331	1	330	2	12	0	2	1.258925e+04	-8.993940e+00
23541	26	331	1	330	2	12	0	2	1.584892e+04	-9.078300e+00
23542	26	331	1	330	2	12	0	2	1.995263e+04	-9.160630e+00
23543	26	331	1	330	2	12	0	2	2.511887e+04	-9.236140e+00
23544	26	331	1	330	2	12	0	2	3.162278e+04	-9.299550e+00
23545	26	331	1	330	2	12	0	2	3.981071e+04	-9.344820e+00
23546	26	331	1	330	2	12	0	2	5.011870e+04	-9.367190e+00
23547	26	331	1	330	2	12	0	2	6.309576e+04	-9.367950e+00
23548	26	331	1	330	2	12	0	2	7.943284e+04	-9.356670e+00
23549	26	331	1	330	2	12	0	2	1.000000e+05	-9.346730e+00
23550	26	331	1	330	2	12	0	2	1.258925e+05	-9.348880e+00
23551	26	331	1	330	2	12	0	2	1.584892e+05	-9.368850e+00
23552	26	331	1	330	2	12	0	2	1.995263e+05	-9.408210e+00
23553	26	331	1	330	2	12	0	2	2.511887e+05	-9.466060e+00
23554	26	331	1	330	2	12	0	2	3.162278e+05	-9.540390e+00
23555	26	331	1	330	2	12	0	2	3.981071e+05	-9.628830e+00
23556	26	331	1	330	2	12	0	2	5.011870e+05	-9.729080e+00
23557	26	331	1	330	2	12	0	2	6.309576e+05	-9.839050e+00
23558	26	331	1	330	2	12	0	2	7.943284e+05	-9.956980e+00
23559	26	331	1	330	2	12	0	2	1.000000e+06	-1.008140e+01
23560	26	331	1	330	2	12	0	2	1.258925e+06	-1.021100e+01
23561	26	331	1	330	2	12	0	2	1.584892e+06	-1.034490e+01
23562	26	331	1	330	2	12	0	2	1.995263e+06	-1.048220e+01
23563	26	331	1	330	2	12	0	2	2.511887e+06	-1.062220e+01
23564	26	331	1	330	2	12	0	2	3.162278e+06	-1.076460e+01
23565	26	331	1	330	2	12	0	2	3.981071e+06	-1.090880e+01
23566	26	331	1	330	2	12	0	2	5.011870e+06	-1.105440e+01
23567	26	331	1	330	2	12	0	2	6.309576e+06	-1.120130e+01
23568	26	331	1	330	2	12	0	2	7.943284e+06	-1.134900e+01
23569	26	331	1	330	2	12	0	2	1.000000e+07	-1.149730e+01
23570	26	331	1	330	2	12	0	2	1.258925e+07	-1.164610e+01
23571	26	331	1	330	2	12	0	2	1.584892e+07	-1.179510e+01
23572	26	331	1	330	2	12	0	2	1.995263e+07	-1.194400e+01
23573	26	331	1	330	2	12	0	2	2.511887e+07	-1.209270e+01
23574	26	331	1	330	2	12	0	2	3.162278e+07	-1.224100e+01
23575	26	331	1	330	2	12	0	2	3.981071e+07	-1.238850e+01
23576	26	331	1	330	2	12	0	2	5.011870e+07	-1.253500e+01
23577	26	331	1	330	2	12	0	2	6.309576e+07	-1.268030e+01
23578	26	331	1	330	2	12	0	2	7.943284e+07	-1.282390e+01
23579	26	331	1	330	2	12	0	2	1.000000e+08	-1.296540e+01
23580	26	331	1	330	2	12	0	2	1.258927e+08	-1.310440e+01
23581	26	331	1	330	2	12	0	2	1.584892e+08	-1.324030e+01
23582	26	331	1	330	2	12	0	2	1.995263e+08	-1.337240e+01
23583	26	331	1	330	2	12	0	2	2.511884e+08	-1.350020e+01
23584	26	331	1	330	2	12	0	2	3.162278e+08	-1.362330e+01
23585	26	331	1	330	2	12	0	2	3.981075e+08	-1.374130e+01
23586	26	331	1	330	2	12	0	2	5.011870e+08	-1.385410e+01
23587	26	331	1	330	2	12	0	2	6.309576e+08	-1.396180e+01
23588	26	331	1	330	2	12	0	2	7.943275e+08	-1.406480e+01
23589	26	331	1	330	2	12	0	2	1.000000e+09	-1.416330e+01
