	Z	Initial_Ion	Initial_Level	Final_Ion	Final_Level	N	L	2S+1	Energy (Ry)	Cross Section (Mb)
16141	26	327	160	328	1	12	0	2	0.000000e+00	4.606000e+01
16142	26	327	160	328	1	12	0	2	1.839140e-02	3.314000e+01
16143	26	327	160	328	1	12	0	2	3.973570e-02	2.386000e+01
16144	26	327	160	328	1	12	0	2	6.452590e-02	1.718000e+01
16145	26	327	160	328	1	12	0	2	9.342660e-02	1.236000e+01
16146	26	327	160	328	1	12	0	2	1.266320e-01	8.926000e+00
16147	26	327	160	328	1	12	0	2	1.656550e-01	6.422000e+00
16148	26	327	160	328	1	12	0	2	2.104990e-01	4.637000e+00
16149	26	327	160	328	1	12	0	2	2.627940e-01	3.344000e+00
16150	26	327	160	328	1	12	0	2	3.230070e-01	2.418000e+00
16151	26	327	160	328	1	12	0	2	3.928600e-01	1.748000e+00
16152	26	327	160	328	1	12	0	2	4.749310e-01	1.259000e+00
16153	26	327	160	328	1	12	0	2	5.689860e-01	9.109000e-01
16154	26	327	160	328	1	12	0	2	6.782600e-01	6.584000e-01
16155	26	327	160	328	1	12	0	2	8.047370e-01	4.761000e-01
16156	26	327	160	328	1	12	0	2	9.538770e-01	3.424000e-01
16157	26	327	160	328	1	12	0	2	1.125840e+00	2.467000e-01
16158	26	327	160	328	1	12	0	2	1.323380e+00	1.783000e-01
16159	26	327	160	328	1	12	0	2	1.554750e+00	1.283000e-01
16160	26	327	160	328	1	12	0	2	1.819510e+00	9.262000e-02
16161	26	327	160	328	1	12	0	2	2.128570e+00	6.664000e-02
16162	26	327	160	328	1	12	0	2	2.489330e+00	4.778000e-02
16163	26	327	160	328	1	12	0	2	2.900590e+00	3.439000e-02
16164	26	327	160	328	1	12	0	2	3.379030e+00	2.467000e-02
16165	26	327	160	328	1	12	0	2	3.922350e+00	1.776000e-02
16166	26	327	160	328	1	12	0	2	4.552300e+00	1.274000e-02
16167	26	327	160	328	1	12	0	2	5.282730e+00	9.108000e-03
16168	26	327	160	328	1	12	0	2	6.108960e+00	6.534000e-03
16169	26	327	160	328	1	12	0	2	7.063750e+00	4.668000e-03
16170	26	327	160	328	1	12	0	2	8.139580e+00	3.348000e-03
16171	26	327	160	328	1	12	0	2	9.378620e+00	2.391000e-03
16172	26	327	160	328	1	12	0	2	1.076930e+01	1.713000e-03
16173	26	327	160	328	1	12	0	2	1.236550e+01	1.223000e-03
16174	26	327	160	328	1	12	0	2	1.414990e+01	8.757000e-04
16175	26	327	160	328	1	12	0	2	1.619130e+01	6.244000e-04
16176	26	327	160	328	1	12	0	2	1.846430e+01	4.471000e-04
16177	26	327	160	328	1	12	0	2	2.105590e+01	3.187000e-04
16178	26	327	160	328	1	12	0	2	2.401070e+01	2.262000e-04
16179	26	327	160	328	1	12	0	2	2.728750e+01	1.612000e-04
16180	26	327	160	328	1	12	0	2	3.101100e+01	1.145000e-04
16181	26	327	160	328	1	12	0	2	3.512380e+01	8.165000e-05
16182	26	327	160	328	1	12	0	2	3.978140e+01	5.802000e-05
16183	26	327	160	328	1	12	0	2	4.505630e+01	4.106000e-05
16184	26	327	160	328	1	12	0	2	5.085850e+01	2.923000e-05
16185	26	327	160	328	1	12	0	2	5.740760e+01	2.073000e-05
16186	26	327	160	328	1	12	0	2	6.458180e+01	1.479000e-05
16187	26	327	160	328	1	12	0	2	7.265230e+01	1.052000e-05
16188	26	327	160	328	1	12	0	2	8.173100e+01	7.461000e-06
16189	26	327	160	328	1	12	0	2	9.194360e+01	5.274000e-06
16190	26	327	160	328	1	12	0	2	1.030840e+02	3.755000e-06
16191	26	327	160	328	1	12	0	2	1.155740e+02	2.666000e-06
16192	26	327	160	328	1	12	0	2	1.295770e+02	1.888000e-06
16193	26	327	160	328	1	12	0	2	1.452770e+02	1.333000e-06
16194	26	327	160	328	1	12	0	2	1.623320e+02	9.490000e-07
16195	26	327	160	328	1	12	0	2	1.813880e+02	6.741000e-07
16196	26	327	160	328	1	12	0	2	2.026800e+02	4.777000e-07
16197	26	327	160	328	1	12	0	2	2.047360e+02	4.630000e-07
