	Z	Initial_Ion	Initial Level	Final_Ion	Final Level	N	L	2S+1	Temperature	Rate
2063	8	32	1	31	47	12	0	2	8.621738e-04	3.972098e-10
2064	8	32	1	31	47	12	0	2	1.085413e-03	3.468008e-10
2065	8	32	1	31	47	12	0	2	1.366454e-03	3.030192e-10
2066	8	32	1	31	47	12	0	2	1.720263e-03	2.661889e-10
2067	8	32	1	31	47	12	0	2	2.165683e-03	2.377714e-10
2068	8	32	1	31	47	12	0	2	2.726433e-03	2.192451e-10
2069	8	32	1	31	47	12	0	2	3.432376e-03	2.100630e-10
2070	8	32	1	31	47	12	0	2	4.321105e-03	2.067425e-10
2071	8	32	1	31	47	12	0	2	5.439948e-03	2.042821e-10
2072	8	32	1	31	47	12	0	2	6.848490e-03	1.985547e-10
2073	8	32	1	31	47	12	0	2	8.621738e-03	1.877931e-10
2074	8	32	1	31	47	12	0	2	1.085412e-02	1.725241e-10
2075	8	32	1	31	47	12	0	2	1.366454e-02	1.544685e-10
2076	8	32	1	31	47	12	0	2	1.720263e-02	1.354565e-10
2077	8	32	1	31	47	12	0	2	2.165683e-02	1.168557e-10
2078	8	32	1	31	47	12	0	2	2.726433e-02	9.949468e-11
2079	8	32	1	31	47	12	0	2	3.432375e-02	8.377231e-11
2080	8	32	1	31	47	12	0	2	4.321105e-02	6.988764e-11
2081	8	32	1	31	47	12	0	2	5.439948e-02	5.784949e-11
2082	8	32	1	31	47	12	0	2	6.848491e-02	4.757728e-11
2083	8	32	1	31	47	12	0	2	8.621738e-02	3.890453e-11
2084	8	32	1	31	47	12	0	2	1.085412e-01	3.165189e-11
2085	8	32	1	31	47	12	0	2	1.366454e-01	2.562713e-11
2086	8	32	1	31	47	12	0	2	1.720263e-01	2.071096e-11
2087	8	32	1	31	47	12	0	2	2.165683e-01	1.690830e-11
2088	8	32	1	31	47	12	0	2	2.726433e-01	1.426592e-11
2089	8	32	1	31	47	12	0	2	3.432375e-01	1.271160e-11
2090	8	32	1	31	47	12	0	2	4.321105e-01	1.194538e-11
2091	8	32	1	31	47	12	0	2	5.439948e-01	1.151862e-11
2092	8	32	1	31	47	12	0	2	6.848491e-01	1.102807e-11
2093	8	32	1	31	47	12	0	2	8.621738e-01	1.024944e-11
2094	8	32	1	31	47	12	0	2	1.085412e+00	9.155887e-12
2095	8	32	1	31	47	12	0	2	1.366453e+00	7.854158e-12
2096	8	32	1	31	47	12	0	2	1.720264e+00	6.565984e-12
2097	8	32	1	31	47	12	0	2	2.165683e+00	5.742486e-12
2098	8	32	1	31	47	12	0	2	2.726433e+00	6.131964e-12
2099	8	32	1	31	47	12	0	2	3.432375e+00	8.482037e-12
2100	8	32	1	31	47	12	0	2	4.321103e+00	1.289735e-11
2101	8	32	1	31	47	12	0	2	5.439951e+00	1.856096e-11
2102	8	32	1	31	47	12	0	2	6.848491e+00	2.413793e-11
2103	8	32	1	31	47	12	0	2	8.621738e+00	2.847083e-11
2104	8	32	1	31	47	12	0	2	1.085412e+01	3.094565e-11
2105	8	32	1	31	47	12	0	2	1.366453e+01	3.142680e-11
2106	8	32	1	31	47	12	0	2	1.720264e+01	3.015780e-11
2107	8	32	1	31	47	12	0	2	2.165683e+01	2.756767e-11
2108	8	32	1	31	47	12	0	2	2.726433e+01	2.415463e-11
2109	8	32	1	31	47	12	0	2	3.432375e+01	2.040328e-11
2110	8	32	1	31	47	12	0	2	4.321103e+01	1.670322e-11
2111	8	32	1	31	47	12	0	2	5.439951e+01	1.331681e-11
2112	8	32	1	31	47	12	0	2	6.848491e+01	1.038246e-11
2113	8	32	1	31	47	12	0	2	8.621738e+01	7.948772e-12
2114	8	32	1	31	47	12	0	2	1.085412e+02	5.995144e-12
2115	8	32	1	31	47	12	0	2	1.366453e+02	4.466832e-12
2116	8	32	1	31	47	12	0	2	1.720264e+02	3.296094e-12
2117	8	32	1	31	47	12	0	2	2.165683e+02	2.413236e-12
2118	8	32	1	31	47	12	0	2	2.726433e+02	1.756306e-12
2119	8	32	1	31	47	12	0	2	3.432375e+02	1.272037e-12
2120	8	32	1	31	47	12	0	2	4.321103e+02	9.179098e-13
2121	8	32	1	31	47	12	0	2	5.439951e+02	6.605407e-13
2122	8	32	1	31	47	12	0	2	6.848491e+02	4.742416e-13
2123	8	32	1	31	47	12	0	2	8.621738e+02	3.399380e-13
2124	8	32	1	31	47	12	0	2	1.085412e+03	2.433324e-13
2125	8	32	1	31	47	12	0	2	1.366453e+03	1.740202e-13
