	Z	Ion	Initial Level	Final Level	Energy	Strength	Rate
23565	14	105	2	1	2.004259e+03	0.000000e+00	2.406770e+13
23566	14	105	3	1	2.006014e+03	0.000000e+00	2.406770e+13
23567	14	105	5	1	2.376027e+03	0.000000e+00	6.425310e+12
23568	14	105	5	4	3.717022e+02	0.000000e+00	8.623930e+11
23569	14	105	6	1	2.376547e+03	0.000000e+00	6.425310e+12
23570	14	105	6	4	3.722222e+02	0.000000e+00	8.623930e+11
23571	14	105	7	2	3.717880e+02	0.000000e+00	2.425470e+11
23572	14	105	7	3	3.700333e+02	0.000000e+00	2.425470e+11
23573	14	105	8	2	3.722872e+02	0.000000e+00	2.483690e+12
23574	14	105	8	3	3.705325e+02	0.000000e+00	2.483690e+12
23575	14	105	9	2	3.724596e+02	0.000000e+00	2.483690e+12
23576	14	105	9	3	3.707049e+02	0.000000e+00	2.483690e+12
23577	14	105	10	1	2.506075e+03	0.000000e+00	2.619510e+12
23578	14	105	10	4	5.017495e+02	0.000000e+00	3.714160e+11
23579	14	105	10	7	1.300274e+02	0.000000e+00	1.177520e+11
23580	14	105	10	8	1.295282e+02	0.000000e+00	1.335120e+10
23581	14	105	10	9	1.293558e+02	0.000000e+00	1.335120e+10
23582	14	105	11	1	2.506294e+03	0.000000e+00	2.619510e+12
23583	14	105	11	4	5.019688e+02	0.000000e+00	3.714160e+11
23584	14	105	11	7	1.302467e+02	0.000000e+00	1.177520e+11
23585	14	105	11	8	1.297475e+02	0.000000e+00	1.335120e+10
23586	14	105	11	9	1.295751e+02	0.000000e+00	1.335120e+10
23587	14	105	12	2	5.018238e+02	0.000000e+00	9.904410e+10
23588	14	105	12	3	5.000691e+02	0.000000e+00	9.904410e+10
23589	14	105	12	5	1.300558e+02	0.000000e+00	7.051100e+10
23590	14	105	12	6	1.295358e+02	0.000000e+00	7.051100e+10
23591	14	105	13	2	5.020343e+02	0.000000e+00	7.923530e+11
23592	14	105	13	3	5.002796e+02	0.000000e+00	7.923530e+11
23593	14	105	13	5	1.302663e+02	0.000000e+00	2.703620e+11
23594	14	105	13	6	1.297463e+02	0.000000e+00	2.703620e+11
23595	14	105	14	2	5.021071e+02	0.000000e+00	7.923530e+11
23596	14	105	14	3	5.003524e+02	0.000000e+00	7.923530e+11
23597	14	105	14	5	1.303391e+02	0.000000e+00	2.703620e+11
23598	14	105	14	6	1.298191e+02	0.000000e+00	2.703620e+11
23599	14	105	15	8	1.298198e+02	0.000000e+00	5.296870e+11
