	Z	Ion	Initial Level	Final Level	Temperature	Rate
18122	15	105	32	30	1.960018e+05	7.482670e+00
18123	15	105	32	30	1.960018e+06	7.687200e+00
18124	15	105	32	30	1.960018e+07	7.712190e+00
18125	15	105	32	12	1.960018e+05	5.533040e+00
18126	15	105	32	12	1.960018e+06	6.269340e+00
18127	15	105	32	12	1.960018e+07	6.816670e+00
18128	15	105	32	31	1.960018e+05	7.630500e+00
18129	15	105	32	31	1.960018e+06	7.699720e+00
18130	15	105	32	31	1.960018e+07	7.686720e+00
18131	15	105	32	4	1.960018e+05	6.335040e+00
18132	15	105	32	4	1.960018e+06	7.071370e+00
18133	15	105	32	4	1.960018e+07	7.618700e+00
18134	15	105	32	20	1.960018e+05	6.892530e+00
18135	15	105	32	20	1.960018e+06	7.392140e+00
18136	15	105	32	20	1.960018e+07	7.580780e+00
18137	15	105	32	21	1.960018e+05	6.892530e+00
18138	15	105	32	21	1.960018e+06	7.392140e+00
18139	15	105	32	21	1.960018e+07	7.580780e+00
18140	15	105	32	22	1.960018e+05	7.302360e+00
18141	15	105	32	22	1.960018e+06	7.652780e+00
18142	15	105	32	22	1.960018e+07	7.739330e+00
18143	15	105	32	23	1.960018e+05	7.302360e+00
18144	15	105	32	23	1.960018e+06	7.652780e+00
18145	15	105	32	23	1.960018e+07	7.739330e+00
18146	15	105	32	13	1.960018e+05	7.115020e+00
18147	15	105	32	13	1.960018e+06	7.613700e+00
18148	15	105	32	13	1.960018e+07	7.799770e+00
18149	15	105	32	14	1.960018e+05	7.115020e+00
18150	15	105	32	14	1.960018e+06	7.613700e+00
18151	15	105	32	14	1.960018e+07	7.799770e+00
18152	15	105	32	24	1.960018e+05	7.446710e+00
18153	15	105	32	24	1.960018e+06	7.648850e+00
18154	15	105	32	24	1.960018e+07	7.672650e+00
18155	15	105	32	25	1.960018e+05	7.446710e+00
18156	15	105	32	25	1.960018e+06	7.648850e+00
18157	15	105	32	25	1.960018e+07	7.672650e+00
18158	15	105	32	28	1.960018e+05	6.688650e+00
18159	15	105	32	28	1.960018e+06	7.189640e+00
18160	15	105	32	28	1.960018e+07	7.381620e+00
18161	15	105	32	5	1.960018e+05	6.910750e+00
18162	15	105	32	5	1.960018e+06	7.570780e+00
18163	15	105	32	5	1.960018e+07	8.021250e+00
18164	15	105	32	6	1.960018e+05	6.910750e+00
18165	15	105	32	6	1.960018e+06	7.570780e+00
18166	15	105	32	6	1.960018e+07	8.021250e+00
18167	15	105	32	15	1.960018e+05	7.366960e+00
18168	15	105	32	15	1.960018e+06	7.716200e+00
18169	15	105	32	15	1.960018e+07	7.801270e+00
18170	15	105	32	16	1.960018e+05	7.366960e+00
18171	15	105	32	16	1.960018e+06	7.716200e+00
18172	15	105	32	16	1.960018e+07	7.801270e+00
18173	15	105	32	26	1.960018e+05	5.081020e+00
18174	15	105	32	26	1.960018e+06	5.817310e+00
18175	15	105	32	26	1.960018e+07	6.364600e+00
18176	15	105	32	19	1.960018e+05	5.283470e+00
18177	15	105	32	19	1.960018e+06	6.019820e+00
18178	15	105	32	19	1.960018e+07	6.567160e+00
18179	15	105	32	2	1.960018e+05	7.314160e+00
18180	15	105	32	2	1.960018e+06	7.963190e+00
18181	15	105	32	2	1.960018e+07	8.370370e+00
18182	15	105	32	3	1.960018e+05	7.314160e+00
18183	15	105	32	3	1.960018e+06	7.963190e+00
18184	15	105	32	3	1.960018e+07	8.370370e+00
18185	15	105	32	27	1.960018e+05	6.184120e+00
18186	15	105	32	27	1.960018e+06	6.870390e+00
18187	15	105	32	27	1.960018e+07	7.405170e+00
18188	15	105	32	17	1.960018e+05	6.374100e+00
18189	15	105	32	17	1.960018e+06	7.052350e+00
18190	15	105	32	17	1.960018e+07	7.563680e+00
18191	15	105	32	18	1.960018e+05	6.374100e+00
18192	15	105	32	18	1.960018e+06	7.052350e+00
18193	15	105	32	18	1.960018e+07	7.563680e+00
18194	15	105	32	7	1.960018e+05	5.861360e+00
18195	15	105	32	7	1.960018e+06	6.597650e+00
18196	15	105	32	7	1.960018e+07	7.144970e+00
18197	15	105	32	8	1.960018e+05	7.327070e+00
18198	15	105	32	8	1.960018e+06	7.825030e+00
18199	15	105	32	8	1.960018e+07	8.009060e+00
18200	15	105	32	9	1.960018e+05	7.327070e+00
18201	15	105	32	9	1.960018e+06	7.825030e+00
18202	15	105	32	9	1.960018e+07	8.009060e+00
18203	15	105	32	29	1.960018e+05	7.158090e+00
18204	15	105	32	29	1.960018e+06	7.510730e+00
18205	15	105	32	29	1.960018e+07	7.599630e+00
18206	15	105	32	10	1.960018e+05	6.608070e+00
18207	15	105	32	10	1.960018e+06	7.277740e+00
18208	15	105	32	10	1.960018e+07	7.761920e+00
18209	15	105	32	11	1.960018e+05	6.608070e+00
18210	15	105	32	11	1.960018e+06	7.277740e+00
18211	15	105	32	11	1.960018e+07	7.761920e+00
18212	15	105	32	1	1.960018e+05	7.170980e+00
18213	15	105	32	1	1.960018e+06	7.907370e+00
18214	15	105	32	1	1.960018e+07	8.454730e+00
