	Z	Initial_Ion	Initial_Level	Final_Ion	Final_Level	N	L	2S+1	Energy (Ry)	Cross Section (Mb)
6085	14	102	47	103	1	12	0	2	0.000000e+00	1.523000e+00
6086	14	102	47	103	1	12	0	2	1.686080e+01	1.095000e+00
6087	14	102	47	103	1	12	0	2	3.637940e+01	7.885000e-01
6088	14	102	47	103	1	12	0	2	5.916180e+01	5.671000e-01
6089	14	102	47	103	1	12	0	2	8.543770e+01	4.089000e-01
6090	14	102	47	103	1	12	0	2	1.159340e+02	2.949000e-01
6091	14	102	47	103	1	12	0	2	1.514690e+02	2.125000e-01
6092	14	102	47	103	1	12	0	2	1.925460e+02	1.534000e-01
6093	14	102	47	103	1	12	0	2	2.406050e+02	1.104000e-01
6094	14	102	47	103	1	12	0	2	2.965800e+02	7.949000e-02
6095	14	102	47	103	1	12	0	2	3.618540e+02	5.716000e-02
6096	14	102	47	103	1	12	0	2	4.370130e+02	4.122000e-02
6097	14	102	47	103	1	12	0	2	5.242050e+02	2.974000e-02
6098	14	102	47	103	1	12	0	2	6.266460e+02	2.138000e-02
6099	14	102	47	103	1	12	0	2	7.440460e+02	1.543000e-02
6100	14	102	47	103	1	12	0	2	8.804460e+02	1.113000e-02
6101	14	102	47	103	1	12	0	2	1.038310e+03	8.030000e-03
6102	14	102	47	103	1	12	0	2	1.220360e+03	5.801000e-03
6103	14	102	47	103	1	12	0	2	1.434290e+03	4.170000e-03
6104	14	102	47	103	1	12	0	2	1.680040e+03	3.005000e-03
6105	14	102	47	103	1	12	0	2	1.967860e+03	2.156000e-03
6106	14	102	47	103	1	12	0	2	2.297230e+03	1.551000e-03
6107	14	102	47	103	1	12	0	2	2.681700e+03	1.112000e-03
6108	14	102	47	103	1	12	0	2	3.119980e+03	7.995000e-04
6109	14	102	47	103	1	12	0	2	3.629870e+03	5.727000e-04
6110	14	102	47	103	1	12	0	2	4.208900e+03	4.116000e-04
6111	14	102	47	103	1	12	0	2	4.880250e+03	2.946000e-04
6112	14	102	47	103	1	12	0	2	5.639680e+03	2.116000e-04
6113	14	102	47	103	1	12	0	2	6.517260e+03	1.514000e-04
6114	14	102	47	103	1	12	0	2	7.506100e+03	1.087000e-04
6115	14	102	47	103	1	12	0	2	8.644970e+03	7.766000e-05
6116	14	102	47	103	1	12	0	2	9.923130e+03	5.569000e-05
6117	14	102	47	103	1	12	0	2	1.139030e+04	3.976000e-05
6118	14	102	47	103	1	12	0	2	1.303040e+04	2.849000e-05
6119	14	102	47	103	1	12	0	2	1.470750e+04	2.103000e-05
6120	14	102	47	103	1	12	0	2	1.470830e+05	3.234000e-08
