	Z	Initial_Ion	Initial Level	Final_Ion	Final Level	N	L	2S+1	Temperature	Rate
6706	14	104	1	103	25	12	0	2	1.000000e+01	5.050106e-09
6707	14	104	1	103	25	12	0	2	1.258925e+01	4.491481e-09
6708	14	104	1	103	25	12	0	2	1.584893e+01	3.993649e-09
6709	14	104	1	103	25	12	0	2	1.995262e+01	3.549928e-09
6710	14	104	1	103	25	12	0	2	2.511886e+01	3.154641e-09
6711	14	104	1	103	25	12	0	2	3.162278e+01	2.802398e-09
6712	14	104	1	103	25	12	0	2	3.981072e+01	2.488573e-09
6713	14	104	1	103	25	12	0	2	5.011873e+01	2.208969e-09
6714	14	104	1	103	25	12	0	2	6.309573e+01	1.959928e-09
6715	14	104	1	103	25	12	0	2	7.943282e+01	1.738040e-09
6716	14	104	1	103	25	12	0	2	1.000000e+02	1.540458e-09
6717	14	104	1	103	25	12	0	2	1.258925e+02	1.364521e-09
6718	14	104	1	103	25	12	0	2	1.584893e+02	1.207869e-09
6719	14	104	1	103	25	12	0	2	1.995262e+02	1.068441e-09
6720	14	104	1	103	25	12	0	2	2.511887e+02	9.443644e-10
6721	14	104	1	103	25	12	0	2	3.162278e+02	8.339879e-10
6722	14	104	1	103	25	12	0	2	3.981071e+02	7.358509e-10
6723	14	104	1	103	25	12	0	2	5.011873e+02	6.486049e-10
6724	14	104	1	103	25	12	0	2	6.309573e+02	5.711098e-10
6725	14	104	1	103	25	12	0	2	7.943284e+02	5.022965e-10
6726	14	104	1	103	25	12	0	2	1.000000e+03	4.412249e-10
6727	14	104	1	103	25	12	0	2	1.258925e+03	3.870173e-10
6728	14	104	1	103	25	12	0	2	1.584893e+03	3.389065e-10
6729	14	104	1	103	25	12	0	2	1.995262e+03	2.961962e-10
6730	14	104	1	103	25	12	0	2	2.511887e+03	2.582797e-10
6731	14	104	1	103	25	12	0	2	3.162278e+03	2.245848e-10
6732	14	104	1	103	25	12	0	2	3.981071e+03	1.945986e-10
6733	14	104	1	103	25	12	0	2	5.011873e+03	1.678533e-10
6734	14	104	1	103	25	12	0	2	6.309573e+03	1.440091e-10
6735	14	104	1	103	25	12	0	2	7.943284e+03	1.228315e-10
6736	14	104	1	103	25	12	0	2	1.000000e+04	1.041429e-10
6737	14	104	1	103	25	12	0	2	1.258925e+04	8.776073e-11
6738	14	104	1	103	25	12	0	2	1.584892e+04	7.348530e-11
6739	14	104	1	103	25	12	0	2	1.995263e+04	6.112228e-11
6740	14	104	1	103	25	12	0	2	2.511887e+04	5.054754e-11
6741	14	104	1	103	25	12	0	2	3.162278e+04	4.157193e-11
6742	14	104	1	103	25	12	0	2	3.981071e+04	3.404864e-11
6743	14	104	1	103	25	12	0	2	5.011870e+04	2.778433e-11
6744	14	104	1	103	25	12	0	2	6.309576e+04	2.260478e-11
6745	14	104	1	103	25	12	0	2	7.943284e+04	1.834003e-11
6746	14	104	1	103	25	12	0	2	1.000000e+05	1.483884e-11
6747	14	104	1	103	25	12	0	2	1.258925e+05	1.197569e-11
6748	14	104	1	103	25	12	0	2	1.584892e+05	9.633851e-12
6749	14	104	1	103	25	12	0	2	1.995263e+05	7.728579e-12
6750	14	104	1	103	25	12	0	2	2.511887e+05	6.178744e-12
6751	14	104	1	103	25	12	0	2	3.162278e+05	4.922658e-12
6752	14	104	1	103	25	12	0	2	3.981071e+05	3.908409e-12
6753	14	104	1	103	25	12	0	2	5.011870e+05	3.091719e-12
6754	14	104	1	103	25	12	0	2	6.309576e+05	2.437249e-12
6755	14	104	1	103	25	12	0	2	7.943284e+05	1.914696e-12
6756	14	104	1	103	25	12	0	2	1.000000e+06	1.499341e-12
6757	14	104	1	103	25	12	0	2	1.258925e+06	1.171115e-12
6758	14	104	1	103	25	12	0	2	1.584892e+06	9.141142e-13
6759	14	104	1	103	25	12	0	2	1.995263e+06	7.209409e-13
6760	14	104	1	103	25	12	0	2	2.511887e+06	5.979984e-13
6761	14	104	1	103	25	12	0	2	3.162278e+06	5.659786e-13
6762	14	104	1	103	25	12	0	2	3.981071e+06	6.420961e-13
6763	14	104	1	103	25	12	0	2	5.011870e+06	8.147048e-13
6764	14	104	1	103	25	12	0	2	6.309576e+06	1.034427e-12
6765	14	104	1	103	25	12	0	2	7.943284e+06	1.233388e-12
6766	14	104	1	103	25	12	0	2	1.000000e+07	1.357062e-12
6767	14	104	1	103	25	12	0	2	1.258925e+07	1.381975e-12
6768	14	104	1	103	25	12	0	2	1.584892e+07	1.315830e-12
6769	14	104	1	103	25	12	0	2	1.995263e+07	1.184677e-12
6770	14	104	1	103	25	12	0	2	2.511887e+07	1.018825e-12
6771	14	104	1	103	25	12	0	2	3.162278e+07	8.445016e-13
6772	14	104	1	103	25	12	0	2	3.981071e+07	6.795166e-13
6773	14	104	1	103	25	12	0	2	5.011870e+07	5.339492e-13
6774	14	104	1	103	25	12	0	2	6.309576e+07	4.118133e-13
6775	14	104	1	103	25	12	0	2	7.943284e+07	3.129678e-13
6776	14	104	1	103	25	12	0	2	1.000000e+08	2.349634e-13
6777	14	104	1	103	25	12	0	2	1.258927e+08	1.747834e-13
6778	14	104	1	103	25	12	0	2	1.584892e+08	1.290032e-13
6779	14	104	1	103	25	12	0	2	1.995263e+08	9.464550e-14
6780	14	104	1	103	25	12	0	2	2.511884e+08	6.908763e-14
6781	14	104	1	103	25	12	0	2	3.162278e+08	5.023428e-14
6782	14	104	1	103	25	12	0	2	3.981075e+08	3.639988e-14
6783	14	104	1	103	25	12	0	2	5.011870e+08	2.630268e-14
6784	14	104	1	103	25	12	0	2	6.309576e+08	1.895831e-14
6785	14	104	1	103	25	12	0	2	7.943275e+08	1.363640e-14
6786	14	104	1	103	25	12	0	2	1.000000e+09	9.792646e-15
