	Z	Initial_Ion	Initial Level	Final_Ion	Final Level	N	L	2S+1	Temperature (eV)	Rate
6857	14	103	1	102	47	12	0	2	8.617340e-04	4.679941e-09
6858	14	103	1	102	47	12	0	2	1.084859e-03	4.155468e-09
6859	14	103	1	102	47	12	0	2	1.365757e-03	3.688329e-09
6860	14	103	1	102	47	12	0	2	1.719385e-03	3.272202e-09
6861	14	103	1	102	47	12	0	2	2.164578e-03	2.901551e-09
6862	14	103	1	102	47	12	0	2	2.725042e-03	2.571518e-09
6863	14	103	1	102	47	12	0	2	3.430625e-03	2.277719e-09
6864	14	103	1	102	47	12	0	2	4.318901e-03	2.016228e-09
6865	14	103	1	102	47	12	0	2	5.437173e-03	1.783488e-09
6866	14	103	1	102	47	12	0	2	6.844996e-03	1.576486e-09
6867	14	103	1	102	47	12	0	2	8.617340e-03	1.392386e-09
6868	14	103	1	102	47	12	0	2	1.084859e-02	1.228768e-09
6869	14	103	1	102	47	12	0	2	1.365757e-02	1.083403e-09
6870	14	103	1	102	47	12	0	2	1.719385e-02	9.543103e-10
6871	14	103	1	102	47	12	0	2	2.164578e-02	8.397509e-10
6872	14	103	1	102	47	12	0	2	2.725042e-02	7.381766e-10
6873	14	103	1	102	47	12	0	2	3.430624e-02	6.481863e-10
6874	14	103	1	102	47	12	0	2	4.318901e-02	5.685122e-10
6875	14	103	1	102	47	12	0	2	5.437173e-02	4.980471e-10
6876	14	103	1	102	47	12	0	2	6.844998e-02	4.357825e-10
6877	14	103	1	102	47	12	0	2	8.617340e-02	3.808377e-10
6878	14	103	1	102	47	12	0	2	1.084859e-01	3.324071e-10
6879	14	103	1	102	47	12	0	2	1.365757e-01	2.897610e-10
6880	14	103	1	102	47	12	0	2	1.719385e-01	2.522669e-10
6881	14	103	1	102	47	12	0	2	2.164578e-01	2.193362e-10
6882	14	103	1	102	47	12	0	2	2.725042e-01	1.904451e-10
6883	14	103	1	102	47	12	0	2	3.430624e-01	1.651202e-10
6884	14	103	1	102	47	12	0	2	4.318901e-01	1.430705e-10
6885	14	103	1	102	47	12	0	2	5.437173e-01	1.244371e-10
6886	14	103	1	102	47	12	0	2	6.844998e-01	1.099741e-10
6887	14	103	1	102	47	12	0	2	8.617340e-01	1.004916e-10
6888	14	103	1	102	47	12	0	2	1.084859e+00	9.576355e-11
6889	14	103	1	102	47	12	0	2	1.365756e+00	9.408064e-11
6890	14	103	1	102	47	12	0	2	1.719386e+00	9.291794e-11
