	Z	Initial_Ion	Initial_Level	Final_Ion	Final_Level	N	L	2S+1	Energy (Ry)	Cross Section (Mb)
5910	14	98	11	99	1	12	0	2	0.000000e+00	3.760000e+00
5911	14	98	11	99	1	12	0	2	2.760380e+00	2.705000e+00
5912	14	98	11	99	1	12	0	2	5.963810e+00	1.947000e+00
5913	14	98	11	99	1	12	0	2	9.686780e+00	1.402000e+00
5914	14	98	11	99	1	12	0	2	1.402940e+01	1.008000e+00
5915	14	98	11	99	1	12	0	2	1.904320e+01	7.269000e-01
5916	14	98	11	99	1	12	0	2	2.485700e+01	5.243000e-01
5917	14	98	11	99	1	12	0	2	3.165240e+01	3.774000e-01
5918	14	98	11	99	1	12	0	2	3.946890e+01	2.726000e-01
5919	14	98	11	99	1	12	0	2	4.853340e+01	1.970000e-01
5920	14	98	11	99	1	12	0	2	5.905950e+01	1.423000e-01
5921	14	98	11	99	1	12	0	2	7.136870e+01	1.026000e-01
5922	14	98	11	99	1	12	0	2	8.564870e+01	7.394000e-02
5923	14	98	11	99	1	12	0	2	1.020800e+02	5.345000e-02
5924	14	98	11	99	1	12	0	2	1.212430e+02	3.857000e-02
5925	14	98	11	99	1	12	0	2	1.435060e+02	2.781000e-02
5926	14	98	11	99	1	12	0	2	1.692750e+02	2.006000e-02
5927	14	98	11	99	1	12	0	2	1.989880e+02	1.449000e-02
5928	14	98	11	99	1	12	0	2	2.339070e+02	1.042000e-02
5929	14	98	11	99	1	12	0	2	2.740180e+02	7.505000e-03
5930	14	98	11	99	1	12	0	2	3.209980e+02	5.384000e-03
5931	14	98	11	99	1	12	0	2	3.747590e+02	3.874000e-03
5932	14	98	11	99	1	12	0	2	4.375130e+02	2.776000e-03
5933	14	98	11	99	1	12	0	2	5.090520e+02	1.996000e-03
5934	14	98	11	99	1	12	0	2	5.922790e+02	1.430000e-03
5935	14	98	11	99	1	12	0	2	6.867880e+02	1.028000e-03
5936	14	98	11	99	1	12	0	2	7.963730e+02	7.358000e-04
5937	14	98	11	99	1	12	0	2	9.203290e+02	5.286000e-04
5938	14	98	11	99	1	12	0	2	1.063570e+03	3.781000e-04
5939	14	98	11	99	1	12	0	2	1.224970e+03	2.714000e-04
5940	14	98	11	99	1	12	0	2	1.410860e+03	1.940000e-04
5941	14	98	11	99	1	12	0	2	1.619490e+03	1.391000e-04
5942	14	98	11	99	1	12	0	2	1.858960e+03	9.936000e-05
5943	14	98	11	99	1	12	0	2	2.126670e+03	7.121000e-05
5944	14	98	11	99	1	12	0	2	2.432930e+03	5.080000e-05
5945	14	98	11	99	1	12	0	2	2.783290e+03	3.608000e-05
5946	14	98	11	99	1	12	0	2	3.173400e+03	2.573000e-05
5947	14	98	11	99	1	12	0	2	3.618180e+03	1.826000e-05
5948	14	98	11	99	1	12	0	2	4.111450e+03	1.302000e-05
5949	14	98	11	99	1	12	0	2	4.671950e+03	9.244000e-06
5950	14	98	11	99	1	12	0	2	5.291050e+03	6.596000e-06
5951	14	98	11	99	1	12	0	2	5.992170e+03	4.687000e-06
5952	14	98	11	99	1	12	0	2	6.786180e+03	3.318000e-06
5953	14	98	11	99	1	12	0	2	7.659610e+03	2.362000e-06
5954	14	98	11	99	1	12	0	2	8.645470e+03	1.675000e-06
5955	14	98	11	99	1	12	0	2	9.725400e+03	1.195000e-06
5956	14	98	11	99	1	12	0	2	1.094030e+04	8.504000e-07
5957	14	98	11	99	1	12	0	2	1.230690e+04	6.030000e-07
5958	14	98	11	99	1	12	0	2	1.384420e+04	4.262000e-07
5959	14	98	11	99	1	12	0	2	1.470800e+04	3.562000e-07
