	Z	Ion	Electron	Level	N	L	2S+1	2J+1	Energy	Potential	Configuration
0	14	99	7	1	2	0	4	4	0.000000e+00	3.211390e+02	2p3.4S_3/2
1	14	99	7	2	2	2	2	4	8.572170e+00	3.211390e+02	2p3.2D_3/2
2	14	99	7	3	2	2	2	6	8.603450e+00	3.211390e+02	2p3.2D_5/2
3	14	99	7	4	2	1	2	2	1.305600e+01	3.211390e+02	2p3.2P_1/2
4	14	99	7	5	2	1	2	4	1.312320e+01	3.211390e+02	2p3.2P_3/2
5	14	99	7	6	2	1	4	6	3.874990e+01	3.211390e+02	2s1.2p4.4P_5/2
6	14	99	7	7	2	1	4	4	3.919360e+01	3.211390e+02	2s1.2p4.4P_3/2
7	14	99	7	8	2	1	4	2	3.942780e+01	3.211390e+02	2s1.2p4.4P_1/2
8	14	99	7	9	2	2	2	4	5.333920e+01	3.211390e+02	2s1.2p4.2D_3/2
9	14	99	7	10	2	2	2	6	5.333550e+01	3.211390e+02	2s1.2p4.2D_5/2
10	14	99	7	11	2	0	2	2	6.254000e+01	3.211390e+02	2s1.2p4.2S_1/2
11	14	99	7	12	2	1	2	4	6.573740e+01	3.211390e+02	2s1.2p4.2P_3/2
12	14	99	7	13	2	1	2	2	6.603120e+01	3.211390e+02	2s1.2p4.2P_1/2
13	14	99	7	15	2	1	2	4	1.016890e+02	3.211390e+02	2s0.2p5.2P_3/2
14	14	99	7	16	2	1	2	2	1.024020e+02	3.211390e+02	2s0.2p5.2P_1/2
15	14	99	7	17	2	1	4	6	1.771840e+03	3.211390e+02	1s1.2s2.2p4.4P_5/2
16	14	99	7	18	2	1	4	4	1.772380e+03	3.211390e+02	1s1.2s2.2p4.4P_3/2
17	14	99	7	19	2	1	4	2	1.772670e+03	3.211390e+02	1s1.2s2.2p4.4P_1/2
18	14	99	7	20	2	2	2	4	1.782590e+03	3.211390e+02	1s1.2s2.2p4.2D_3/2
19	14	99	7	21	2	2	2	6	1.782690e+03	3.211390e+02	1s1.2s2.2p4.2D_5/2
20	14	99	7	22	2	1	2	4	1.784550e+03	3.211390e+02	1s1.2s2.2p4.2P_3/2
21	14	99	7	23	2	1	2	2	1.785030e+03	3.211390e+02	1s1.2s2.2p4.2P_1/2
22	14	99	7	24	2	0	2	2	1.788970e+03	3.211390e+02	1s1.2s2.2p4.2S_1/2
23	14	99	7	25	2	1	4	6	1.810750e+03	3.211390e+02	1s1.2s1.2p5.4P_5/2
24	14	99	7	26	2	1	4	4	1.811260e+03	3.211390e+02	1s1.2s1.2p5.4P_3/2
25	14	99	7	27	2	1	4	2	1.811570e+03	3.211390e+02	1s1.2s1.2p5.4P_1/2
26	14	99	7	28	2	1	2	4	1.826240e+03	3.211390e+02	1s1.2s1.2p5.2P_3/2
27	14	99	7	29	2	1	2	2	1.826590e+03	3.211390e+02	1s1.2s1.2p5.2P_1/2
28	14	99	7	30	2	1	2	4	1.836210e+03	3.211390e+02	1s1.2s1.2p5.2P_3/2#2
29	14	99	7	31	2	1	2	2	1.836470e+03	3.211390e+02	1s1.2s1.2p5.2P_1/2#2
30	14	99	7	32	2	0	2	2	1.875230e+03	3.211390e+02	1s1.2p6.2S_1/2
31	14	99	7	34	2	0	0	1	3.030000e+02	3.030000e+02	continuum
32	14	99	7	14	12	0	1	1	3.008960e+02	3.030000e+02	superlevel
33	14	99	7	33	1	0	0	1	1.912560e+03	-1.591420e+03	superlevel_[K]
