	Z	Ion	Initial Level	Final Level	Wavelength	Oscillator Strength	A Coefficient
21829	14	99	2	1	1.445750e+03	0.000000e+00	1.960000e+00
21830	14	99	3	1	1.440490e+03	0.000000e+00	3.750000e-02
21831	14	99	3	2	3.962000e+05	0.000000e+00	3.540000e-04
21832	14	99	4	1	9.492340e+02	0.000000e+00	2.990000e+01
21833	14	99	4	2	2.763970e+03	0.000000e+00	1.140000e+01
21834	14	99	4	3	2.783380e+03	0.000000e+00	1.190000e-01
21835	14	99	5	1	9.443760e+02	0.000000e+00	7.120000e+01
21836	14	99	5	2	2.723170e+03	0.000000e+00	1.190000e+01
21837	14	99	5	3	2.742020e+03	0.000000e+00	1.050000e+01
21838	14	99	5	4	1.845040e+05	0.000000e+00	1.290000e-03
21839	14	99	6	1	3.198260e+02	4.330000e-01	4.700000e+09
21840	14	99	6	2	4.106740e+02	6.060000e-05	3.990000e+05
21841	14	99	6	3	4.111000e+02	2.270000e-04	1.490000e+06
21842	14	99	6	5	4.836050e+02	1.760000e-04	8.340000e+05
21843	14	99	7	1	3.162050e+02	2.910000e-01	4.850000e+09
21844	14	99	7	2	4.047240e+02	1.050000e-05	1.070000e+05
21845	14	99	7	3	4.051380e+02	0.000000e+00	8.650000e+04
21846	14	99	7	5	4.753750e+02	2.010000e-04	1.480000e+06
21847	14	99	8	1	3.143270e+02	1.470000e-01	4.950000e+09
21848	14	99	8	2	4.016510e+02	1.050000e-05	2.160000e+05
21849	14	99	8	4	4.699420e+02	3.410000e-05	5.150000e+05
21850	14	99	9	1	2.323470e+02	0.000000e+00	1.770000e+05
21851	14	99	9	2	2.768380e+02	5.100000e-01	1.110000e+10
21852	14	99	9	3	2.770310e+02	4.400000e-02	9.550000e+08
21853	14	99	9	4	3.076520e+02	8.120000e-02	1.430000e+09
21854	14	99	9	5	3.081660e+02	1.990000e-03	3.500000e+07
21855	14	99	10	2	2.768610e+02	2.970000e-02	4.300000e+08
21856	14	99	10	3	2.770540e+02	7.530000e-01	1.090000e+10
21857	14	99	10	5	3.081950e+02	1.740000e-01	2.030000e+09
21858	14	99	11	1	1.981650e+02	1.320000e-04	1.120000e+07
21859	14	99	11	2	2.296410e+02	1.910000e-02	1.210000e+09
21860	14	99	11	4	2.504490e+02	1.830000e-01	9.720001e+09
21861	14	99	11	5	2.507900e+02	2.790000e-01	1.480000e+10
21862	14	99	12	1	1.885260e+02	4.730000e-04	2.220000e+07
21863	14	99	12	2	2.167960e+02	1.650000e-01	5.840000e+09
21864	14	99	12	3	2.169150e+02	1.080000e+00	3.820000e+10
21865	14	99	12	4	2.352480e+02	7.270000e-02	2.190000e+09
21866	14	99	12	5	2.355490e+02	2.790000e-01	8.380000e+09
21867	14	99	13	1	1.876880e+02	6.530000e-05	6.180000e+06
21868	14	99	13	2	2.156880e+02	5.190000e-01	3.720000e+10
21869	14	99	13	4	2.339440e+02	1.130000e-01	6.860000e+09
21870	14	99	13	5	2.342410e+02	1.730000e-01	1.050000e+10
21871	14	99	15	9	2.564320e+02	0.000000e+00	2.193000e+09
21872	14	99	15	10	2.564120e+02	0.000000e+00	1.634000e+10
21873	14	99	15	11	3.166980e+02	0.000000e+00	1.300000e+09
21874	14	99	15	12	3.448640e+02	0.000000e+00	1.058000e+10
21875	14	99	15	13	3.477060e+02	0.000000e+00	1.804000e+09
21876	14	99	16	9	2.527050e+02	0.000000e+00	1.824000e+10
21877	14	99	16	11	3.110340e+02	0.000000e+00	4.126000e+08
21878	14	99	16	12	3.381580e+02	0.000000e+00	4.892000e+09
21879	14	99	16	13	3.408890e+02	0.000000e+00	9.159999e+09
21880	14	99	17	1	7.004500e+00	6.110000e-01	1.390000e+13
21881	14	99	17	2	7.040400e+00	1.660000e-04	3.720000e+09
21882	14	99	17	3	7.040700e+00	1.490000e-03	3.350000e+10
21883	14	99	17	5	7.057500e+00	2.620000e-05	5.870000e+08
21884	14	99	17	15	7.441900e+00	1.060000e-05	2.130000e+08
21885	14	99	18	1	7.002400e+00	4.070000e-01	1.390000e+13
21886	14	99	18	2	7.038300e+00	3.290000e-04	1.110000e+10
21887	14	99	18	3	7.038600e+00	2.320000e-04	7.840000e+09
21888	14	99	18	4	7.055100e+00	1.150000e-06	3.860000e+07
21889	14	99	18	5	7.055400e+00	7.240000e-05	2.430000e+09
21890	14	99	18	15	7.439500e+00	6.640000e-06	2.000000e+08
21891	14	99	18	16	7.442600e+00	2.720000e-08	8.210000e+05
21892	14	99	19	1	7.001200e+00	2.040000e-01	1.390000e+13
21893	14	99	19	2	7.037100e+00	5.140000e-05	3.470000e+09
21894	14	99	19	4	7.053900e+00	1.420000e-04	9.560001e+09
21895	14	99	19	5	7.054200e+00	1.170000e-04	7.860000e+09
21896	14	99	19	15	7.438200e+00	1.510000e-06	9.140000e+07
21897	14	99	19	16	7.441300e+00	3.420000e-06	2.070000e+08
21898	14	99	20	1	6.962300e+00	3.610000e-08	1.240000e+06
21899	14	99	20	2	6.997800e+00	7.010000e-01	2.390000e+13
21900	14	99	20	3	6.998100e+00	1.270000e-03	4.340000e+10
21901	14	99	20	4	7.014400e+00	1.080000e-01	3.650000e+12
21902	14	99	20	5	7.014700e+00	4.880000e-02	1.660000e+12
21903	14	99	20	15	7.394300e+00	3.050000e-03	9.310000e+10
21904	14	99	20	16	7.397400e+00	3.030000e-03	9.240000e+10
21905	14	99	21	1	6.961900e+00	1.580000e-04	3.630000e+09
21906	14	99	21	2	6.997400e+00	3.110000e-02	7.070000e+11
21907	14	99	21	3	6.997700e+00	8.710000e-01	1.980000e+13
21908	14	99	21	5	7.014300e+00	3.260000e-01	7.380000e+12
21909	14	99	21	15	7.393800e+00	8.490000e-03	1.730000e+11
21910	14	99	22	1	6.954600e+00	2.280000e-04	7.880000e+09
21911	14	99	22	2	6.990100e+00	6.110000e-02	2.090000e+12
21912	14	99	22	3	6.990300e+00	1.030000e+00	3.530000e+13
21913	14	99	22	4	7.006600e+00	1.580000e-01	5.390000e+12
21914	14	99	22	5	7.006900e+00	4.000000e-01	1.360000e+13
21915	14	99	22	15	7.385700e+00	1.280000e-02	3.930000e+11
21916	14	99	22	16	7.388800e+00	4.580000e-03	1.400000e+11
21917	14	99	23	1	6.952800e+00	3.210000e-05	2.220000e+09
21918	14	99	23	2	6.988200e+00	4.750000e-01	3.260000e+13
21919	14	99	23	4	7.004700e+00	2.480000e-01	1.690000e+13
21920	14	99	23	5	7.005000e+00	1.150000e-01	7.820000e+12
21921	14	99	23	15	7.383600e+00	3.770000e-03	2.310000e+11
21922	14	99	23	16	7.386700e+00	5.150000e-03	3.160000e+11
21923	14	99	24	1	6.937500e+00	6.580000e-07	4.570000e+07
21924	14	99	24	2	6.972700e+00	4.580000e-04	3.150000e+10
21925	14	99	24	4	6.989200e+00	9.860000e-02	6.750000e+12
21926	14	99	24	5	6.989500e+00	3.350000e-01	2.290000e+13
21927	14	99	24	15	7.366300e+00	2.130000e-03	1.310000e+11
21928	14	99	24	16	7.369400e+00	2.340000e-03	1.440000e+11
21929	14	99	25	6	7.004700e+00	8.340000e-01	1.890000e+13
21930	14	99	25	7	7.006300e+00	3.570000e-01	8.100000e+12
21931	14	99	25	9	7.067100e+00	3.270000e-05	7.280000e+08
21932	14	99	25	10	7.067100e+00	4.070000e-04	9.080001e+09
21933	14	99	25	12	7.119900e+00	1.420000e-05	3.120000e+08
21934	14	99	26	6	7.002700e+00	3.570000e-01	1.220000e+13
21935	14	99	26	7	7.004300e+00	1.060000e-01	3.600000e+12
21936	14	99	26	8	7.005200e+00	3.300000e-01	1.130000e+13
21937	14	99	26	9	7.065000e+00	1.390000e-04	4.660000e+09
21938	14	99	26	10	7.065100e+00	1.760000e-04	5.890000e+09
21939	14	99	26	11	7.101800e+00	1.370000e-06	4.530000e+07
21940	14	99	26	12	7.117900e+00	1.210000e-05	3.970000e+08
21941	14	99	26	13	7.120000e+00	1.930000e-08	6.350000e+05
21942	14	99	27	7	7.003000e+00	3.300000e-01	2.250000e+13
21943	14	99	27	8	7.004000e+00	6.610000e-02	4.510000e+12
21944	14	99	27	9	7.063800e+00	5.420000e-05	3.630000e+09
21945	14	99	27	11	7.100500e+00	5.480000e-09	3.640000e+05
21946	14	99	27	12	7.116600e+00	5.520000e-06	3.640000e+08
21947	14	99	27	13	7.118700e+00	1.040000e-05	6.840000e+08
