	Z	Initial_Ion	Initial Level	Final_Ion	Final Level	N	L	2S+1	Energy (Ry)	Cross Section (Mb)
5855	14	97	4	98	1	12	0	2	0.000000e+00	5.118000e+00
5856	14	97	4	98	1	12	0	2	1.488790e+00	3.683000e+00
5857	14	97	4	98	1	12	0	2	3.214580e+00	2.653000e+00
5858	14	97	4	98	1	12	0	2	5.223690e+00	1.910000e+00
5859	14	97	4	98	1	12	0	2	7.568010e+00	1.373000e+00
5860	14	97	4	98	1	12	0	2	1.029580e+01	9.875000e-01
5861	14	97	4	98	1	12	0	2	1.345880e+01	7.107000e-01
5862	14	97	4	98	1	12	0	2	1.709750e+01	5.132000e-01
5863	14	97	4	98	1	12	0	2	2.133590e+01	3.702000e-01
5864	14	97	4	98	1	12	0	2	2.625100e+01	2.672000e-01
5865	14	97	4	98	1	12	0	2	3.195850e+01	1.929000e-01
5866	14	97	4	98	1	12	0	2	3.863300e+01	1.389000e-01
5867	14	97	4	98	1	12	0	2	4.637590e+01	1.001000e-01
5868	14	97	4	98	1	12	0	2	5.528590e+01	7.229000e-02
5869	14	97	4	98	1	12	0	2	6.567660e+01	5.214000e-02
5870	14	97	4	98	1	12	0	2	7.774850e+01	3.758000e-02
5871	14	97	4	98	1	12	0	2	9.172130e+01	2.710000e-02
5872	14	97	4	98	1	12	0	2	1.078320e+02	1.957000e-02
5873	14	97	4	98	1	12	0	2	1.267670e+02	1.406000e-02
5874	14	97	4	98	1	12	0	2	1.485160e+02	1.013000e-02
5875	14	97	4	98	1	12	0	2	1.739900e+02	7.264000e-03
5876	14	97	4	98	1	12	0	2	2.031410e+02	5.225000e-03
5877	14	97	4	98	1	12	0	2	2.371690e+02	3.744000e-03
5878	14	97	4	98	1	12	0	2	2.759600e+02	2.692000e-03
5879	14	97	4	98	1	12	0	2	3.210880e+02	1.928000e-03
5880	14	97	4	98	1	12	0	2	3.723350e+02	1.385000e-03
5881	14	97	4	98	1	12	0	2	4.317540e+02	9.916000e-04
5882	14	97	4	98	1	12	0	2	4.989670e+02	7.122000e-04
5883	14	97	4	98	1	12	0	2	5.766380e+02	5.094000e-04
5884	14	97	4	98	1	12	0	2	6.641550e+02	3.656000e-04
5885	14	97	4	98	1	12	0	2	7.649490e+02	2.613000e-04
5886	14	97	4	98	1	12	0	2	8.780730e+02	1.874000e-04
5887	14	97	4	98	1	12	0	2	1.007930e+03	1.338000e-04
5888	14	97	4	98	1	12	0	2	1.153090e+03	9.584000e-05
5889	14	97	4	98	1	12	0	2	1.319150e+03	6.837000e-05
5890	14	97	4	98	1	12	0	2	1.509130e+03	4.854000e-05
5891	14	97	4	98	1	12	0	2	1.720660e+03	3.461000e-05
5892	14	97	4	98	1	12	0	2	1.961840e+03	2.456000e-05
5893	14	97	4	98	1	12	0	2	2.229300e+03	1.751000e-05
5894	14	97	4	98	1	12	0	2	2.533230e+03	1.243000e-05
5895	14	97	4	98	1	12	0	2	2.868920e+03	8.867000e-06
5896	14	97	4	98	1	12	0	2	3.249090e+03	6.301000e-06
5897	14	97	4	98	1	12	0	2	3.679630e+03	4.459000e-06
5898	14	97	4	98	1	12	0	2	4.153230e+03	3.174000e-06
5899	14	97	4	98	1	12	0	2	4.687790e+03	2.251000e-06
5900	14	97	4	98	1	12	0	2	5.273370e+03	1.606000e-06
5901	14	97	4	98	1	12	0	2	5.932100e+03	1.142000e-06
5902	14	97	4	98	1	12	0	2	6.673120e+03	8.099000e-07
5903	14	97	4	98	1	12	0	2	7.506690e+03	5.724000e-07
5904	14	97	4	98	1	12	0	2	8.416000e+03	4.075000e-07
5905	14	97	4	98	1	12	0	2	9.435560e+03	2.893000e-07
5906	14	97	4	98	1	12	0	2	1.057850e+04	2.048000e-07
5907	14	97	4	98	1	12	0	2	1.186000e+04	1.446000e-07
5908	14	97	4	98	1	12	0	2	1.325200e+04	1.029000e-07
5909	14	97	4	98	1	12	0	2	1.470810e+04	7.465000e-08
