	Z	Initial_Ion	Initial Level	Final_Ion	Final Level	N	L	2S+1	Temperature	Rate
6047	14	93	1	92	2	12	0	2	8.621738e-04	3.907508e-11
6048	14	93	1	92	2	12	0	2	1.085413e-03	3.427677e-11
6049	14	93	1	92	2	12	0	2	1.366454e-03	3.009542e-11
6050	14	93	1	92	2	12	0	2	1.720263e-03	2.644847e-11
6051	14	93	1	92	2	12	0	2	2.165683e-03	2.327558e-11
6052	14	93	1	92	2	12	0	2	2.726433e-03	2.051163e-11
6053	14	93	1	92	2	12	0	2	3.432376e-03	1.810089e-11
6054	14	93	1	92	2	12	0	2	4.321105e-03	1.600663e-11
6055	14	93	1	92	2	12	0	2	5.439948e-03	1.418078e-11
6056	14	93	1	92	2	12	0	2	6.848490e-03	1.258927e-11
6057	14	93	1	92	2	12	0	2	8.621738e-03	1.120470e-11
6058	14	93	1	92	2	12	0	2	1.085412e-02	9.995390e-12
6059	14	93	1	92	2	12	0	2	1.366454e-02	8.935119e-12
6060	14	93	1	92	2	12	0	2	1.720263e-02	7.992827e-12
6061	14	93	1	92	2	12	0	2	2.165683e-02	7.131813e-12
6062	14	93	1	92	2	12	0	2	2.726433e-02	6.334315e-12
6063	14	93	1	92	2	12	0	2	3.432375e-02	5.594997e-12
6064	14	93	1	92	2	12	0	2	4.321105e-02	4.926065e-12
6065	14	93	1	92	2	12	0	2	5.439948e-02	4.337109e-12
6066	14	93	1	92	2	12	0	2	6.848491e-02	3.837069e-12
6067	14	93	1	92	2	12	0	2	8.621738e-02	3.422156e-12
6068	14	93	1	92	2	12	0	2	1.085412e-01	3.321240e-12
6069	14	93	1	92	2	12	0	2	1.366454e-01	3.061964e-12
6070	14	93	1	92	2	12	0	2	1.720263e-01	2.695878e-12
6071	14	93	1	92	2	12	0	2	2.165683e-01	2.284019e-12
6072	14	93	1	92	2	12	0	2	2.726433e-01	1.876291e-12
6073	14	93	1	92	2	12	0	2	3.432375e-01	1.504526e-12
6074	14	93	1	92	2	12	0	2	4.321105e-01	1.185496e-12
6075	14	93	1	92	2	12	0	2	5.439948e-01	9.319667e-13
6076	14	93	1	92	2	12	0	2	6.848491e-01	8.048218e-13
6077	14	93	1	92	2	12	0	2	8.621738e-01	1.042317e-12
6078	14	93	1	92	2	12	0	2	1.085412e+00	2.159236e-12
6079	14	93	1	92	2	12	0	2	1.366453e+00	4.718462e-12
6080	14	93	1	92	2	12	0	2	1.720264e+00	8.804410e-12
6081	14	93	1	92	2	12	0	2	2.165683e+00	1.372144e-11
6082	14	93	1	92	2	12	0	2	2.726433e+00	1.828522e-11
6083	14	93	1	92	2	12	0	2	3.432375e+00	2.143876e-11
6084	14	93	1	92	2	12	0	2	4.321103e+00	2.267777e-11
6085	14	93	1	92	2	12	0	2	5.439951e+00	2.209532e-11
6086	14	93	1	92	2	12	0	2	6.848491e+00	2.016507e-11
6087	14	93	1	92	2	12	0	2	8.621738e+00	1.746626e-11
6088	14	93	1	92	2	12	0	2	1.085412e+01	1.451776e-11
6089	14	93	1	92	2	12	0	2	1.366453e+01	1.167077e-11
6090	14	93	1	92	2	12	0	2	1.720264e+01	9.134821e-12
6091	14	93	1	92	2	12	0	2	2.165683e+01	6.995198e-12
