	Z	Ion	Initial Level	Final Level	Wavelength	Oscillator Strength	Einstein A Coefficient
23692	14	104	2	1	6.740386e+00	0.000000e+00	3.600000e+05
23693	14	104	3	1	6.689071e+00	0.000000e+00	1.371500e+08
23694	14	104	3	2	8.786188e+02	1.550000e-01	1.854000e+08
23695	14	104	4	1	6.688272e+00	0.000000e+00	1.371500e+08
23696	14	104	4	2	8.650519e+02	1.550000e-01	1.854000e+08
23697	14	104	5	1	6.685077e+00	0.000000e+00	1.371500e+08
23698	14	104	5	2	8.146905e+02	1.550000e-01	1.854000e+08
23699	14	104	7	1	6.648000e+00	7.550000e-01	3.760000e+13
23700	14	104	7	6	1.200668e+03	3.720000e-02	4.833330e+07
23701	14	104	8	3	3.850636e+01	5.066670e-02	7.555560e+10
23702	14	104	8	4	3.853284e+01	5.066670e-02	7.555560e+10
23703	14	104	8	5	3.863923e+01	5.066670e-02	7.555560e+10
23704	14	104	9	2	3.646861e+01	1.160000e+00	6.411110e+11
23705	14	104	9	8	3.195399e+03	2.600000e-01	1.777780e+07
23706	14	104	10	2	3.646144e+01	1.160000e+00	6.411110e+11
23707	14	104	10	8	3.141295e+03	2.600000e-01	1.777780e+07
23708	14	104	11	2	3.643327e+01	1.160000e+00	6.411110e+11
23709	14	104	11	8	2.945074e+03	2.600000e-01	1.777780e+07
23710	14	104	12	7	3.941468e+01	1.650000e-02	7.066670e+10
23711	14	104	13	3	3.776090e+01	6.110000e+00	1.893330e+12
23712	14	104	13	4	3.778637e+01	6.110000e+00	1.893330e+12
23713	14	104	13	5	3.788868e+01	6.110000e+00	1.893330e+12
23714	14	104	13	9	5.006759e+03	1.880000e-01	2.453330e+06
23715	14	104	13	10	5.145621e+03	1.880000e-01	2.453330e+06
23716	14	104	13	11	5.776006e+03	1.880000e-01	2.453330e+06
23717	14	104	14	3	3.776049e+01	6.110000e+00	1.893330e+12
23718	14	104	14	4	3.778595e+01	6.110000e+00	1.893330e+12
23719	14	104	14	5	3.788826e+01	6.110000e+00	1.893330e+12
23720	14	104	14	9	4.999500e+03	1.880000e-01	2.453330e+06
23721	14	104	14	10	5.137954e+03	1.880000e-01	2.453330e+06
23722	14	104	14	11	5.766348e+03	1.880000e-01	2.453330e+06
23723	14	104	15	3	3.774883e+01	6.110000e+00	1.893330e+12
23724	14	104	15	4	3.777428e+01	6.110000e+00	1.893330e+12
23725	14	104	15	5	3.787652e+01	6.110000e+00	1.893330e+12
23726	14	104	15	9	4.803074e+03	1.880000e-01	2.453330e+06
23727	14	104	15	10	4.930723e+03	1.880000e-01	2.453330e+06
23728	14	104	15	11	5.506608e+03	1.880000e-01	2.453330e+06
23729	14	104	16	7	3.909969e+01	2.100000e+00	1.824000e+12
23730	14	104	16	17	2.619859e+04	1.242000e-02	9.000000e+04
23731	14	104	17	1	5.681000e+00	1.520000e-01	1.040000e+13
23732	14	104	17	6	3.781192e+01	4.010000e-01	6.200000e+11
23733	14	104	17	12	4.122691e+03	6.470000e-02	7.066670e+06
23734	14	104	18	3	2.833159e+01	1.093330e-02	3.011110e+10
23735	14	104	18	4	2.834592e+01	1.093330e-02	3.011110e+10
23736	14	104	18	5	2.840346e+01	1.093330e-02	3.011110e+10
23737	14	104	18	9	1.109435e+02	1.176670e-01	2.122220e+10
23738	14	104	18	10	1.110098e+02	1.176670e-01	2.122220e+10
23739	14	104	18	11	1.112718e+02	1.176670e-01	2.122220e+10
23740	14	104	19	2	2.734959e+01	2.860000e-01	2.811110e+11
23741	14	104	19	8	1.057560e+02	1.270000e+00	8.355550e+10
23742	14	104	19	13	1.118187e+02	1.152000e-01	6.866670e+09
23743	14	104	19	14	1.118223e+02	1.152000e-01	6.866670e+09
23744	14	104	19	15	1.119247e+02	1.152000e-01	6.866670e+09
23745	14	104	19	18	7.741136e+03	3.590000e-01	4.155560e+06
23746	14	104	20	2	2.734787e+01	2.860000e-01	2.811110e+11
23747	14	104	20	8	1.057303e+02	1.270000e+00	8.355550e+10
23748	14	104	20	13	1.117899e+02	1.152000e-01	6.866670e+09
23749	14	104	20	14	1.117935e+02	1.152000e-01	6.866670e+09
23750	14	104	20	15	1.118959e+02	1.152000e-01	6.866670e+09
23751	14	104	20	18	7.605719e+03	3.590000e-01	4.155560e+06
23752	14	104	21	2	2.734119e+01	2.860000e-01	2.811110e+11
23753	14	104	21	8	1.056305e+02	1.270000e+00	8.355550e+10
23754	14	104	21	13	1.116784e+02	1.152000e-01	6.866670e+09
23755	14	104	21	14	1.116821e+02	1.152000e-01	6.866670e+09
23756	14	104	21	15	1.117842e+02	1.152000e-01	6.866670e+09
23757	14	104	21	18	7.122000e+03	3.590000e-01	4.155560e+06
23758	14	104	22	7	2.898137e+01	3.633330e-03	2.876670e+10
23759	14	104	22	17	1.124720e+02	3.800000e-02	2.000000e+10
23760	14	104	23	3	2.816254e+01	1.100000e+00	6.126670e+11
23761	14	104	23	4	2.817670e+01	1.100000e+00	6.126670e+11
23762	14	104	23	5	2.823355e+01	1.100000e+00	6.126670e+11
23763	14	104	23	9	1.083956e+02	5.320000e+00	2.000000e+11
23764	14	104	23	10	1.084589e+02	5.320000e+00	2.000000e+11
23765	14	104	23	11	1.087090e+02	5.320000e+00	2.000000e+11
23766	14	104	23	19	1.209336e+04	3.330000e-01	7.333330e+05
23767	14	104	23	20	1.243936e+04	3.330000e-01	7.333330e+05
23768	14	104	23	21	1.399384e+04	3.330000e-01	7.333330e+05
23769	14	104	24	3	2.816254e+01	1.100000e+00	6.126670e+11
23770	14	104	24	4	2.817670e+01	1.100000e+00	6.126670e+11
23771	14	104	24	5	2.823355e+01	1.100000e+00	6.126670e+11
23772	14	104	24	9	1.083956e+02	5.320000e+00	2.000000e+11
23773	14	104	24	10	1.084589e+02	5.320000e+00	2.000000e+11
23774	14	104	24	11	1.087090e+02	5.320000e+00	2.000000e+11
23775	14	104	24	19	1.209336e+04	3.330000e-01	7.333330e+05
23776	14	104	24	20	1.243936e+04	3.330000e-01	7.333330e+05
23777	14	104	24	21	1.399384e+04	3.330000e-01	7.333330e+05
23778	14	104	25	3	2.815977e+01	1.100000e+00	6.126670e+11
23779	14	104	25	4	2.817393e+01	1.100000e+00	6.126670e+11
23780	14	104	25	5	2.823076e+01	1.100000e+00	6.126670e+11
23781	14	104	25	9	1.083544e+02	5.320000e+00	2.000000e+11
23782	14	104	25	10	1.084178e+02	5.320000e+00	2.000000e+11
23783	14	104	25	11	1.086677e+02	5.320000e+00	2.000000e+11
23784	14	104	25	19	1.160227e+04	3.330000e-01	7.333330e+05
23785	14	104	25	20	1.192037e+04	3.330000e-01	7.333330e+05
23786	14	104	25	21	1.334045e+04	3.330000e-01	7.333330e+05
23787	14	104	26	7	2.890838e+01	3.620000e-01	5.760000e+11
23788	14	104	26	17	1.113805e+02	1.880000e+00	2.020000e+11
23789	14	104	26	31	6.706908e+04	2.058000e-02	2.240000e+04
23790	14	104	31	1	5.405000e+00	5.670000e-02	4.290000e+12
23791	14	104	31	6	2.821684e+01	9.780000e-02	2.713330e+11
23792	14	104	31	12	1.082755e+02	4.410000e-01	8.300000e+10
23793	14	104	31	16	1.107259e+02	3.138000e-02	5.700000e+09
23794	14	104	31	22	9.800078e+03	9.070000e-02	1.736670e+06
23795	14	104	32	3	2.526622e+01	4.300000e-03	1.488890e+10
23796	14	104	32	4	2.527762e+01	4.300000e-03	1.488890e+10
23797	14	104	32	5	2.532337e+01	4.300000e-03	1.488890e+10
23798	14	104	32	9	7.521149e+01	2.623330e-02	1.026670e+10
23799	14	104	32	10	7.524200e+01	2.623330e-02	1.026670e+10
23800	14	104	32	11	7.536227e+01	2.623330e-02	1.026670e+10
23801	14	104	32	19	2.407863e+02	1.913330e-01	7.311110e+09
23802	14	104	32	20	2.409197e+02	1.913330e-01	7.311110e+09
23803	14	104	32	21	2.414392e+02	1.913330e-01	7.311110e+09
23804	14	104	33	2	2.452063e+01	1.180000e-01	1.444440e+11
23805	14	104	33	8	7.313096e+01	3.330000e-01	4.588890e+10
23806	14	104	33	13	7.597964e+01	2.280000e-02	2.926670e+09
23807	14	104	33	14	7.598132e+01	2.280000e-02	2.926670e+09
23808	14	104	33	15	7.602857e+01	2.280000e-02	2.926670e+09
23809	14	104	33	18	2.300146e+02	1.420000e+00	1.977780e+10
23810	14	104	33	23	2.417982e+02	2.862000e-01	3.633330e+09
23811	14	104	33	24	2.417982e+02	2.862000e-01	3.633330e+09
23812	14	104	33	25	2.420030e+02	2.862000e-01	3.633330e+09
23813	14	104	33	32	1.531159e+04	4.530000e-01	1.333330e+06
23814	14	104	34	2	2.451992e+01	1.180000e-01	1.444440e+11
23815	14	104	34	8	7.312464e+01	3.330000e-01	4.588890e+10
23816	14	104	34	13	7.597283e+01	2.280000e-02	2.926670e+09
23817	14	104	34	14	7.597450e+01	2.280000e-02	2.926670e+09
23818	14	104	34	15	7.602175e+01	2.280000e-02	2.926670e+09
23819	14	104	34	18	2.299522e+02	1.420000e+00	1.977780e+10
23820	14	104	34	23	2.417292e+02	2.862000e-01	3.633330e+09
23821	14	104	34	24	2.417292e+02	2.862000e-01	3.633330e+09
23822	14	104	34	25	2.419339e+02	2.862000e-01	3.633330e+09
23823	14	104	34	32	1.503986e+04	4.530000e-01	1.333330e+06
23824	14	104	35	2	2.451717e+01	1.180000e-01	1.444440e+11
23825	14	104	35	8	7.310022e+01	3.330000e-01	4.588890e+10
23826	14	104	35	13	7.594646e+01	2.280000e-02	2.926670e+09
