	Z	Ion	Electron	Level	N	L	2S+1	2J+1	Energy	Potential	Configuration
3700	14	101	5	1	2	1	2	2	0.00000000e+00	4.01000000e+02	2p1.2P_1/2
3701	14	101	5	2	2	1	2	4	8.66361022e-01	4.01000000e+02	2p1.2P_3/2
3702	14	101	5	3	2	1	4	2	1.99542999e+01	4.01000000e+02	2s1.2p2.4P_1/2
3703	14	101	5	4	2	1	4	4	2.02616997e+01	4.01000000e+02	2s1.2p2.4P_3/2
3704	14	101	5	5	2	1	4	6	2.07040997e+01	4.01000000e+02	2s1.2p2.4P_5/2
3705	14	101	5	6	2	2	2	4	3.56739006e+01	4.01000000e+02	2s1.2p2.2D_3/2
3706	14	101	5	7	2	2	2	6	3.56776009e+01	4.01000000e+02	2s1.2p2.2D_5/2
3707	14	101	5	8	2	0	2	2	4.55662003e+01	4.01000000e+02	2s1.2p2.2S_1/2
3708	14	101	5	9	2	1	2	2	4.83386002e+01	4.01000000e+02	2s1.2p2.2P_1/2
3709	14	101	5	10	2	1	2	4	4.88330994e+01	4.01000000e+02	2s1.2p2.2P_3/2
3710	14	101	5	11	2	0	4	4	6.31225014e+01	4.01000000e+02	2s0.2p3.4S_3/2
3711	14	101	5	12	2	2	2	4	7.13143997e+01	4.01000000e+02	2s0.2p3.2D_3/2
3712	14	101	5	13	2	2	2	6	7.13169022e+01	4.01000000e+02	2s0.2p3.2D_5/2
3713	14	101	5	14	2	1	2	2	8.01545029e+01	4.01000000e+02	2s0.2p3.2P_1/2
3714	14	101	5	15	2	1	2	4	8.02325974e+01	4.01000000e+02	2s0.2p3.2P_3/2
3715	14	101	5	16	3	0	2	2	2.24358994e+02	4.01000000e+02	2p0.3s1.2S_1/2
3716	14	101	5	17	3	2	4	2	2.54604004e+02	4.01000000e+02	2s1.2p1.3p1.4D_1/2
3717	14	101	5	18	3	1	2	2	2.55869003e+02	4.01000000e+02	2s1.2p1.3p1.2P_1/2
3718	14	101	5	19	3	1	4	2	2.58207001e+02	4.01000000e+02	2s1.2p1.3p1.4P_1/2
3719	14	101	5	20	3	0	2	2	2.64298004e+02	4.01000000e+02	2s1.2p1.3p1.2S_1/2
3720	14	101	5	21	3	1	2	2	2.77098999e+02	4.01000000e+02	2s1.2p1.3p1.2P_1/2#2
3721	14	101	5	22	3	0	2	2	2.78389008e+02	4.01000000e+02	2s1.2p1.3p1.2S_1/2#2
3722	14	101	5	23	3	1	4	2	2.82040009e+02	4.01000000e+02	2s0.2p2.3s1.4P_1/2
3723	14	101	5	24	3	1	2	2	2.87393005e+02	4.01000000e+02	2s0.2p2.3s1.2P_1/2
3724	14	101	5	25	3	2	4	2	2.99683014e+02	4.01000000e+02	2s0.2p2.3d1.4D_1/2
3725	14	101	5	26	3	1	2	2	3.00329987e+02	4.01000000e+02	2s0.2p2.3d1.2P_1/2
3726	14	101	5	27	3	1	4	2	3.02213989e+02	4.01000000e+02	2s0.2p2.3d1.4P_1/2
