	Z	Ion	Electron	Level	N	L	2S+1	2J+1	Energy	Potential	Configuration
14679	26	350	2	1	1	0	1	1	0.000000e+00	8.829000e+03	1s2.1S_0
14680	26	350	2	2	2	0	3	3	6.636596e+03	8.829000e+03	1s1.2s1.3S_1
14681	26	350	2	6	2	0	1	1	6.668022e+03	8.829000e+03	1s1.2s1.1S_0
14682	26	350	2	3	2	1	3	1	6.665549e+03	8.829000e+03	1s1.2p1.3P_0
14683	26	350	2	4	2	1	3	3	6.667569e+03	8.829000e+03	1s1.2p1.3P_1
14684	26	350	2	5	2	1	3	5	6.682327e+03	8.829000e+03	1s1.2p1.3P_2
14685	26	350	2	7	2	1	1	3	6.700415e+03	8.829000e+03	1s1.2p1.1P_1
14686	26	350	2	8	3	0	3	3	7.863289e+03	8.829000e+03	1s1.3s1.3S_1
14687	26	350	2	12	3	0	1	1	7.871630e+03	8.829000e+03	1s1.3s1.1S_0
14688	26	350	2	9	3	1	3	1	7.871273e+03	8.829000e+03	1s1.3p1.3P_0
14689	26	350	2	10	3	1	3	3	7.871843e+03	8.829000e+03	1s1.3p1.3P_1
14690	26	350	2	11	3	1	3	5	7.876257e+03	8.829000e+03	1s1.3p1.3P_2
14691	26	350	2	16	3	1	1	3	7.881155e+03	8.829000e+03	1s1.3p1.1P_1
14692	26	350	2	14	3	2	3	3	7.880597e+03	8.829000e+03	1s1.3d1.3D_1
14693	26	350	2	13	3	2	3	5	7.880522e+03	8.829000e+03	1s1.3d1.3D_2
14694	26	350	2	15	3	2	3	7	7.882196e+03	8.829000e+03	1s1.3d1.3D_3
14695	26	350	2	17	3	2	1	5	7.882481e+03	8.829000e+03	1s1.3d1.1D_2
14696	26	350	2	18	4	0	3	3	8.287959e+03	8.829000e+03	1s1.4s1.3S_1
14697	26	350	2	22	4	0	1	1	8.291440e+03	8.829000e+03	1s1.4s1.1S_0
14698	26	350	2	19	4	1	3	1	8.291307e+03	8.829000e+03	1s1.4p1.3P_0
14699	26	350	2	20	4	1	3	3	8.291555e+03	8.829000e+03	1s1.4p1.3P_1
14700	26	350	2	21	4	1	3	5	8.293415e+03	8.829000e+03	1s1.4p1.3P_2
14701	26	350	2	26	4	1	1	3	8.295485e+03	8.829000e+03	1s1.4p1.1P_1
14702	26	350	2	24	4	2	3	3	8.295250e+03	8.829000e+03	1s1.4d1.3D_1
14703	26	350	2	23	4	2	3	5	8.295212e+03	8.829000e+03	1s1.4d1.3D_2
14704	26	350	2	25	4	2	3	7	8.295919e+03	8.829000e+03	1s1.4d1.3D_3
14705	26	350	2	27	4	2	1	5	8.296043e+03	8.829000e+03	1s1.4d1.1D_2
14706	26	350	2	35	4	3	1	7	8.293502e+03	8.829000e+03	1s1.4f1.1F
14707	26	350	2	28	5	0	3	3	8.483470e+03	8.829000e+03	1s1.5s1.3S_1
14708	26	350	2	32	5	0	1	1	8.485243e+03	8.829000e+03	1s1.5s1.1S_0
14709	26	350	2	29	5	1	3	1	8.485140e+03	8.829000e+03	1s1.5p1.3P_0
14710	26	350	2	30	5	1	3	3	8.485305e+03	8.829000e+03	1s1.5p1.3P_1
14711	26	350	2	31	5	1	3	5	8.486260e+03	8.829000e+03	1s1.5p1.3P_2
14712	26	350	2	33	5	1	1	3	8.487313e+03	8.829000e+03	1s1.5p1.1P_1
14713	26	350	2	39	5	2	1	5	8.484753e+03	8.829000e+03	1s1.5d1.1D
14714	26	350	2	40	5	3	1	7	8.484836e+03	8.829000e+03	1s1.5f1.1F
14715	26	350	2	41	5	4	1	9	8.484942e+03	8.829000e+03	1s1.5g1.1G
14716	26	350	2	34	4	3	3	21	8.296830e+03	8.828000e+03	1s1.4f1.3F
14717	26	350	2	36	5	2	3	15	8.486690e+03	8.828000e+03	1s1.5d1.3D
14718	26	350	2	37	5	3	3	21	8.496830e+03	8.828000e+03	1s1.5f1.3F
14719	26	350	2	38	5	4	3	27	8.496830e+03	8.828000e+03	1s1.5g1.3G
14720	26	350	2	42	12	0	1	2	8.825640e+03	8.828000e+03	sprlevls
14721	26	350	2	43	12	0	3	2	8.825640e+03	8.828000e+03	sprlevlt
14722	26	350	2	44	2	0	1	1	1.348190e+04	8.828000e+03	1s0.2s2.1S
14723	26	350	2	45	2	1	1	3	1.354630e+04	8.828000e+03	1s0.2s1.2p1.1P
14724	26	350	2	46	2	1	3	9	1.349580e+04	8.828000e+03	1s0.2s1.2p1.3P
14725	26	350	2	47	2	0	1	1	1.358920e+04	8.828000e+03	1s0.2p2.1S
14726	26	350	2	48	2	2	1	5	1.354040e+04	8.828000e+03	1s0.2p2.1D
14727	26	350	2	49	2	1	3	9	1.352570e+04	8.828000e+03	1s0.2p2.3P
14728	26	350	2	50	1	2	2	2	8.828000e+03	8.828000e+03	continuum
