	Z	Ion	Electron	Level	N	L	2S+1	2J+1	Energy	Potential	Configuration
3700	14	101	5	1	2	1	2	2	0.000000e+00	4.010000e+02	2p1.2P_1/2
3701	14	101	5	2	2	1	2	4	8.663610e-01	4.010000e+02	2p1.2P_3/2
3702	14	101	5	3	2	1	4	2	1.995430e+01	4.010000e+02	2s1.2p2.4P_1/2
3703	14	101	5	4	2	1	4	4	2.026170e+01	4.010000e+02	2s1.2p2.4P_3/2
3704	14	101	5	5	2	1	4	6	2.070410e+01	4.010000e+02	2s1.2p2.4P_5/2
3705	14	101	5	6	2	2	2	4	3.567390e+01	4.010000e+02	2s1.2p2.2D_3/2
3706	14	101	5	7	2	2	2	6	3.567760e+01	4.010000e+02	2s1.2p2.2D_5/2
3707	14	101	5	8	2	0	2	2	4.556620e+01	4.010000e+02	2s1.2p2.2S_1/2
3708	14	101	5	9	2	1	2	2	4.833860e+01	4.010000e+02	2s1.2p2.2P_1/2
3709	14	101	5	10	2	1	2	4	4.883310e+01	4.010000e+02	2s1.2p2.2P_3/2
3710	14	101	5	11	2	0	4	4	6.312250e+01	4.010000e+02	2s0.2p3.4S_3/2
3711	14	101	5	12	2	2	2	4	7.131440e+01	4.010000e+02	2s0.2p3.2D_3/2
3712	14	101	5	13	2	2	2	6	7.131690e+01	4.010000e+02	2s0.2p3.2D_5/2
3713	14	101	5	14	2	1	2	2	8.015450e+01	4.010000e+02	2s0.2p3.2P_1/2
3714	14	101	5	15	2	1	2	4	8.023260e+01	4.010000e+02	2s0.2p3.2P_3/2
3715	14	101	5	16	3	0	2	2	2.243590e+02	4.010000e+02	2p0.3s1.2S_1/2
3716	14	101	5	17	3	2	4	2	2.546040e+02	4.010000e+02	2s1.2p1.3p1.4D_1/2
3717	14	101	5	18	3	1	2	2	2.558690e+02	4.010000e+02	2s1.2p1.3p1.2P_1/2
3718	14	101	5	19	3	1	4	2	2.582070e+02	4.010000e+02	2s1.2p1.3p1.4P_1/2
3719	14	101	5	20	3	0	2	2	2.642980e+02	4.010000e+02	2s1.2p1.3p1.2S_1/2
3720	14	101	5	21	3	1	2	2	2.770990e+02	4.010000e+02	2s1.2p1.3p1.2P_1/2#2
3721	14	101	5	22	3	0	2	2	2.783890e+02	4.010000e+02	2s1.2p1.3p1.2S_1/2#2
3722	14	101	5	23	3	1	4	2	2.820400e+02	4.010000e+02	2s0.2p2.3s1.4P_1/2
