	Z	Initial_Ion	Initial Level	Final_Ion	Final Level	N	L	2S+1	Temperature (eV)	Rate
6776	14	102	1	101	126	12	0	2	8.617340e-04	4.464782e-09
6777	14	102	1	101	126	12	0	2	1.084859e-03	3.944302e-09
6778	14	102	1	101	126	12	0	2	1.365757e-03	3.481850e-09
6779	14	102	1	101	126	12	0	2	1.719385e-03	3.071284e-09
6780	14	102	1	101	126	12	0	2	2.164578e-03	2.706888e-09
6781	14	102	1	101	126	12	0	2	2.725042e-03	2.383747e-09
6782	14	102	1	101	126	12	0	2	3.430625e-03	2.097344e-09
6783	14	102	1	101	126	12	0	2	4.318901e-03	1.843698e-09
6784	14	102	1	101	126	12	0	2	5.437173e-03	1.619309e-09
6785	14	102	1	101	126	12	0	2	6.844996e-03	1.420920e-09
6786	14	102	1	101	126	12	0	2	8.617340e-03	1.245691e-09
6787	14	102	1	101	126	12	0	2	1.084859e-02	1.091064e-09
6788	14	102	1	101	126	12	0	2	1.365757e-02	9.547735e-10
6789	14	102	1	101	126	12	0	2	1.719385e-02	8.347574e-10
6790	14	102	1	101	126	12	0	2	2.164578e-02	7.292059e-10
6791	14	102	1	101	126	12	0	2	2.725042e-02	6.368541e-10
6792	14	102	1	101	126	12	0	2	3.430624e-02	5.583546e-10
6793	14	102	1	101	126	12	0	2	4.318901e-02	4.989195e-10
6794	14	102	1	101	126	12	0	2	5.437173e-02	4.684568e-10
6795	14	102	1	101	126	12	0	2	6.844998e-02	4.744603e-10
6796	14	102	1	101	126	12	0	2	8.617340e-02	5.123538e-10
6797	14	102	1	101	126	12	0	2	1.084859e-01	5.643652e-10
6798	14	102	1	101	126	12	0	2	1.365757e-01	6.098460e-10
6799	14	102	1	101	126	12	0	2	1.719385e-01	6.384111e-10
6800	14	102	1	101	126	12	0	2	2.164578e-01	6.536120e-10
6801	14	102	1	101	126	12	0	2	2.725042e-01	6.643388e-10
6802	14	102	1	101	126	12	0	2	3.430624e-01	6.733803e-10
6803	14	102	1	101	126	12	0	2	4.318901e-01	6.748073e-10
6804	14	102	1	101	126	12	0	2	5.437173e-01	6.602071e-10
6805	14	102	1	101	126	12	0	2	6.844998e-01	6.264693e-10
