	Z	Ion	Initial Level	Final Level	Wavelength	Oscillator Strength	A Coefficient
22546	14	101	2	1	1.430490e+04	0.000000e+00	2.970000e+00
22547	14	101	3	1	6.210790e+02	3.450000e-05	3.020000e+05
22548	14	101	3	2	6.492690e+02	2.790000e-05	2.230000e+05
22549	14	101	4	1	6.116580e+02	1.550000e-06	7.000000e+03
22550	14	101	4	2	6.389800e+02	1.560000e-05	6.440000e+04
22551	14	101	5	2	6.247290e+02	8.140000e-05	2.350000e+05
22552	14	101	6	1	3.474030e+02	1.360000e-01	1.850000e+09
22553	14	101	6	2	3.560500e+02	2.040000e-02	2.710000e+08
22554	14	101	7	2	3.560120e+02	2.310000e-01	2.040000e+09
22555	14	101	8	1	2.719830e+02	1.110000e-01	4.940000e+09
22556	14	101	8	2	2.772550e+02	9.400000e-02	4.120000e+09
22557	14	101	9	1	2.563840e+02	1.750000e-01	8.850000e+09
22558	14	101	9	2	2.610630e+02	1.630000e-01	8.060000e+09
22559	14	101	10	1	2.537880e+02	1.070000e-01	2.740000e+09
22560	14	101	10	2	2.583720e+02	5.800000e-01	1.450000e+10
22561	14	101	11	3	2.870920e+02	1.330000e-01	2.640000e+09
22562	14	101	11	4	2.891510e+02	2.670000e-01	5.270000e+09
22563	14	101	11	5	2.921670e+02	4.000000e-01	7.910000e+09
22564	14	101	12	6	3.477290e+02	2.410000e-01	3.710000e+09
22565	14	101	12	7	3.477660e+02	4.430000e-02	6.070000e+08
22566	14	101	12	9	5.394030e+02	1.640000e-01	9.060000e+08
22567	14	101	12	10	5.512680e+02	2.550000e-02	1.400000e+08
22568	14	101	13	6	3.477050e+02	3.940000e-02	3.600000e+08
22569	14	101	13	7	3.477410e+02	4.490000e-01	4.100000e+09
22570	14	101	13	10	5.512070e+02	2.890000e-01	1.060000e+09
22571	14	101	14	6	2.786210e+02	1.760000e-01	7.480000e+09
22572	14	101	14	8	3.583070e+02	2.710000e-02	6.950000e+08
22573	14	101	14	9	3.895290e+02	1.680000e-01	3.570000e+09
22574	14	101	14	10	3.956790e+02	6.410000e-02	1.360000e+09
22575	14	101	15	6	2.781330e+02	4.230000e-02	8.980000e+08
22576	14	101	15	7	2.781560e+02	2.890000e-01	6.130000e+09
22577	14	101	15	8	3.575000e+02	1.270000e-01	1.620000e+09
22578	14	101	15	9	3.885760e+02	2.540000e-02	2.700000e+08
22579	14	101	15	10	3.946950e+02	3.700000e-01	3.920000e+09
22580	14	101	16	1	-5.523800e+01	4.013000e-02	4.386000e+10
22581	14	101	16	2	-5.545000e+01	8.227000e-02	8.923000e+10
22582	14	101	16	14	-8.749300e+01	1.168000e-05	5.087000e+06
22583	14	101	16	15	-8.753700e+01	2.449000e-05	1.066000e+07
22584	14	101	17	1	-4.867600e+01	7.555000e-02	1.063000e+11
22585	14	101	17	2	-4.884100e+01	3.014000e-02	4.213000e+10
22586	14	101	17	12	-6.835000e+01	1.206000e-03	8.607000e+08
22587	14	101	18	1	4.843600e+01	8.156000e-02	1.163000e+11
22588	14	101	18	2	4.860000e+01	3.216000e-02	4.554000e+10
22589	14	101	18	12	6.715200e+01	1.433000e-03	1.076000e+09
22590	14	101	19	1	-4.799700e+01	4.555000e-04	6.594000e+08
22591	14	101	19	2	-4.815700e+01	1.991000e-04	2.862000e+08
22592	14	101	19	11	-6.356700e+01	1.233000e-03	1.018000e+09
22593	14	101	19	12	-6.701800e+01	1.803000e-06	1.339000e+06
22594	14	101	19	14	-7.061900e+01	4.108000e-06	2.747000e+06
22595	14	101	19	15	-7.064700e+01	6.099000e-06	4.075000e+06
22596	14	101	20	1	4.689100e+01	9.190000e-02	1.400000e+11
22597	14	101	20	2	4.704500e+01	2.054000e-01	3.107000e+11
22598	14	101	20	12	6.421900e+01	1.818000e-05	1.493000e+07
22599	14	101	20	14	6.730200e+01	2.724000e-03	2.046000e+09
22600	14	101	20	15	6.733100e+01	5.538000e-03	4.156000e+09
22601	14	101	21	1	-4.472500e+01	5.456000e-02	9.096000e+10
22602	14	101	21	2	-4.486300e+01	3.412000e-02	5.654000e+10
22603	14	101	21	11	-5.795200e+01	2.915000e-05	2.895000e+07
22604	14	101	21	12	-6.080600e+01	2.854000e-02	2.575000e+10
22605	14	101	21	14	-6.375600e+01	7.034000e-03	5.771000e+09
22606	14	101	21	15	-6.377900e+01	2.434000e-03	1.995000e+09
22607	14	101	22	1	4.451800e+01	8.084000e-03	1.353000e+10
22608	14	101	22	2	4.465700e+01	1.449000e-02	2.410000e+10
22609	14	101	22	11	5.757200e+01	1.641000e-04	1.641000e+08
22610	14	101	22	12	5.984900e+01	8.455000e-05	7.890000e+07
22611	14	101	22	14	6.251800e+01	2.120000e-04	1.818000e+08
22612	14	101	22	15	6.254300e+01	6.271000e-05	5.375000e+07
22613	14	101	23	1	-4.394100e+01	1.729000e-04	2.987000e+08
22614	14	101	23	2	-4.407500e+01	1.240000e-05	2.129000e+07
22615	14	101	23	11	-5.664300e+01	7.448000e-02	7.742000e+10
22616	14	101	23	12	-5.936700e+01	2.587000e-05	2.448000e+07
22617	14	101	23	14	-6.217500e+01	1.177000e-05	1.015000e+07
22618	14	101	23	15	-6.219700e+01	1.676000e-05	1.444000e+07
22619	14	101	24	1	-4.312300e+01	2.066000e-02	3.705000e+10
22620	14	101	24	2	-4.325200e+01	1.032000e-02	1.840000e+10
22621	14	101	24	11	-5.529100e+01	1.535000e-05	1.674000e+07
22622	14	101	24	12	-5.788300e+01	8.414000e-02	8.375000e+10
22623	14	101	24	14	-6.054900e+01	2.793000e-02	2.541000e+10
22624	14	101	24	15	-6.057000e+01	1.236000e-02	1.124000e+10
22625	14	101	25	1	-4.135400e+01	8.069000e-04	1.574000e+09
22626	14	101	25	2	-4.147300e+01	3.599000e-04	6.978000e+08
22627	14	101	25	11	-5.241600e+01	3.493000e-03	4.240000e+09
22628	14	101	25	12	-5.474000e+01	1.029000e-02	1.146000e+10
22629	14	101	25	14	-5.711900e+01	3.018000e-02	3.085000e+10
22630	14	101	25	15	-5.713800e+01	1.439000e-02	1.470000e+10
22631	14	101	26	1	-4.126600e+01	3.600000e-03	7.050000e+09
22632	14	101	26	2	-4.138300e+01	1.532000e-03	2.983000e+09
22633	14	101	26	11	-5.227300e+01	1.114000e-04	1.360000e+08
22634	14	101	26	12	-5.458400e+01	3.523000e-02	3.943000e+10
22635	14	101	26	14	-5.694900e+01	1.347000e-01	1.385000e+11
22636	14	101	26	15	-5.696800e+01	6.285000e-02	6.459000e+10
22637	14	101	27	2	-4.112500e+01	4.633000e-05	9.136000e+07
22638	14	101	27	11	-5.186100e+01	1.019000e+00	1.264000e+12
22639	14	101	27	12	-5.413500e+01	1.276000e-04	1.452000e+08
22640	14	101	27	14	-5.646100e+01	5.318000e-05	5.563000e+07
22641	14	101	27	15	-5.647900e+01	4.074000e-05	4.259000e+07
22642	14	101	28	1	-4.068100e+01	1.859000e-03	3.747000e+09
22643	14	101	28	2	-4.079600e+01	4.441000e-03	8.899000e+09
22644	14	101	28	11	-5.134000e+01	7.633000e-04	9.658000e+08
22645	14	101	28	12	-5.356700e+01	1.405000e-04	1.632000e+08
22646	14	101	28	14	-5.584300e+01	8.166000e-02	8.733000e+10
22647	14	101	28	15	-5.586100e+01	1.631000e-01	1.743000e+11
22648	14	101	29	1	-3.983800e+01	7.513000e-03	1.579000e+10
22649	14	101	29	2	-3.994800e+01	3.643000e-03	7.612000e+09
22650	14	101	29	11	-5.000400e+01	1.782000e-04	2.377000e+08
22651	14	101	29	12	-5.211400e+01	2.093000e-01	2.570000e+11
22652	14	101	29	14	-5.426600e+01	3.370000e-01	3.817000e+11
22653	14	101	29	15	-5.428300e+01	1.379000e-01	1.561000e+11
22654	14	101	30	1	-3.961000e+01	2.551000e-03	5.421000e+09
22655	14	101	30	2	-3.971900e+01	6.002000e-03	1.269000e+10
22656	14	101	30	11	-4.964600e+01	3.551000e-04	4.805000e+08
22657	14	101	30	12	-5.172600e+01	1.343000e-03	1.675000e+09
22658	14	101	30	14	-5.384500e+01	9.402000e-02	1.082000e+11
22659	14	101	30	15	-5.386100e+01	2.265000e-01	2.604000e+11
22660	14	101	31	1	5.052400e+01	1.124000e+00	7.378000e+11
22661	14	101	31	2	5.070300e+01	2.256000e-01	1.471000e+11
22662	14	101	31	12	7.123400e+01	7.569000e-05	2.534000e+07
22663	14	101	32	1	-4.862600e+01	4.144000e-02	2.922000e+10
22664	14	101	32	2	-4.878900e+01	1.520000e-01	1.065000e+11
22665	14	101	32	12	-6.824900e+01	1.655000e-04	5.926000e+07
22666	14	101	32	13	-6.824600e+01	1.960000e-03	7.016000e+08
22667	14	101	32	15	-7.201700e+01	4.406000e-06	1.417000e+06
22668	14	101	33	1	4.838500e+01	5.208000e-02	3.723000e+10
22669	14	101	33	2	4.854900e+01	1.805000e-01	1.282000e+11
22670	14	101	33	11	6.420900e+01	1.077000e-05	4.380000e+06
22671	14	101	33	12	6.705500e+01	1.678000e-04	6.322000e+07
22672	14	101	33	13	6.705600e+01	2.576000e-03	9.701000e+08
22673	14	101	33	15	7.045400e+01	9.345000e-06	3.202000e+06
22674	14	101	34	1	-4.820100e+01	1.802000e-03	1.293000e+09
22675	14	101	34	2	-4.836200e+01	5.692000e-03	4.058000e+09
22676	14	101	34	11	-6.392500e+01	7.192000e-05	2.935000e+07
22677	14	101	34	12	-6.741500e+01	6.541000e-06	2.400000e+06
22678	14	101	34	13	-6.741200e+01	1.089000e-04	3.997000e+07
22679	14	101	34	14	-7.106000e+01	1.951000e-07	6.442000e+04
22680	14	101	34	15	-7.108900e+01	2.326000e-06	7.674000e+05
22681	14	101	35	1	-4.795000e+01	3.787000e-04	2.747000e+08
22682	14	101	35	2	-4.810900e+01	6.445000e-04	4.643000e+08
22683	14	101	35	11	-6.348400e+01	2.433000e-03	1.006000e+09
22684	14	101	35	12	-6.692600e+01	9.929000e-06	3.696000e+06
22685	14	101	35	13	-6.692300e+01	8.929000e-07	3.324000e+05
22686	14	101	35	14	-7.051600e+01	6.302000e-07	2.113000e+05
22687	14	101	35	15	-7.054500e+01	9.413000e-07	3.154000e+05
22688	14	101	36	1	4.748900e+01	4.332000e-01	3.217000e+11
22689	14	101	36	2	4.764700e+01	1.084000e-01	7.999000e+10
22690	14	101	36	12	6.534600e+01	5.006000e-03	1.988000e+09
22691	14	101	36	13	6.534700e+01	4.112000e-04	1.633000e+08
22692	14	101	36	14	6.854100e+01	4.186000e-04	1.517000e+08
22693	14	101	36	15	6.857000e+01	2.999000e-05	1.086000e+07
22694	14	101	37	1	-4.470600e+01	1.661000e-03	1.386000e+09
22695	14	101	37	2	-4.484400e+01	1.443000e-01	1.196000e+11
22696	14	101	37	11	-5.792000e+01	8.870000e-05	4.409000e+07
22697	14	101	37	12	-6.077100e+01	2.415000e-03	1.090000e+09
22698	14	101	37	13	-6.076800e+01	3.431000e-02	1.549000e+10
22699	14	101	37	14	-6.371700e+01	3.335000e-03	1.370000e+09
22700	14	101	37	15	-6.374000e+01	1.123000e-02	4.609000e+09
22701	14	101	38	1	-4.467800e+01	5.778000e-02	4.827000e+10
22702	14	101	38	2	-4.481600e+01	1.994000e-02	1.655000e+10
22703	14	101	38	11	-5.787300e+01	1.453000e-05	7.232000e+06
22704	14	101	38	12	-6.072000e+01	1.584000e-03	7.162000e+08
22705	14	101	38	13	-6.071700e+01	1.478000e-02	6.687000e+09
22706	14	101	38	14	-6.366100e+01	5.188000e-04	2.135000e+08
22707	14	101	38	15	-6.368400e+01	6.351000e-03	2.611000e+09
22708	14	101	39	1	-4.389300e+01	7.932000e-06	6.865000e+06
22709	14	101	39	2	-4.402700e+01	2.555000e-04	2.198000e+08
22710	14	101	39	11	-5.656300e+01	1.503000e-01	7.832000e+10
22711	14	101	39	12	-5.927900e+01	1.480000e-04	7.024000e+07
22712	14	101	39	13	-5.927700e+01	5.616000e-05	2.665000e+07
22713	14	101	40	1	-4.304600e+01	1.226000e-02	1.103000e+10
22714	14	101	40	2	-4.317400e+01	4.735000e-02	4.236000e+10
22715	14	101	40	11	-5.516300e+01	4.285000e-05	2.348000e+07
22716	14	101	40	12	-5.774300e+01	3.436000e-03	1.718000e+09
22717	14	101	40	13	-5.774100e+01	1.563000e-01	7.817000e+10
22718	14	101	40	14	-6.039600e+01	2.174000e-02	9.937000e+09
22719	14	101	40	15	-6.041700e+01	6.998000e-02	3.197000e+10
22720	14	101	41	1	-4.259100e+01	7.000000e-03	6.434000e+09
22721	14	101	41	2	-4.271700e+01	4.419000e-03	4.038000e+09
22722	14	101	41	11	-5.441900e+01	6.773000e-05	3.813000e+07
22723	14	101	41	12	-5.692900e+01	1.884000e-01	9.695000e+10
22724	14	101	41	13	-5.692700e+01	8.733000e-03	4.493000e+09
22725	14	101	41	14	-5.950600e+01	3.845000e-02	1.811000e+10
22726	14	101	41	15	-5.952600e+01	2.417000e-02	1.138000e+10
22727	14	101	42	1	-4.161700e+01	9.307000e-05	8.960000e+07
22728	14	101	42	2	-4.173700e+01	2.839000e-06	2.718000e+06
22729	14	101	42	11	-5.283800e+01	9.677000e-05	5.780000e+07
22730	14	101	42	12	-5.520100e+01	1.233000e-03	6.750000e+08
22731	14	101	42	13	-5.519900e+01	1.463000e-05	8.006000e+06
22732	14	101	42	14	-5.762100e+01	9.634000e-06	4.838000e+06
22733	14	101	42	15	-5.764000e+01	1.443000e-04	7.242000e+07
22734	14	101	43	1	-4.137100e+01	2.021000e-03	1.969000e+09
22735	14	101	43	2	-4.149000e+01	6.011000e-03	5.823000e+09
22736	14	101	43	11	-5.244300e+01	1.456000e-02	8.825000e+09
22737	14	101	43	12	-5.476900e+01	2.268000e-02	1.261000e+10
22738	14	101	43	13	-5.476700e+01	6.853000e-02	3.810000e+10
22739	14	101	43	14	-5.715100e+01	5.166000e-02	2.638000e+10
22740	14	101	43	15	-5.717000e+01	2.261000e-01	1.154000e+11
22741	14	101	44	1	-4.131400e+01	7.871000e-04	7.689000e+08
22742	14	101	44	2	-4.143200e+01	3.002000e-03	2.916000e+09
22743	14	101	44	11	-5.235100e+01	1.155000e-02	7.025000e+09
22744	14	101	44	12	-5.467000e+01	1.804000e-02	1.007000e+10
22745	14	101	44	13	-5.466800e+01	2.595000e-02	1.448000e+10
22746	14	101	44	14	-5.704200e+01	2.501000e-02	1.282000e+10
22747	14	101	44	15	-5.706100e+01	1.099000e-01	5.626000e+10
22748	14	101	45	2	4.100000e+01	4.053000e-05	4.034000e+07
22749	14	101	45	11	5.163500e+01	2.017000e+00	1.267000e+12
22750	14	101	45	13	5.346000e+01	1.143000e-03	6.757000e+08
22751	14	101	45	14	5.557900e+01	1.310000e-04	7.186000e+07
22752	14	101	46	1	-4.044200e+01	2.953000e-02	3.010000e+10
22753	14	101	46	2	-4.055500e+01	5.578000e-03	5.656000e+09
22754	14	101	46	11	-5.095900e+01	8.195000e-05	5.262000e+07
22755	14	101	46	12	-5.315300e+01	6.511000e-01	3.843000e+11
22756	14	101	46	13	-5.315100e+01	1.071000e-01	6.321000e+10
22757	14	101	46	14	-5.539300e+01	4.960000e-01	2.695000e+11
