	Z	Initial_Ion	Initial Level	Final_Ion	Final Level	N	L	2S+1	log Density/cm-3	Temperature (eV)	Rate
10200	14	101	1	100	47	12	0	2	0.000000e+00	8.617340e-04	3.620760e-09
10201	14	101	1	100	47	12	0	2	0.000000e+00	1.084859e-03	3.196537e-09
10202	14	101	1	100	47	12	0	2	0.000000e+00	1.365757e-03	2.819812e-09
10203	14	101	1	100	47	12	0	2	0.000000e+00	1.719385e-03	2.485536e-09
10204	14	101	1	100	47	12	0	2	0.000000e+00	2.164578e-03	2.189021e-09
10205	14	101	1	100	47	12	0	2	0.000000e+00	2.725042e-03	1.926238e-09
10206	14	101	1	100	47	12	0	2	0.000000e+00	3.430625e-03	1.693479e-09
10207	14	101	1	100	47	12	0	2	0.000000e+00	4.318901e-03	1.487545e-09
10208	14	101	1	100	47	12	0	2	0.000000e+00	5.437173e-03	1.305480e-09
10209	14	101	1	100	47	12	0	2	0.000000e+00	6.844996e-03	1.144721e-09
10210	14	101	1	100	47	12	0	2	0.000000e+00	8.617340e-03	1.003784e-09
10211	14	101	1	100	47	12	0	2	0.000000e+00	1.084859e-02	8.859100e-10
10212	14	101	1	100	47	12	0	2	0.000000e+00	1.365757e-02	8.069932e-10
10213	14	101	1	100	47	12	0	2	0.000000e+00	1.719385e-02	7.979219e-10
10214	14	101	1	100	47	12	0	2	0.000000e+00	2.164578e-02	8.857485e-10
10215	14	101	1	100	47	12	0	2	0.000000e+00	2.725042e-02	1.063555e-09
10216	14	101	1	100	47	12	0	2	0.000000e+00	3.430624e-02	1.281297e-09
10217	14	101	1	100	47	12	0	2	0.000000e+00	4.318901e-02	1.469500e-09
10218	14	101	1	100	47	12	0	2	0.000000e+00	5.437173e-02	1.573767e-09
10219	14	101	1	100	47	12	0	2	0.000000e+00	6.844998e-02	1.574126e-09
10220	14	101	1	100	47	12	0	2	0.000000e+00	8.617340e-02	1.483578e-09
10221	14	101	1	100	47	12	0	2	0.000000e+00	1.084859e-01	1.335887e-09
10222	14	101	1	100	47	12	0	2	0.000000e+00	1.365757e-01	1.171522e-09
10223	14	101	1	100	47	12	0	2	0.000000e+00	1.719385e-01	1.023624e-09
10224	14	101	1	100	47	12	0	2	0.000000e+00	2.164578e-01	9.075897e-10
10225	14	101	1	100	47	12	0	2	0.000000e+00	2.725042e-01	8.199923e-10
10226	14	101	1	100	47	12	0	2	0.000000e+00	3.430624e-01	7.472575e-10
10227	14	101	1	100	47	12	0	2	0.000000e+00	4.318901e-01	6.763160e-10
10228	14	101	1	100	47	12	0	2	0.000000e+00	5.437173e-01	6.011741e-10
10229	14	101	1	100	47	12	0	2	0.000000e+00	6.844998e-01	5.237452e-10
10230	14	101	1	100	47	12	0	2	0.000000e+00	8.617340e-01	4.506606e-10
10231	14	101	1	100	47	12	0	2	0.000000e+00	1.084859e+00	3.881501e-10
10232	14	101	1	100	47	12	0	2	0.000000e+00	1.365756e+00	3.382128e-10
10233	14	101	1	100	47	12	0	2	0.000000e+00	1.719386e+00	2.983321e-10
10234	14	101	1	100	47	12	0	2	0.000000e+00	2.164578e+00	2.640465e-10
10235	14	101	1	100	47	12	0	2	0.000000e+00	2.725042e+00	2.317236e-10
10236	14	101	1	100	47	12	0	2	0.000000e+00	3.430624e+00	1.998482e-10
10237	14	101	1	100	47	12	0	2	0.000000e+00	4.318899e+00	1.689545e-10
10238	14	101	1	100	47	12	0	2	0.000000e+00	5.437176e+00	1.409580e-10
10239	14	101	1	100	47	12	0	2	0.000000e+00	6.844998e+00	1.181626e-10
10240	14	101	1	100	47	12	0	2	0.000000e+00	8.617340e+00	1.019131e-10
10241	14	101	1	100	47	12	0	2	0.000000e+00	1.084859e+01	9.164315e-11
10242	14	101	1	100	47	12	0	2	0.000000e+00	1.365756e+01	8.511386e-11
10243	14	101	1	100	47	12	0	2	0.000000e+00	1.719386e+01	7.981777e-11
10244	14	101	1	100	47	12	0	2	0.000000e+00	2.164578e+01	7.404575e-11
10245	14	101	1	100	47	12	0	2	0.000000e+00	2.725042e+01	6.732872e-11
10246	14	101	1	100	47	12	0	2	0.000000e+00	3.430624e+01	6.014501e-11
10247	14	101	1	100	47	12	0	2	0.000000e+00	4.318899e+01	5.327207e-11
10248	14	101	1	100	47	12	0	2	0.000000e+00	5.437176e+01	4.726073e-11
10249	14	101	1	100	47	12	0	2	0.000000e+00	6.844998e+01	4.219883e-11
10250	14	101	1	100	47	12	0	2	0.000000e+00	8.617340e+01	3.779203e-11
10251	14	101	1	100	47	12	0	2	0.000000e+00	1.084859e+02	3.361242e-11
10252	14	101	1	100	47	12	0	2	0.000000e+00	1.365756e+02	2.942391e-11
10253	14	101	1	100	47	12	0	2	0.000000e+00	1.719386e+02	2.517677e-11
10254	14	101	1	100	47	12	0	2	0.000000e+00	2.164578e+02	2.100874e-11
10255	14	101	1	100	47	12	0	2	0.000000e+00	2.725042e+02	1.710409e-11
10256	14	101	1	100	47	12	0	2	0.000000e+00	3.430624e+02	1.360816e-11
10257	14	101	1	100	47	12	0	2	0.000000e+00	4.318899e+02	1.061451e-11
10258	14	101	1	100	47	12	0	2	0.000000e+00	5.437176e+02	8.141414e-12
