	Z	Initial_Ion	Initial Level	Final_Ion	Final Level	N	L	2S+1	Energy (Ry)	Cross Section (Mb)
5628	14	93	16	94	1	12	0	2	0.000000e+00	4.606000e+01
5629	14	93	16	94	1	12	0	2	1.839140e-02	3.314000e+01
5630	14	93	16	94	1	12	0	2	3.973570e-02	2.386000e+01
5631	14	93	16	94	1	12	0	2	6.452590e-02	1.718000e+01
5632	14	93	16	94	1	12	0	2	9.342660e-02	1.236000e+01
5633	14	93	16	94	1	12	0	2	1.266320e-01	8.926000e+00
5634	14	93	16	94	1	12	0	2	1.656550e-01	6.422000e+00
5635	14	93	16	94	1	12	0	2	2.104990e-01	4.637000e+00
5636	14	93	16	94	1	12	0	2	2.627940e-01	3.344000e+00
5637	14	93	16	94	1	12	0	2	3.230070e-01	2.418000e+00
5638	14	93	16	94	1	12	0	2	3.928600e-01	1.748000e+00
5639	14	93	16	94	1	12	0	2	4.749310e-01	1.259000e+00
5640	14	93	16	94	1	12	0	2	5.689860e-01	9.109000e-01
5641	14	93	16	94	1	12	0	2	6.782600e-01	6.584000e-01
5642	14	93	16	94	1	12	0	2	8.047370e-01	4.761000e-01
5643	14	93	16	94	1	12	0	2	9.538770e-01	3.424000e-01
5644	14	93	16	94	1	12	0	2	1.125840e+00	2.467000e-01
5645	14	93	16	94	1	12	0	2	1.323380e+00	1.783000e-01
5646	14	93	16	94	1	12	0	2	1.554750e+00	1.283000e-01
5647	14	93	16	94	1	12	0	2	1.819510e+00	9.262000e-02
5648	14	93	16	94	1	12	0	2	2.128570e+00	6.664000e-02
5649	14	93	16	94	1	12	0	2	2.489330e+00	4.778000e-02
5650	14	93	16	94	1	12	0	2	2.900590e+00	3.439000e-02
5651	14	93	16	94	1	12	0	2	3.379030e+00	2.467000e-02
5652	14	93	16	94	1	12	0	2	3.922350e+00	1.776000e-02
5653	14	93	16	94	1	12	0	2	4.552300e+00	1.274000e-02
5654	14	93	16	94	1	12	0	2	5.282730e+00	9.108000e-03
5655	14	93	16	94	1	12	0	2	6.108960e+00	6.534000e-03
5656	14	93	16	94	1	12	0	2	7.063750e+00	4.668000e-03
5657	14	93	16	94	1	12	0	2	8.139580e+00	3.348000e-03
5658	14	93	16	94	1	12	0	2	9.378620e+00	2.391000e-03
5659	14	93	16	94	1	12	0	2	1.076930e+01	1.713000e-03
5660	14	93	16	94	1	12	0	2	1.236550e+01	1.223000e-03
5661	14	93	16	94	1	12	0	2	1.414990e+01	8.757000e-04
5662	14	93	16	94	1	12	0	2	1.619130e+01	6.244000e-04
5663	14	93	16	94	1	12	0	2	1.846430e+01	4.471000e-04
5664	14	93	16	94	1	12	0	2	2.105590e+01	3.187000e-04
5665	14	93	16	94	1	12	0	2	2.401070e+01	2.262000e-04
5666	14	93	16	94	1	12	0	2	2.728750e+01	1.612000e-04
5667	14	93	16	94	1	12	0	2	3.101100e+01	1.145000e-04
5668	14	93	16	94	1	12	0	2	3.512380e+01	8.165000e-05
5669	14	93	16	94	1	12	0	2	3.978140e+01	5.802000e-05
5670	14	93	16	94	1	12	0	2	4.505630e+01	4.106000e-05
5671	14	93	16	94	1	12	0	2	5.085850e+01	2.923000e-05
5672	14	93	16	94	1	12	0	2	5.740760e+01	2.073000e-05
5673	14	93	16	94	1	12	0	2	6.458180e+01	1.479000e-05
5674	14	93	16	94	1	12	0	2	7.265230e+01	1.052000e-05
5675	14	93	16	94	1	12	0	2	8.173100e+01	7.461000e-06
5676	14	93	16	94	1	12	0	2	9.194360e+01	5.274000e-06
5677	14	93	16	94	1	12	0	2	1.030840e+02	3.755000e-06
5678	14	93	16	94	1	12	0	2	1.155740e+02	2.666000e-06
5679	14	93	16	94	1	12	0	2	1.295770e+02	1.888000e-06
5680	14	93	16	94	1	12	0	2	1.452770e+02	1.333000e-06
5681	14	93	16	94	1	12	0	2	1.623320e+02	9.490000e-07
5682	14	93	16	94	1	12	0	2	1.813880e+02	6.741000e-07
5683	14	93	16	94	1	12	0	2	2.026800e+02	4.777000e-07
5684	14	93	16	94	1	12	0	2	2.047360e+02	4.630000e-07
