	Z	Ion	Electron	Level	N	L	2S+1	2J+1	Energy	Potential	Configuration
3621	14	100	6	1	2	1	3	1	0.00000000e+00	3.51000000e+02	2p2.3P_0
3622	14	100	6	2	2	1	3	3	3.15407991e-01	3.51000000e+02	2p2.3P_1
3623	14	100	6	3	2	1	3	5	7.94902027e-01	3.51000000e+02	2p2.3P_2
3624	14	100	6	4	2	2	1	5	6.55922985e+00	3.51000000e+02	2p2.1D_2
3625	14	100	6	5	2	0	1	1	1.33598003e+01	3.51000000e+02	2p2.1S_0
3626	14	100	6	6	2	0	5	5	1.86853008e+01	3.51000000e+02	2s1.2p3.5S_2
3627	14	100	6	7	2	2	3	5	3.62248993e+01	3.51000000e+02	2s1.2p3.3D_2
3628	14	100	6	8	2	2	3	3	3.62429008e+01	3.51000000e+02	2s1.2p3.3D_1
3629	14	100	6	9	2	2	3	7	3.62169991e+01	3.51000000e+02	2s1.2p3.3D_3
3630	14	100	6	10	2	1	3	1	4.26419983e+01	3.51000000e+02	2s1.2p3.3P_0
3631	14	100	6	11	2	1	3	3	4.26338005e+01	3.51000000e+02	2s1.2p3.3P_1
3632	14	100	6	12	2	1	3	5	4.26473999e+01	3.51000000e+02	2s1.2p3.3P_2
3633	14	100	6	13	2	2	1	5	5.45802002e+01	3.51000000e+02	2s1.2p3.1D_2
3634	14	100	6	14	2	0	3	3	5.53905983e+01	3.51000000e+02	2s1.2p3.3S_1
3635	14	100	6	15	2	1	1	3	6.10682983e+01	3.51000000e+02	2s1.2p3.1P_1
3636	14	100	6	16	2	1	3	5	8.36250992e+01	3.51000000e+02	2s0.2p4.3P_2
3637	14	100	6	17	2	1	3	3	8.41872025e+01	3.51000000e+02	2s0.2p4.3P_1
3638	14	100	6	18	2	1	3	1	8.44076996e+01	3.51000000e+02	2s0.2p4.3P_0
3639	14	100	6	19	2	2	1	5	8.91696014e+01	3.51000000e+02	2s0.2p4.1D_2
3640	14	100	6	20	2	0	1	1	1.01585999e+02	3.51000000e+02	2s0.2p4.1S_0
3641	14	100	6	21	3	1	3	1	2.03876999e+02	3.51000000e+02	2p1.3s1.3P_0
3642	14	100	6	22	3	1	3	3	2.01188995e+02	3.51000000e+02	2p1.3s1.3P_1
3643	14	100	6	23	3	1	3	5	2.01824005e+02	3.51000000e+02	2p1.3s1.3P_2
3644	14	100	6	24	3	1	1	3	2.03354004e+02	3.51000000e+02	2p1.3s1.1P_1
3645	14	100	6	25	3	1	1	3	2.13011993e+02	3.51000000e+02	2p1.3p1.1P_1
3646	14	100	6	26	3	2	3	3	2.13733994e+02	3.51000000e+02	2p1.3p1.3D_1
3647	14	100	6	27	3	2	3	5	2.13897003e+02	3.51000000e+02	2p1.3p1.3D_2
3648	14	100	6	28	3	2	3	7	2.14431000e+02	3.51000000e+02	2p1.3p1.3D_3
3649	14	100	6	29	3	0	3	3	2.15406006e+02	3.51000000e+02	2p1.3p1.3S_1
3650	14	100	6	30	3	1	3	1	2.17121994e+02	3.51000000e+02	2p1.3p1.3P_0
3651	14	100	6	31	3	1	3	3	2.17367996e+02	3.51000000e+02	2p1.3p1.3P_1
3652	14	100	6	32	3	1	3	5	2.17647995e+02	3.51000000e+02	2p1.3p1.3P_2
3653	14	100	6	33	3	2	1	5	2.19753998e+02	3.51000000e+02	2p1.3p1.1D_2
3654	14	100	6	34	3	0	1	1	2.23143005e+02	3.51000000e+02	2p1.3p1.1S_0
3655	14	100	6	35	3	3	3	5	2.24408005e+02	3.51000000e+02	2p1.3d1.3F_2
3656	14	100	6	36	3	3	3	7	2.24802994e+02	3.51000000e+02	2p1.3d1.3F_3
3657	14	100	6	37	3	2	1	5	2.22341003e+02	3.51000000e+02	2p1.3d1.1D_2
3658	14	100	6	38	3	3	3	9	2.25238007e+02	3.51000000e+02	2p1.3d1.3F_4
3659	14	100	6	39	3	2	3	3	2.24089996e+02	3.51000000e+02	2p1.3d1.3D_1
3660	14	100	6	40	3	2	3	5	2.24199005e+02	3.51000000e+02	2p1.3d1.3D_2
3661	14	100	6	41	3	2	3	7	2.24494995e+02	3.51000000e+02	2p1.3d1.3D_3
3662	14	100	6	42	3	1	3	5	2.25018005e+02	3.51000000e+02	2p1.3d1.3P_2
3663	14	100	6	43	3	1	3	3	2.25173004e+02	3.51000000e+02	2p1.3d1.3P_1
3664	14	100	6	44	3	1	3	1	2.25263000e+02	3.51000000e+02	2p1.3d1.3P_0
3665	14	100	6	45	3	1	1	3	2.27856995e+02	3.51000000e+02	2p1.3d1.1P_1
3666	14	100	6	46	3	3	1	7	2.27759995e+02	3.51000000e+02	2p1.3d1.1F_3
3667	14	100	6	48	2	0	5	5	1.77388000e+03	3.51000000e+02	1s1.2s2.2p3.5S_2
3668	14	100	6	49	2	2	3	5	1.78818994e+03	3.51000000e+02	1s1.2s2.2p3.3D_2
3669	14	100	6	50	2	2	3	3	1.78819995e+03	3.51000000e+02	1s1.2s2.2p3.3D_1
3670	14	100	6	51	2	2	3	7	1.78828003e+03	3.51000000e+02	1s1.2s2.2p3.3D_3
3671	14	100	6	52	2	0	3	3	1.79156995e+03	3.51000000e+02	1s1.2s2.2p3.3S_1
3672	14	100	6	53	2	1	3	1	1.79242004e+03	3.51000000e+02	1s1.2s2.2p3.3P_0
3673	14	100	6	54	2	1	3	5	1.79244995e+03	3.51000000e+02	1s1.2s2.2p3.3P_2
3674	14	100	6	55	2	1	3	3	1.79262000e+03	3.51000000e+02	1s1.2s2.2p3.3P_1
3675	14	100	6	56	2	2	1	5	1.79726001e+03	3.51000000e+02	1s1.2s2.2p3.1D_2
3676	14	100	6	57	2	1	1	3	1.80138000e+03	3.51000000e+02	1s1.2s2.2p3.1P_1
