	Z	Ion	Initial Level	Final Level	Wavelength	Oscillator Strength	Einstein A Coefficient
20724	14	94	2	1	1.000000e+10	0.000000e+00	1.000000e+10
20725	14	94	3	1	1.892030e+03	2.487000e-05	1.544000e+04
20726	14	94	4	1	1.882700e+03	0.000000e+00	1.290000e-02
20727	14	94	4	3	3.820800e+05	0.000000e+00	2.418000e-04
20728	14	94	5	1	1.206500e+03	1.749000e+00	2.670000e+09
20729	14	94	6	1	8.182330e+02	0.000000e+00	1.823000e+04
20730	14	94	6	3	1.441730e+03	2.652000e-04	1.702000e+05
20731	14	94	6	4	1.447190e+03	1.570000e-04	1.000000e+05
20732	14	94	6	5	2.542570e+03	1.178000e-01	2.430000e+07
20733	14	94	7	3	1.301150e+03	5.764000e-01	2.270000e+09
20734	14	94	7	5	2.135650e+03	3.376000e-05	4.937000e+04
20735	14	94	8	2	1.296730e+03	5.781000e-01	7.640000e+08
20736	14	94	8	3	1.298890e+03	4.335000e-01	5.710000e+08
20737	14	94	8	4	1.303320e+03	7.223000e-01	9.450000e+08
20738	14	94	9	3	1.294540e+03	7.214000e-01	5.740000e+08
20739	14	94	9	4	1.298940e+03	2.164000e+00	1.710000e+09
20740	14	94	10	2	1.108360e+03	8.734000e-01	1.580000e+09
20741	14	94	10	3	1.109940e+03	6.548000e-01	1.182000e+09
20742	14	94	10	4	1.113170e+03	4.364000e-02	7.830000e+07
20743	14	94	11	3	1.109970e+03	1.963000e+00	2.126000e+09
20744	14	94	11	4	1.113200e+03	6.544000e-01	7.045000e+08
20745	14	94	12	4	1.113230e+03	3.662000e+00	2.815000e+09
20746	14	94	13	3	9.941240e+02	1.271000e-05	8.579000e+04
20747	14	94	13	5	1.417230e+03	9.893000e-01	3.285000e+09
20748	14	94	14	1	6.032630e+02	0.000000e+00	7.697000e+04
20749	14	94	14	3	8.856470e+02	8.751000e-05	1.489000e+05
20750	14	94	14	5	1.206550e+03	4.990000e+00	4.572000e+09
20751	14	94	15	2	9.935180e+02	1.122000e-01	2.529000e+08
20752	14	94	15	3	9.947890e+02	3.382000e-01	7.599000e+08
20753	14	94	15	4	9.973860e+02	5.687000e-01	1.271000e+09
20754	14	94	16	3	9.414740e+02	1.807000e-05	1.359000e+05
20755	14	94	16	5	1.312590e+03	7.339000e-02	2.840000e+08
20756	14	94	17	4	8.188990e+02	0.000000e+00	1.765000e+04
20757	14	94	17	8	2.203220e+03	3.547000e-04	4.874000e+05
20758	14	94	17	10	3.097720e+03	2.684000e-01	1.865000e+08
20759	14	94	17	15	4.576020e+03	4.211000e-01	1.341000e+08
20760	14	94	18	1	5.705700e+02	3.142000e-05	2.146000e+05
20761	14	94	18	3	8.169270e+02	0.000000e+00	4.382000e+03
20762	14	94	18	4	8.186780e+02	0.000000e+00	1.322000e+04
20763	14	94	18	6	1.885060e+03	3.516000e-04	2.200000e+05
20764	14	94	18	7	2.195170e+03	3.331000e-04	1.537000e+05
20765	14	94	18	8	2.201620e+03	2.754000e-04	1.263000e+05
20766	14	94	18	9	2.214230e+03	4.422000e-04	2.005000e+05
20767	14	94	18	10	3.094550e+03	2.012000e-01	4.671000e+07
20768	14	94	18	11	3.094320e+03	6.036000e-01	1.401000e+08
20769	14	94	18	13	4.583200e+03	3.489000e-04	3.692000e+04
20770	14	94	18	14	1.052850e+04	3.252000e-04	6.520000e+03
20771	14	94	18	15	4.569120e+03	1.264000e+00	1.346000e+08
20772	14	94	18	16	6.175330e+03	3.145000e-04	1.833000e+04
20773	14	94	19	2	8.155830e+02	0.000000e+00	3.496000e+03
20774	14	94	19	3	8.164390e+02	0.000000e+00	7.887000e+03
20775	14	94	19	4	8.181880e+02	0.000000e+00	6.166000e+03
20776	14	94	19	8	2.198070e+03	3.677000e-04	1.015000e+05
20777	14	94	19	9	2.210640e+03	1.243000e-03	3.395000e+05
20778	14	94	19	10	3.087560e+03	1.343000e-02	1.879000e+06
20779	14	94	19	11	3.087330e+03	2.014000e-01	2.819000e+07
20780	14	94	19	12	3.087130e+03	1.128000e+00	1.579000e+08
20781	14	94	19	15	4.553890e+03	2.115000e+00	1.360000e+08
20782	14	94	20	1	5.666130e+02	1.910000e-02	1.323000e+08
20783	14	94	20	5	1.068340e+03	0.000000e+00	1.094000e+04
20784	14	94	20	6	1.842550e+03	5.018000e-01	3.286000e+08
20785	14	94	20	9	2.155790e+03	1.643000e-04	7.861000e+04
20786	14	94	20	10	2.981610e+03	1.506000e-04	3.768000e+04
20787	14	94	20	11	2.981390e+03	4.288000e-04	1.073000e+05
20788	14	94	20	13	4.339730e+03	4.865000e-01	5.742000e+07
20789	14	94	20	14	9.326450e+03	4.749000e-01	1.214000e+07
20790	14	94	20	15	4.327100e+03	9.604000e-04	1.140000e+05
20791	14	94	20	16	5.741330e+03	4.306000e-01	2.904000e+07
20792	14	94	22	2	1.329160e+02	1.570000e-02	1.970000e+09
20793	14	94	22	3	1.329440e+02	3.410000e-02	4.290000e+09
20794	14	94	22	4	1.330030e+02	2.870000e-02	3.610000e+09
20795	14	94	22	5	1.395110e+02	6.920000e-04	7.900000e+07
20796	14	94	22	6	1.463120e+02	2.730000e-09	2.830000e+02
20797	14	94	22	8	1.488190e+02	1.700000e-09	1.700000e+02
20798	14	94	22	9	1.488930e+02	4.110000e-09	4.130000e+02
20799	14	94	23	4	1.318470e+02	2.640000e-01	1.450000e+10
20800	14	94	23	8	1.473730e+02	2.890000e-07	1.270000e+04
20801	14	94	23	9	1.474460e+02	5.720000e-07	2.510000e+04
20802	14	94	24	1	1.232910e+02	5.850000e-06	5.140000e+05
20803	14	94	24	3	1.316240e+02	1.570000e-01	1.210000e+10
20804	14	94	24	4	1.316820e+02	9.190000e-03	7.070000e+08
20805	14	94	24	5	1.380580e+02	2.880000e-02	2.020000e+09
20806	14	94	24	6	1.447150e+02	4.400000e-08	2.800000e+03
20807	14	94	24	7	1.471290e+02	2.340000e-07	1.440000e+04
20808	14	94	24	8	1.471670e+02	9.640000e-08	5.940000e+03
20809	14	94	24	9	1.472390e+02	1.930000e-07	1.190000e+04
20810	14	94	24	13	1.556740e+02	5.780000e-08	3.180000e+03
20811	14	94	25	2	1.313090e+02	7.950000e-02	1.020000e+10
20812	14	94	25	3	1.313370e+02	1.370000e-02	1.760000e+09
20813	14	94	25	4	1.313940e+02	1.950000e-03	2.510000e+08
20814	14	94	25	5	1.377420e+02	1.920000e-02	2.240000e+09
20815	14	94	25	6	1.443680e+02	8.580000e-08	9.160000e+03
20816	14	94	25	8	1.468080e+02	2.800000e-07	2.890000e+04
20817	14	94	25	9	1.468800e+02	8.860000e-09	9.140000e+02
20818	14	94	26	1	1.227670e+02	1.530000e-05	1.360000e+06
20819	14	94	26	3	1.310260e+02	4.080000e-02	3.170000e+09
20820	14	94	26	4	1.310830e+02	1.060000e-01	8.240000e+09
20821	14	94	26	5	1.374000e+02	7.790000e-02	5.500000e+09
20822	14	94	26	6	1.439930e+02	1.130000e-07	7.260000e+03
20823	14	94	26	7	1.463830e+02	6.230000e-08	3.880000e+03
20824	14	94	26	8	1.464200e+02	1.370000e-07	8.520000e+03
20825	14	94	26	9	1.464920e+02	8.820000e-08	5.480000e+03
20826	14	94	26	13	1.548390e+02	1.600000e-07	8.900000e+03
20827	14	94	27	2	1.306250e+02	1.070000e-03	1.400000e+08
20828	14	94	27	3	1.306530e+02	4.680000e-02	6.090000e+09
20829	14	94	27	4	1.307090e+02	2.580000e-02	3.350000e+09
20830	14	94	27	5	1.369890e+02	4.170000e-02	4.940000e+09
20831	14	94	27	6	1.435420e+02	2.020000e-07	2.180000e+04
20832	14	94	27	8	1.459530e+02	2.650000e-08	2.770000e+03
20833	14	94	27	9	1.460250e+02	1.610000e-07	1.680000e+04
20834	14	94	28	3	1.304970e+02	4.590000e-02	1.800000e+10
20835	14	94	28	5	1.368180e+02	2.630000e-04	9.390000e+07
20836	14	94	28	6	1.433540e+02	1.390000e-09	4.500000e+02
20837	14	94	28	9	1.458310e+02	9.140000e-08	2.870000e+04
20838	14	94	29	1	1.222270e+02	2.220000e-05	1.980000e+06
20839	14	94	29	3	1.304110e+02	1.090000e-03	8.570000e+07
20840	14	94	29	4	1.304680e+02	1.040000e-01	8.170000e+09
20841	14	94	29	5	1.367240e+02	1.110000e-01	7.910000e+09
20842	14	94	29	6	1.432500e+02	1.490000e-07	9.710000e+03
20843	14	94	29	8	1.456520e+02	2.180000e-08	1.370000e+03
20844	14	94	29	9	1.457230e+02	2.400000e-07	1.510000e+04
20845	14	94	29	13	1.539800e+02	2.290000e-07	1.290000e+04
20846	14	94	30	2	1.303190e+02	2.140000e-02	2.800000e+09
20847	14	94	30	3	1.303470e+02	1.320000e-02	1.730000e+09
20848	14	94	30	4	1.304030e+02	4.770000e-02	6.240000e+09
20849	14	94	30	5	1.366530e+02	4.000000e-02	4.760000e+09
20850	14	94	30	6	1.431720e+02	1.810000e-07	1.970000e+04
20851	14	94	30	8	1.455710e+02	3.840000e-08	4.030000e+03
20852	14	94	30	9	1.456420e+02	1.250000e-07	1.310000e+04
20853	14	94	31	3	1.228800e+02	1.550000e-04	6.850000e+07
20854	14	94	31	5	1.284690e+02	1.080000e-01	4.340000e+10
